མགྲ/A,mgr/A,,ུམ,um,ུབས,ubs,,,,དྲེའུ/C,drevu/C,,,,,
འག/NB,ag/NB,,ུམས,ums,ུམ,um,,,,མདེའུ/C,mdevu/C,,,,,
འགྱ/A,gy/A,,ུལ,ul,ུམས,ums,,,,རྡེའུ/C,rdevu/C,,,,,
འགྲ/A,gr/A,,ུའི,uvi,ུལ,ul,,,,སྡེའུ/C,sdevu/C,,,,,
རྒ/A,rg/A,,ུའོ,uvo,ུའི,uvi,,,,ནའུ/C,navu/C,,,,,
རྒྱ/A,rgy/A,,ུའང,uvang,ུའོ,uvo,,,,ནེའུ/C,nevu/C,,,,,
ལྒ/A,lg/A,,ུའམ,uvam,ུའང,uvang,,,,ནོའུ/C,novu/C,,,,,
སྒ/A,sg/A,,ུར,ur,ུའམ,uvam,,,,སྣེའུ/C,snevu/C,,,,,
སྒྱ/A,sgy/A,,ུས,us,ུར,ur,,,,དཔེའུ/C,dpevu/C,,,,,
སྒྲ/A,sgr/A,,ེ,e,ུས,us,,,,སྤའུ/C,spavu/C,,,,,
བརྒ/A,brg/A,,ེག,eg,ེ,e,,,,སྤེའུ/C,spevu/C,,,,,
བརྒྱ/A,brgy/A,,ེགས,egs,ེག,eg,,,,སྤྱིའུ/C,spyivu/C,,,,,
བསྒ/A,bsg/A,,ེང,eng,ེགས,egs,,,,སྤྲེའུ/C,sprevu/C,,,,,
བསྒྱ/A,bsgy/A,,ེངས,engs,ེང,eng,,,,ཕེའུ/C,phevu/C,,,,,
བསྒྲ/A,bsgr/A,,ེད,ed,ེངས,engs,,,,ཕྲའུ/C,phravu/C,,,,,
ང/A,ng/A,,ེན,en,ེད,ed,,,,ཕྲེའུ/C,phrevu/C,,,,,
དང/NB,dang/NB,,ེབ,eb,ེན,en,,,,འཕེའུ/C,phevu/C,,,,,
མང/NB,mang/NB,,ེབས,ebs,ེབ,eb,,,,བེའུ/C,bevu/C,,,,,
རྔ/A,rng/A,,ེམ,em,ེབས,ebs,,,,བྱའུ/C,byavu/C,,,,,
ལྔ/A,lng/A,,ེམས,ems,ེམ,em,,,,བྱིའུ/C,byivu/C,,,,,
སྔ/A,sng/A,,ེལ,el,ེམས,ems,,,,བྱེའུ/C,byevu/C,,,,,
བརྔ/A,brng/A,,ེའི,evi,ེལ,el,,,,བྲའུ/C,bravu/C,,,,,
བསྔ/A,bsng/A,,ེའོ,evo,ེའི,evi,,,,བྲེའུ/C,brevu/C,,,,,
ཅ/A,c/A,,ེའང,evang,ེའོ,evo,,,,བྲོའུ/C,brovu/C,,,,,
གཅ/NB,gc/NB,,ེའམ,evam,ེའང,evang,,,,འབེའུ/C,bevu/C,,,,,
བཅ/NB,bc/NB,,ེར,er,ེའམ,evam,,,,སྦྲེའུ/C,sbrevu/C,,,,,
ལྕ/A,lc/A,,ེས,es,ེར,er,,,,མིའུ/C,mivu/C,,,,,
ཆ/A,ch/A,,ོ,o,ེས,es,,,,མུའུ/C,muvu/C,,,,,
མཆ/NB,mch/NB,,ོག,og,ོ,o,,,,མོའུ/C,movu/C,,,,,
