མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
,33,89,1,《པེ་》《སྣར་》,འགྱུར་བ།,,
,,90,2,《པེ་》《སྣར་》,སྤྱད།,,
,,91,3,《པེ་》《སྣར་》,mབ།,,
,,92,4,《པེ་》《སྣར་》,བསོད།,,
,34,93,1,《པེ་》《སྣར་》,སྤྱད་པར་བྱ།,,
,,94,2,《སྣར་》,mརྫོགས་པར། །,,
,35,95,1,《པེ་》《སྣར་》,pགྱི།,,
,,96,2,《སྣར་》,pབ།,,
,,97,3,《ཅོ་》,སྤྱོད།,,
,,98,4,《པེ་》《སྣར་》,pསེམས་ཅན།,,
,36,99,1,《ཅོ་》,སྤྱོད།,,
,,100,2,《པེ་》《སྣར་》,པར།,,
,37,101,1,《པེ་》《སྣར་》,ནས།,,
,,102,2,《པེ་》《སྣར་》,mདེ་ལྟ།,,
,,103,3,《པེ་》《སྣར་》,སྡོམ།,,
,,104,4,《པེ་》《སྣར་》,ལུས།,,
,,105,5,《པེ་》《སྣར་》,mཐམས་ཅད་དུ།,,
,,106,6,《ཅོ་》,སྤྱོད།,,
,38,107,1,《པེ་》《སྣར་》,པར།,,
,,108,2,《ཅོ་》,སྤྱོད།,,
,,109,3,《པེ་》《སྣར་》,mབ།,,
,39,110,1,《སྣར་》,mསེམས་དཔའ།,,
,,111,2,《པེ་》《སྣར་》,རྗེའུ།,,
,,112,3,《པེ་》《སྣར་》,pནི།,,
,40,113,1,《ཅོ་》,སྤྱོད།,,
,,114,2,《པེ་》《སྣར་》,ན།,,
,,115,3,《པེ་》《སྣར་》,ལ།,,
,,116,4,《པེ་》《སྣར་》,པོའི།,,
,41,117,1,《ཅོ་》,སྤྱོད།,,
,,118,2,《པེ་》《སྣར་》,mཔ།,,
,,119,3,《པེ་》《སྣར་》,པའི།,,
,,120,4,《པེ་》,mསྟོང་པ་ཉིད་དང་།,,
,42,121,1,《ཅོ་》,སྤྱོད།,,
,,122,2,《པེ་》《སྣར་》,ནས།,,
,,123,3,《ཅོ་》,སྤྱོད།,,
,43,124,1,《པེ་》《སྣར་》,pནི།,,
,,125,2,《པེ་》《སྣར་》,mདེ་ལྟ།,,
,,126,3,《ཅོ་》,སྤྱོད།,,
,,127,,a,,,
,44,128,1,《པེ་》《སྣར་》,ལ།,,
,,129,2,《ཅོ་》,སྤྱོད།,,
,,130,3,《པེ་》《སྣར་》,pདེ་ནི།,,
,,131,4,《ཅོ་》,སྤྱོད།,,
,45,132,1,《པེ་》《སྣར་》,mཐམས་ཅད།,,
,,133,2,《ཅོ་》,སྤྱོད།,,
,,134,3,《པེ་》《སྣར་》,pནི།,,
,,135,4,《པེ་》《སྣར་》,mམ།,,
,,136,5,《ཅོ་》,སྤྱོད།,,
,,137,6,《པེ་》《སྣར་》,བྱ་སྟེ།,,
,46,138,1,《པེ་》《སྣར་》《ཅོ་》,སྤྱད།,,
,,139,2,《ཅོ་》,སྤྱོད།,,
,47,140,1,《པེ་》《སྣར་》,pཀྱང་།,,
,,141,2,《ཅོ་》,སྤྱོད།,,
,,142,a,,,,
,48,143,1,《ཅོ་》,སྤྱོད།,,
,49,144,1,《ཅོ་》,སྤྱོད།,,
,,145,2,《པེ་》《སྣར་》,གིས།,,
,,146,3,《པེ་》《སྣར་》,སངས་རྒྱས།,,
,,147,4,《སྣར་》,སྙེད་གཅིག,,
,,148,5,《ཅོ་》,སྤྱོད།,,
,,149,6,《སྣར་》,mཡང་།,,
,50,150,1,《པེ་》《སྣར་》,ཅིག་འདུག་སྟེ།,,
,,151,2,《པེ་》《སྣར་》,mདུ།,,
,51,152,1,《སྣར་》,མོངས།,,
,,153,2,《པེ་》《སྣར་》,mསོ།,,
,,154,3,《པེ་》《སྣར་》,ཕྱོགས།,,
,,155,4,《པེ་》《སྣར་》,གཙུགས།,,
,,156,5,《པེ་》,གང་ན་བ་དེ།,《སྣར་》,གང་ན་བ་དེང་།,
,52,157,1,《པེ་》《སྣར་》,mབུད་མེད།,,
