མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,90,6,《པེ་》《སྣར་》,ཡང་།,
,,91,7,《པེ་》《སྣར་》,པའམ།,
,312,92,1,《པེ་》《སྣར་》,གཉི་ག,
,,93,2,《པེ་》《སྣར་》,༽ཕྱིར།,
,,94,3,《པེ་》《སྣར་》,པ།,
,,95,4,《པེ་》《སྣར་》,འུབ་ཅེས།,
,,96,5,《པེ་》《སྣར་》,༼ཐམས་ཅད་ནི་མཐའ་དག་གོ།,
,,97,6,《པེ་》《སྣར་》,༼ཟིན།,
,,98,7,《པེ་》,༽མ།,
,,99,8,《པེ་》《སྣར་》,༽ཏེ།,
,313,100,1,《པེ་》《སྣར་》,༼དེ།,
,,101,2,《པེ་》《སྣར་》,བསྐྱེད།,
,,102,3,《པེ་》《སྣར་》,བརྟག,
,,103,4,《པེ་》《སྣར་》,༽སྡུག་བསྔལ་རྣམ་སྨིན་ཅན་མི་འགྱུར།     །དེ་ཕྱིར་ལས་ཀྱང་བདག་ཏུ་འགྱུར།,
,,104,5,《པེ་》,རྟོག,《སྣར་》,རྟག
,,105,6,《པེ་》,ཏེ།,
,,106,7,《པེ་》《སྣར་》,༼གྱི།,
,,107,8,《པེ་》《སྣར་》,༼གི་ཕྱིར།,
,,108,9,《པེ་》《སྣར་》,༽ཅིའི་ཕྱིར་ཞེ་ན།   འདུ་བྱེད་རྣམས་ནི་སྒྱུ་མ་དང་།  དྲི་ཟའི་གྲོང་ཁྱེར་སྨིག་རྒྱུ་འདྲ།,
,314,109,1,《པེ་》《སྣར་》,༽པའི།,
,,110,2,《པེ་》《སྣར་》,༽ལས།,
,,111,3,《པེ་》《སྣར་》,ཆར།,
,,112,4,《པེ་》《སྣར་》,གྱི།,
,,113,5,《པེ་》《སྣར་》,༼གྱིས།,
,,114,6,《པེ་》《སྣར་》,ལ།,
,,115,7,《པེ་》《སྣར་》,པར།,
,,116,8,《པེ་》《སྣར་》,༼ནི།,
,,117,9,《པེ་》《སྣར་》,ལྟར།,
,,118,10,《པེ་》《སྣར་》,ཅི་ཡང་།,
,315,119,1,《པེ་》《སྣར་》,༼གཞན།,
,,120,2,《པེ་》《སྣར་》,ཅི།,
,,121,3,《པེ་》《སྣར་》,༼ལ།,
,,122,4,《པེ་》《སྣར་》,བསྐྱེད།,
,,123,5,《པེ་》《སྣར་》,༼པ།,
,,124,6,《པེ་》《སྣར་》,༽ཐོབ་པ།,
,,125,7,《པེ་》《སྣར་》,༼ཡང་།,
,,126,8,《པེ་》《སྣར་》,༽ལས།,
,,127,9,《པེ་》《སྣར་》,བསྐྱེད།,
,,128,10,《པེ་》《སྣར་》,༽པ།,
,,129,11,《པེ་》《སྣར་》,ནས།,
,,130,12,《པེ་》《སྣར་》,བརྟགས།,
,,131,13,《པེ་》《སྣར་》,བརྟགས།,
,,132,14,《པེ་》《སྣར་》,༼དོ།,
,,133,15,《པེ་》《སྣར་》,བྱ་བ།,
,,134,16,《པེ་》《སྣར་》,རྟགས།,
,,135,17,《པེ་》《སྣར་》,༽རྣམས།,
,,136,18,《པེ་》《སྣར་》,པ།,
,,137,19,《པེ་》《སྣར་》,༼ཕྱིར།,
,316,138,1,《པེ་》《སྣར་》,ནས།,
,,139,2,《པེ་》《སྣར་》,བྱུང་བ།,
,,140,3,《པེ་》《སྣར་》,༽ཡིན།,
,,141,4,《པེ་》《སྣར་》,པ་མ།,
,,142,5,《པེ་》《སྣར་》,དེའི་གཞན།,
,,143,6,《པེ་》《སྣར་》,ལྟར།,
,,144,7,《པེ་》《སྣར་》,ཞེས།,
,,145,8,《པེ་》《སྣར་》《ཅོ་》,ཞེས།,
,,146,9,《པེ་》《སྣར་》,བཞི།,
,,147,10,《པེ་》《སྣར་》,༽ཀྱི།,
,,148,11,《པེ་》《སྣར་》,༽ཕྱིར།,
,,149,12,《པེ་》《སྣར་》,བཞི།,
,,150,13,《པེ་》《སྣར་》,ལའང་།,
,,151,14,《པེ་》《སྣར་》,ལའང་།,
,,152,15,《པེ་》《སྣར་》,སྐྱེས།,
,,153,16,《པེ་》《སྣར་》,པ།,
,317,154,1,《པེ་》《སྣར་》,བཏགས།,
,,155,2,《པེ་》《སྣར་》,༼གལ་ཏེ།,
,,156,3,《པེ་》《སྣར་》,པ་རིགས།,
,,157,4,《པེ་》《སྣར་》,པ།,
,,158,5,《པེ་》《སྣར་》,ན།,
,,159,6,《པེ་》《སྣར་》,༽བློ་དེ།,
,318,160,1,《པེ་》《སྣར་》,ཡི།,
,,161,2,《པེ་》《སྣར་》,རྟོག,
,,162,3,《པེ་》,༽མ།,《སྣར་》,༽པ།
,,163,4,《པེ་》《སྣར་》,༽པ།,
,,164,5,《པེ་》《སྣར་》,རྟོག,
,,165,6,《པེ་》《སྣར་》,རྟོག,
,,166,7,《པེ་》《སྣར་》,འདིས།,
,,167,8,《སྣར་》《པེ་》,༽སུ།,
,,168,9,《པེ་》《སྣར་》,ཐ་དད་པ།,
,,169,10,《པེ་》《སྣར་》,༽ན།,
,,170,11,《པེ་》《སྣར་》,ནི།,
,,171,12,《པེ་》《སྣར་》,༽དེ།,
,,172,13,《པེ་》《སྣར་》,ལྟ།,
,319,173,1,《པེ་》《སྣར་》,༽རང་།,
,,174,2,《པེ་》,པ་ཏེ།,《སྣར་》,པ་སྟེ།
,,175,3,《པེ་》,ནོ།,
,,176,4,《པེ་》《སྣར་》,ཀྱི།,
,,177,5,《པེ་》《སྣར་》,སྟེ།,
,,178,6,《པེ་》《སྣར་》,༽གང་ལས།,
,,179,7,《པེ་》《སྣར་》,༽པ།,
,,180,8,《པེ་》《སྣར་》,བྱ་བ་ཉིད།,
,,181,9,《པེ་》,༼ནས།,
,,182,10,《སྣར་》,གིས།,
,,183,11,《པེ་》《སྣར་》,ཀྱིས་མ་གྲུབ་སྟེ།,
,320,184,1,《པེ་》《སྣར་》,གྱིས།,
,,185,2,《པེ་》,རྟག་པ་བཤད་པ་སྔར་བྱས་ཟིན་ཏོ།,
,,186,3,《པེ་》《སྣར་》,གྲུབ་པའི་ཕྱིར་རོ།,
,,187,4,《པེ་》《སྣར་》,གྲུབ།,
,,188,5,《པེ་》《སྣར་》,ཀྱི་སྟོང་ངོ་།    །ཅི།,
,,189,6,《པེ་》《སྣར་》,༼པོ།,
,,190,7,《པེ་》《སྣར་》,ཀྱི།,
,321,191,1,《སྣར་》,གིས།,
,,192,2,《སྣར་》,ནི།,
,,193,3,《པེ་》《སྣར་》,གང་ཚེ།,
,,194,4,《པེ་》《སྣར་》,སྟེན།,
,,195,5,《པེ་》《སྣར་》,པ་འང་།,
,,196,6,《པེ་》《སྣར་》,༼ཚེ།,
,,197,7,《པེ་》《སྣར་》,༼ཏུ།,
,,198,8,《པེ་》《སྣར་》,བསྟེན།,
,322,199,1,《པེ་》,ཀྱི་རེག,《སྣར་》,ཀྱི་རིག
,,200,2,《པེ་》《སྣར་》,༼དེ།,
,,201,3,《པེ་》《སྣར་》,དོ་ཞེས།,
,,202,4,《པེ་》《སྣར་》,བ་དེའི།,
,,203,5,《པེ་》《སྣར་》,པར་བྱེད་པ།,
,,204,6,《པེ་》《སྣར་》,ན།,
,,205,7,《པེ་》《སྣར་》,བ་ལ།,
,,206,8,《པེ་》《སྣར་》,༽པར་བྱེད།,
,323,207,1,《པེ་》《སྣར་》,༼སྡེ།,
,,208,2,《པེ་》《སྣར་》,འབྱུང་།,
,,209,3,《པེ་》《སྣར་》,བསྐྱེད།,
,324,210,1,《པེ་》《སྣར་》,པ།,
,,211,2,《པེ་》《སྣར་》,༼ངོ་།,
,,212,3,《པེ་》《སྣར་》,༼དང་།,
,,213,4,《པེ་》,༼ཡང་གཞན།,
,,214,5,《པེ་》《སྣར་》,༼གྱིས།,
,,215,6,《པེ་》《སྣར་》,ནས།,
,,216,7,《པེ་》《སྣར་》《ཅོ་》,ལག,
,,217,8,《པེ་》《སྣར་》,༼གོ།,
,,218,9,《པེ་》《སྣར་》,འགལ།,
,,219,10,《པེ་》《སྣར་》,ན།,
,325,220,1,《པེ་》《སྣར་》,འགགས།,
,,221,2,《པེ་》《སྣར་》,པས།,
,,222,3,《པེ་》《སྣར་》,རྟེན།,
,,223,4,《པེ་》《སྣར་》,བརྟགས།,
,,224,5,《པེ་》《སྣར་》,གྱི།,
,,225,6,《པེ་》《སྣར་》,བརྟགས་པར་མཛད།,
,,226,7,《པེ་》,པ་བཤད་རྟོགས།,《སྣར་》,པ་བཤད་རྟོག  
,,227,8,《པེ་》《སྣར་》,རྣམ།,
,,228,9,《པེ་》《སྣར་》,རྟོགས།,
,326,229,1,《པེ་》《སྣར་》,རྟེན།,
,,230,2,《པེ་》《སྣར་》,བའི།,
,,231,3,《པེ་》《སྣར་》,འདི།,
,,232,4,《པེ་》《སྣར་》,གང་།,
,,233,5,《པེ་》《སྣར་》,རིག,
,,234,6,《པེ་》《སྣར་》,སྤངས།,
,,235,7,《པེ་》《སྣར་》,༽བརྡའ་སྤྲོད་པ་ཆེན་པོ་བསྟན་བཅོས་ཐམས་ཅད་འཆད་པར་བཞེད་པ།,
,,236,8,《པེ་》《སྣར་》,༼རྒྱ་གར་གྱི་མཁན་པོ་་་་་གཏན་ལ་ཕབ་པའོ།།,
