མཚན་བྱང་།,པར་གྲངས།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
འཕགས་པ་ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བདུན་བརྒྱ་པ་རྒྱ་ཆེར་བཤད་པ།,,1030,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།   《པེ་》《སྣར་》ལ་འཕགས་པ་ཤེསརབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་བདུན་བརྒྱ་པ་རྒྱ་ཆེར་འགྲེལ་པ་སློབ་དཔོན་ཀ་མ་ལ་ཤཱི་ལས་མཛད་པ་བཞུགས་ཞེས་འཁོད།,
,,,3,2,《སྣར་》,ཏུ།,པེ་ཅིན་པར་མ་ལ་བསྐྱར་དུབལྟ་དགོས།
,,1031,4,1,《པེ་》《སྣར་》,མདོའི།,
,,,5,2,《པེ་》《སྣར་》,ཐང་།,
,,,6,3,《པེ་》《སྣར་》,བཞག,
,,1032,7,1,《པེ་》《སྣར་》,པ།,
,,,8,2,《པེ་》《སྣར་》,སྙེད།,
,,,9,3,《པེ་》《སྣར་》,pདེ།,
,,,10,4,《པེ་》《སྣར་》,mསྐྱེ་བོའི།,
,,,11,5,《པེ་》《སྣར་》,མཉམ།,
,,1033,12,1,《པེ་》《སྣར་》,pཔ།,
,,,13,2,《སྣར་》,བཞན།,
,,,a,3,《པེ་》《སྣར་》,སྲེད།,
,,1034,14,1,《པེ་》《སྣར་》,བརྟགས།,
,,,15,2,《པེ་》《སྣར་》,pནི།,
,,1035,16,      ,《པེ་》《སྣར་》,pགནས་ཀྱི།,
,,,17,2,《པེ་》《སྣར་》,pན།,
,,,18,3,《པེ་》《སྣར་》,mསྐྱེ་བ།,
,,,19,4,《པེ་》《སྣར་》,འོང་བས།,
,,1036,20,1,《པེ་》《སྣར་》,གཟེར།,
,,,21,2,《སྣར་》,དེས།,
,,,22,3,《པེ་》《སྣར་》,རེངས།,
,,1037,23,1,《པེ་》《སྣར་》,གམ།,
,,,24,2,《པེ་》《སྣར་》,པའི།,
,,,25,3,《པེ་》《སྣར་》,pམ།,
,,1038,26,1,《པེ་》《སྣར་》,pནི།,
,,,27,2,《པེ་》《སྣར་》,འཆལ།,
,,,28,3,《པེ་》《སྣར་》,mདུ།,
,,,29,4,《པེ་》《སྣར་》,ཏོ། །,
,,,30,5,《པེ་》《སྣར་》,བལྟ།,
,,1039,31,1,《པེ་》《སྣར་》,pདེ།,
,,,32,2,《པེ་》《སྣར་》,བཟུང་།,
,,,33,3,《པེ་》,བཟུང་།,
,,,34,4,《པེ་》《སྣར་》,ཤམ།,
,,,35,5,《པེ་》《སྣར་》,ཞེས།,
,,,36,6,《པེ་》《སྣར་》,mམི།,
,,,37,7,《པེ་》《སྣར་》,mཔར་ཞེན།,
,,1040,38,1,《པེ་》《སྣར་》,mམ།,
,,,39,2,《སྣར་》,གསུང་བ།,
