མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,104,5,《པེ་》《སྣར་》,ཕྱད།,
,,105,6,《པེ་》《སྣར་》,གྱི།,
,,106,7,《པེ་》,འཛིན།,
,,107,8,《པེ་》《སྣར་》,ཞིག,
,,108,9,《པེ་》《སྣར་》,སྒྲུབ།,
,336,109,1,《སྣར་》,ཀྱིས།,
,,110,2,《པེ་》《སྣར་》,ནི།,
,,111,3,《པེ་》《སྣར་》,འདས་འཆད།,
,,112,4,《སྣར་》,པར།,
,,113,5,《པེ་》《སྣར་》,ཅིག,
,,114,6,《པེ་》《སྣར་》,སྒོམ།,
,337,115,1,《པེ་》,གསུངས།,
,,116,2,《པེ་》《སྣར་》,བསྒྲུབས།,
,,117,3,《པེ་》《སྣར་》,པ།,
,,118,4,《པེ་》《སྣར་》,མི།,
,,119,5,《པེ་》《སྣར་》,ཞིག,
,,120,6,《པེ་》《སྣར་》,༼འཇུག,
,,121,7,《སྣར་》,ཁ།,
,,122,8,《པེ་》《སྣར་》,ཁ།,
,,123,9,《སྣར་》,གཟུངས།,
,338,124,1,《པེ་》,མི་རྟོགས།,《སྣར་》,མ་རྟོགས།
,,125,2,《པེ་》《སྣར་》,༼ཉིད།,
,339,126,1,《པེ་》《སྣར་》,བསམ།,
,,127,2,《པེ་》《སྣར་》,༼རབ།,
,,128,3,《པེ་》《སྣར་》,བརྟན།,
,,129,4,《པེ་》《སྣར་》,བརྟན།,
,,130,5,《ཅོ་》,པར།,
,,131,6,《སྣར་》,བསམས།,
,,132,7,《པེ་》《སྣར་》,སྒོམ།,
,,133,8,《པེ་》《སྣར་》,༽གཉེན་པོ་ལ་དམིགས་པའི་མཚན་མ་དང་།,
,,134,9,《པེ་》《སྣར་》,བསྒོམས།,
,,135,10,《པེ་》《སྣར་》,རིམས་སུ།,
,340,136,1,《པེ་》《སྣར་》,བཞུགས།,
,,137,2,《པེ་》《སྣར་》,གྱིས།,
,,138,3,《པེ་》《སྣར་》,བསལ།,
,,139,4,《པེ་》《སྣར་》,༽མི།,
,,140,5,《སྣར་》,༼ལྟ།,
,341,141,1,《པེ་》《སྣར་》《ཅོ་》,གྱི།,
,,142,2,《པེ་》《སྣར་》,རྫུན།,
,,143,3,《པེ་》《སྣར་》,སོ།,
,,144,4,《སྣར་》,༽ཚེ།,
,,145,5,《པེ་》《སྣར་》,༼བ།,
,342,146,1,《པེ་》,༼པ།,
,,147,2,《པེ་》《སྣར་》,སྒོམ།,
,,148,3,《སྣར་》,སྒའི།,
,,149,4,《པེ་》《སྣར་》,༽པ།,
,,150,5,《པེ་》《སྣར་》,༽ན།,
,,151,6,《པེ་》,འཆད།,
,343,152,1,《པེ་》《སྣར་》,བསྲུངས་ཏེ།,
,,153,2,《པེ་》《སྣར་》,པ།,
,,154,3,《པེ་》《སྣར་》,སྒོམ།,
,,155,4,《སྣར་》,བསམས།,
,,156,5,《སྣར་》,འདོར།,
,,157,6,《པེ་》,ཏེ།,
,,158,7,《པེ་》《སྣར་》,༽དབྱིངས།,
,344,159,1,《སྣར་》,འོ།,
,,160,2,《པེ་》《སྣར་》,དག,
,,161,3,《པེ་》《སྣར་》,པ་ནི།,
,,162,4,《པེ་》《སྣར་》,ཅིས་སྤང་།,
,,163,5,《སྣར་》,༽བྱ་བ།,
,,164,6,《པེ་》《སྣར་》,༽ལ།,
,345,165,1,《པེ་》《སྣར་》,༼གཞན་དག་ལ།,
,,166,2,《པེ་》《སྣར་》,ཀྱི།,
,,167,3,《པེ་》《སྣར་》,མཆེད།,
,,168,4,《པེ་》《སྣར་》,བའོ།,
,,169,5,《པེ་》《སྣར་》,ཀྱིས།,
,,170,6,《པེ་》《སྣར་》,དཔྱོད།,
,316,171,1,《པེ་》《སྣར་》,སྤང་།,
,,172,2,《པེ་》《སྣར་》,༼དག,
,,173,3,《པེ་》《སྣར་》,བོས།,
,,174,4,《སྣར་》,བརྟོགས།,
,,175,5,《པེ་》《སྣར་》,འགྲུབ་པས།,
,347,176,1,《པེ་》《སྣར་》,བསྒོམས།,
,,177,2,《པེ་》《སྣར་》,དཔྱོད།,
,,178,3,《པེ་》《སྣར་》,བསླུ།,
,,179,4,《པེ་》《སྣར་》,༼ལ།,
,348,180,1,《པེ་》《སྣར་》,རྟོག,
,,181,2,《པེ་》《སྣར་》,པར།,
,,182,3,《ཅོ་》,འགྱུར་བ།,
,,183,4,《པེ་》《སྣར་》,ས།,
,,184,5,《པེ་》《སྣར་》,དེ།,
,,185,6,《པེ་》《སྣར་》,མི།,
,349,186,1,《པེ་》《སྣར་》,ཏེ།,
,,187,2,《པེ་》《སྣར་》,ཞུགས་པ་ཡི།,
,,188,3,《པེ་》,རྟོགས།,
,,189,4,《པེ་》《སྣར་》,འཐོབ།,
,350,190,1,《པེ་》《སྣར་》,ཀྱིས།,
,,191,2,《པེ་》《སྣར་》,དཔྱོད།,
,,192,3,《སྣར་》,༽བརྒྱ།,
,,193,4,《པེ་》《སྣར་》,གིས།,
,,194,5,《སྣར་》,པར།,
,,195,6,《པེ་》,༽ནི།,
,,196,7,《པེ་》《སྣར་》,༼ཕྲག,
,351,197,1,《པེ་》《སྣར་》,སྤོང་།,
,,198,2,《པེ་》《སྣར་》,པ་སྟེ།,
,352,199,1,《སྣར་》,བཟུང་།,
,,200,2,《པེ་》《སྣར་》,༼ན།,
,,201,3,《པེ་》《སྣར་》,༽བ།,
,,202,4,《པེ་》《སྣར་》,རྩོལ།,
,,203,5,《པེ་》《སྣར་》,རྩོལ།,
,,204,6,《པེ་》,དབུས།,
,,205,7,《པེ་》《སྣར་》,བསལ།,
,,206,8,《པེ་》《སྣར་》,རྒོད།,
,353,207,1,《པེ་》《སྣར་》,བསམ་སྟེ།,
,,208,2,《པེ་》《སྣར་》,བལྟོས།,
,,209,3,《པེ་》《སྣར་》,༼བ།,
,,210,4,《པེ་》《སྣར་》,པ།,
,,211,5,《པེ་》《སྣར་》,གསུང་བ།,
,354,212,1,《པེ་》《སྣར་》,དཔས།,
,,213,2,《པེ་》《སྣར་》,སྒོམ།,
,,214,3,《པེ་》《སྣར་》,དབྱིང་།,
,,215,4,《པེ་》《སྣར་》,གྱིས།,
,,216,5,《པེ་》《སྣར་》,བསྒོམས།,
,,217,6,《པེ་》《སྣར་》,དྲ་བ།,
,355,218,1,《པེ་》《སྣར་》,བསྒོམས།,
,,219,2,《པེ་》《སྣར་》,རྒྱུ།,
,,220,3,《པེ་》《སྣར་》,༽དུས།,
,356,221,1,《པེ་》《སྣར་》,༽དང་།,
,,222,2,《པེ་》《སྣར་》,རྟོག,
,,223,3,《པེ་》《སྣར་》,གིས།,
,,224,4,《སྣར་》,པོ།,
,,225,5,《པེ་》,གི།,
,,226,6,《པེ་》《སྣར་》,༼དུ།,
,,227,7,《སྣར་》,རྟག,
,357,228,1,《པེ་》《སྣར་》,གྱི།,
,,229,2,《པེ་》《སྣར་》,དེ་ནི།,
,,230,3,《སྣར་》,༼དོ།,
,358,231,1,《པེ་》《སྣར་》,༽ཀྱི་མཆོག་དང་ལྡན་པའི་ཐམས་ཅད།,
,,232,2,《པེ་》《སྣར་》,༽ནི།,
,,233,3,《པེ་》《སྣར་》,ལྷས་བྱིན།,
,359,234,1,《པེ་》《སྣར་》,པར།,
,,235,2,《པེ་》《སྣར་》,༼དུ་ཡང་།,
,,236,3,《པེ་》《སྣར་》,༽སྐྱོན་དུ་འགྱུར་བའི།,
,,237,4,《པེ་》《སྣར་》,༼འབྲེལ་བར།,
,,238,5,《པེ་》《སྣར་》,དེ།,
,360,239,1,《པེ་》《སྣར་》,བས།,
,,240,2,《པེ་》,གི།,
,,241,3,《པེ་》《སྣར་》,བ།,
,,242,4,《པེ་》《སྣར་》,པ།,
,,243,5,《པེ་》《སྣར་》,༽དུ།,
,361,244,1,《པེ་》《སྣར་》,ལྟ།,
,,245,2,《པེ་》《སྣར་》,པ་སྟེ།,
,362,246,1,《སྣར་》,པ།,
,,247,2,《པེ་》《སྣར་》,ཐོས།,
,363,248,1,《པེ་》《སྣར་》,༽ཐོབ་པ།,
,,249,2,《པེ་》《སྣར་》,སོ།,
,364,250,1,《པེ་》《སྣར་》,བརྐོ།,
,,251,2,《པེ་》《སྣར་》,བསག,
,,252,3,《པེ་》《སྣར་》,༼བྱེ།,
,364,253,1,《པེ་》《སྣར་》,བར།,
,,254,2,《པེ་》《སྣར་》,ཏུ།,
,,255,3,《པེ་》《སྣར་》,མི།,
,,256,4,《པེ་》《སྣར་》,ཏེ།,
,366,257,1,《པེ་》,གསུངས་པས།,《སྣར་》,གསུང་བསུ།
,,258,2,《པེ་》《སྣར་》,པའམ།,
,,259,3,《པེ་》《སྣར་》,༼ནི།,
,,260,4,《པེ་》《སྣར་》,པ་བརྐོ།,
,,261,5,《པེ་》《སྣར་》,ཀྱིས།,
,,262,6,《པེ་》,གྱུར་གྱི་ཡིད།,《སྣར་》,གྱུར་གྱི་འདི།
,367,263,1,《པེ་》《སྣར་》,བཞི་པ།,
,,264,2,《པེ་》,སྤོང་།,《སྣར་》,སྤངས།
,,265,3,《སྣར་》,བར།,
,368,266,1,《པེ་》《སྣར་》,བཏགས།,
,,267,2,《སྣར་》,གཟུག་པ།,
,,268,3,《པེ་》《སྣར་》,བརྟགས།,
,,269,4,《སྣར་》,གཟུངས།,
,,270,5,《པེ་》,བཟོད།,
,,271,6,《སྣར་》,མ།,
,369,272,1,《པེ་》《སྣར་》,༽སོགས་པ།,
,,273,2,《སྣར་》,༽དེ།,
,,274,3,《པེ་》《སྣར་》,བརྟགས།,
,,275,4,《པེ་》《སྣར་》,བོ།,
,,276,5,《པེ་》《སྣར་》,བུ།,
,,277,6,《པེ་》《སྣར་》,བའི།,
,,278,7,《པེ་》《སྣར་》,༽སུ།,
,,279,8,《པེ་》《སྣར་》,༼འགྱུར།,
,,280,9,《པེ་》《སྣར་》,གི་ཕྱིར།,
,370,281,1,《པེ་》《སྣར་》,གསོན།,
,,282,2,《པེ་》《སྣར་》,ནི།,
,,283,3,《པེ་》《སྣར་》,ལ་གང་ནོར།,
,,284,4,《པེ་》《སྣར་》,གསོན།,
,,285,5,《པེ་》《སྣར་》,༽ཡང་།,
,371,286,1,《པེ་》《སྣར་》,༽ཡང་།,
,,287,2,《པེ་》《སྣར་》,༼དུ།,
,,288,3,《པེ་》《སྣར་》,༽དེ།,
,,289,4,《པེ་》《སྣར་》,ཀྱིས།,
,372,290,1,《པེ་》《སྣར་》,༽ཡང་།,
,,291,2,《པེ་》《སྣར་》,༽མི་མཐོང་བ་ནི་དངོས་པོ།,
,,292,3,《པེ་》《སྣར་》,ཀྱིས།,
,,293,4,《པེ་》《སྣར་》,བསྟན།,
,,294,5,《པེ་》《སྣར་》,༼པ།,
,,295,6,《པེ་》《སྣར་》,དུའོ།,
,373,296,1,《པེ་》《སྣར་》,༼གི།,
,,297,2,《པེ་》《སྣར་》,རིགས།,
,,298,3,《པེ་》《སྣར་》,བཅད།,
,,299,4,《པེ་》《སྣར་》,སྤོང་།,
,,300,5,《པེ་》《སྣར་》,བལྟོས།,
,,301,6,《སྣར་》,བོ།,
,,302,7,《སྣར་》,སྡུས།,
,,303,8,《པེ་》《སྣར་》,༼དེའི།,
,374,304,1,《པེ་》,བསམ།,
,,305,2,《པེ་》《སྣར་》,༽གང་།,
,,306,3,《པེ་》《སྣར་》,པ།,
,,307,4,《པེ་》《སྣར་》,བརྟན།,
,,308,5,《པེ་》《སྣར་》,༼པར།,
,,309,6,《སྣར་》,རོ།,
,375,310,1,《པེ་》《སྣར་》,༼ན།,
,,311,2,《པེ་》《སྣར་》,གཟུགས།,
,,312,3,《པེ་》《སྣར་》,ཡི།,
,,313,4,《པེ་》《སྣར་》,།། །།,
,,314,5,《པེ་》《སྣར་》,མཱ།,
,,315,6,《པེ་》《སྣར་》,ཞུས།,
,,316,7,《པེ་》《སྣར་》,ལོཙྪ།,
,,317,8,《པེ་》《སྣར་》,རཀྵི།,
