མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ,མཆན།,
,,107,22,《པེ་》,བཏང་།,《སྣར་》,གཏང་།
,,108,23,《པེ་》《སྣར་》,ལྟའོ།,
,485,109,1,《པེ་》《སྣར་》,mརྫོགས་པར།,
,,110,2,《པེ་》《སྣར་》,ཡོད།,
,,111,3,《པེ་》《སྣར་》,གྲུབ།,
,,112,4,《པེ་》《སྣར་》,mཐམས་ཅད།,
,,113,5,《པེ་》《སྣར་》,mཅན།,
,,114,6,《པེ་》《སྣར་》,pཅན།,
,,115,7,《པེ་》《སྣར་》,བསྒྲུབ།,
,,116,8,《པེ་》《སྣར་》,སྨིན།,
,,117,9,《པེ་》《སྣར་》,ཀྱི།,
,,118,10,《པེ་》《སྣར་》,སྲེག,
,486,119,1,《པེ་》《སྣར་》,mགིས།,
,,120,2,《པེ་》《སྣར་》,ཡོང་མདོ་སྡེའི་ཆོ་ག་ལ་སྤྱིར།,
,,121,3,《པེ་》,བཞིན།,
,,122,4,《པེ་》《སྣར་》,པའི།,
,,123,5,《སྣར་》,དག,
,,124,6,《པེ་》,རྒྱན།,
,,125,7,《སྣར་》,བསྟེན།,
,487,126,1,《པེ་》《སྣར་》,པར།,
,,127,2,《སྣར་》,པོ།,
,,128,3,《སྣར་》,པར།,
,,129,4,《སྣར་》,རྟག,
,,130,5,《པེ་》《སྣར་》,mགཉིས་པ།,
,,131,6,《པེ་》《སྣར་》,དང་།,
,,132,7,《པེ་》《སྣར་》,པོ།,
,,133,8,《སྣར་》,mཔ།,
,488,134,1,《པེ་》,ལྟའོ།,
,,135,2,《པེ་》《སྣར་》,pདཀར་པོ།,
,,136,3,《སྣར་》,པ།,
,,137,4,《པེ་》,pཔ།,
,,138,5,《པེ་》《སྣར་》,mདུ།,
,,139,6,《པེ་》,འབྱེད།《སྣར་》,འབྱེ།
,,140,7,《པེ་》《སྣར་》,རིག,
,,141,8,《སྣར་》,མིན།,
,,142,9,《པེ་》《སྣར་》,སྒྲོག,
,,143,10,《པེ་》《སྣར་》,སྒྲུབ།,
,,144,11,《པེ་》《སྣར་》,པོར།,
,,145,12,《པེ་》,སྐོར།,
,,146,13,《པེ་》《སྣར་》,ས།,
,,147,14,《པེ་》《སྣར་》《ཅོ་》,པར།,
,489,148,1,《སྣར་》,གཏོད།,
,,149,2,《པེ་》,གིས་གསོལ་པ་དེ།,《སྣར་》,གི་གསོལ་པ་དེ།
,,150,3,《པེ་》《སྣར་》,འགྲེལ།,
,,151,4,《པེ་》《སྣར་》,པའི།,
,,152,5,《པེ་》,དཀྲི།,
,,153,6,《སྣར་》,རྣ།,
,,154,7,《པེ་》《སྣར་》,གདགས།,
,,155,8,《པེ་》《སྣར་》,pལ།,
,490,156,1,《པེ་》《སྣར་》,སྐྱེད།,
,,157,2,《པེ་》《སྣར་》,བསྟན།,
,,158,3,《པེ་》《སྣར་》,ཀྱི།,
,,159,4,《པེ་》《སྣར་》,ཟིན་གྱིས།,
,,160,5,《པེ་》,གླེང་བ་ཙམ་གྱིས།,《སྣར་》,གླེང་བ་ཙམ་གྱི།
,,161,6,《པེ་》《སྣར་》,རྟོག,
,,162,7,《པེ་》《སྣར་》,པོའི་རིམ།,《ཅོ་》,པོ་རིགས།
,,163,8,《པེ་》《སྣར་》,གཞག(ཆོས་ཚན་འདིའི་ནང་དུ་བཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་གཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེདད།),
,,164,9,《པེ་》《སྣར་》,དུ་སྒྲུབས།,
,,165,10,《པེ་》《སྣར་》,རྟོག,
,,166,11,《སྣར་》,དགོས་པོས།,
,,167,12,《པེ་》《སྣར་》,གྱིས།,
,,168,13,《ཅོ་》,pདེའི།,
,491,169,1,《པེ་》《སྣར་》,ལམ།,
,,170,2,《སྣར་》,བྱལ།,
,,171,3,《པེ་》《སྣར་》,mརྣམས།,
,,172,4,《པེ་》,མཐོན།,
,,173,5,《པེ་》《སྣར་》,ས།,
,,174,6,《པེ་》《སྣར་》,ཀྱིས།,
,,175,7,《པེ་》,དོག,
,,176,8,《པེ་》《སྣར་》,ཚེའི།,
,,177,9,《པེ་》《སྣར་》,ཀྱི།,
,,178,10,《པེ་》《སྣར་》,pགྲངས།,
,,179,11,《པེ་》《སྣར་》,སྐྱེད།,
,,180,12,《པེ་》《སྣར་》,mལ།,
,492,181,1,《པེ་》《སྣར་》,བར།,
,,182,2,《པེ་》《སྣར་》,སྨྲས་པ།,
,,183,3,《པེ་》《སྣར་》,རྩེ།,
,,184,4,《པེ་》《སྣར་》,མངོན།,
,,185,5,《པེ་》《སྣར་》,འཚོལ།,
,,186,6,《པེ་》《སྣར་》,མི་འཕང་བས།,
,,187,7,《པེ་》《སྣར་》,དུ།,
,,188,8,《ཅོ་》,pན།,
,,189,9,《སྣར་》,གཏན།,
,493,190,1,《པེ་》《སྣར་》,དེ་ཅིའི།,
,,191,2,《པེ་》《སྣར་》,དགོས།,
,,192,3,《པེ་》,ཚིགས།,
,,193,4,《པེ་》《སྣར་》,pང་།,
,,194,5,《པེ་》《སྣར་》,ཞིག,
,,195,6,《སྣར་》,འཆང་།,
,,196,7,《པེ་》《སྣར་》,བར།,
,,197,8,《པེ་》《སྣར་》,དྲིས།,
,,198,9,《པེ་》《སྣར་》,དགོས།,
,,199,10,《པེ་》《སྣར་》,mདད་པ།,
,,200,11,《པེ་》《སྣར་》,རྟོག,
,494,201,1,《པེ་》《སྣར་》,སྒོ།,
,,202,2,《པེ་》《སྣར་》,མཉམ།,
,,203,3,《པེ་》《སྣར་》,དེ་བཟློས།,
,,204,4,《པེ་》《སྣར་》,pལ།,
,,205,5,《པེ་》《སྣར་》,སྡུད།,
,,206,6,《པེ་》《སྣར་》,དཔའ།,
,,207,7,《པེ་》《སྣར་》,mཕྱིར།,
,,208,8,《པེ་》,སྨོས་ཏེ།དགའ་བོ།,《སྣར་》,སྨོས་ཏེ། དགའོ།
,,209,9,《པེ་》《སྣར་》,pགྱི།,
,,210,10,《སྣར་》,དགའོ།,
,,211,11,《སྣར་》,དགའོས།,
,,212,12,《པེ་》《སྣར་》,པ་མཉམ།,
,,213,13,《སྣར་》,དགའ་འོས།,
,,214,14,《པེ་》《སྣར་》,ལས།,
,495,215,1,《པེ་》《སྣར་》,གྱི།,
,,216,2,《པེ་》,ཏེ་ལྷས་བྱིན།,《སྣར་》,ཏེ་ལྷས་སྦྱིན།
,,217,3,《པེ་》,བདགས།,
,,218,4,《པེ་》《སྣར་》,དགའོས།,
,,219,5,《སྣར་》,དགའོས།,
,,220,6,《པེ་》《སྣར་》,ཀྱིས།,
,,221,7,《པེ་》《སྣར་》,དབང་།,
,,222,8,《པེ་》《སྣར་》,pདུས།,
,,223,9,《པེ་》《སྣར་》,མཉན།,
,,224,10,《སྣར་》,གྱིས།,
,,225,11,《པེ་》《སྣར་》,ད།,
,,226,12,《པེ་》,ཀྱིས།,
,496,227,1,《སྣར་》,ཀྱིས།,
,,228,2,《པེ་》《སྣར་》,ཞེས་བྱ་བའོ།,
,,229,3,《པེ་》《སྣར་》,pཕྱུག,
,,230,4,《སྣར་》,གཞེངས།,
,,231,5,《པེ་》《སྣར་》,པ།,
,,232,6,《པེ་》《སྣར་》,པ་དང་།,
,,233,7,《སྣར་》,ནས།,
,,234,8,《པེ་》《སྣར་》,pའདྲེ།,
,,235,9,《པེ་》《སྣར་》,སྦྱུག,
,,236,10,《པེ་》《སྣར་》,གྱི་མི་རྩེ།,
,,237,11,《པེ་》《སྣར་》,ཁུང་།,
,497,238,1,《སྣར་》,ལ།,
,,239,2,《པེ་》《སྣར་》,ནི།,
,,240,3,《ཅོ་》,mབ།,
,,241,4,《པེ་》《སྣར་》,ཆེ།,
,,242,5,《ཅོ་》,pབ་བྱ་བ་བ།,
,,243,6,《པེ་》《སྣར་》,པས།,
,498,244,1,《པེ་》《སྣར་》,སྐྱེད།,
,,245,2,《པེ་》《སྣར་》,པ་ལྟ།,
,,246,3,《སྣར་》,དཀྲི།,
,,247,4,《པེ་》《སྣར་》,pན།,
,,248,5,《པེ་》,ལོང་།,
,,249,6,《པེ་》《སྣར་》,pརྣམས།,
,,250,7,《པེ་》《སྣར་》,ལ།,
,,251,8,《སྣར་》,དཀྲི།,
,,252,9,《པེ་》《སྣར་》,ད་འདིར།,
,,253,10,《པེ་》《སྣར་》,ཅིའི།,
,,254,11,《པེ་》《སྣར་》,ཟའི།,
,,255,12,《པེ་》《སྣར་》,pགྱི།,
,,256,13,《པེ་》《སྣར་》,pགི།,
,,257,14,《པེ་》《སྣར་》,པོའི།,
,,258,15,《པེ་》《སྣར་》,ལྷག,
,,259,16,《པེ་》《སྣར་》,ས།,
,,260,17,《པེ་》《སྣར་》,རྟོག,
,499,261,1,《པེ་》《སྣར་》,གི།,
,,262,2,《པེ་》《སྣར་》,དེ་དག,
,,263,3,《པེ་》,pསངས་རྒྱས་ཀྱི་འཁོར་མ་སྨོས་པ་ནི།,
,,264,4,《པེ་》,ཀྱི།,
,,265,5,《པེ་》《སྣར་》,ཀྱི།,
,,266,6,《པེ་》,གྱིས་བརླབས་ཀྱིས།,《སྣར་》,གྱི་བརླབས་ཀྱི།
,,267,7,《པེ་》《སྣར་》,pའཁོར།,
,,268,8,《པེ་》《སྣར་》,དཔའ་བས།,
,,269,9,《པེ་》《སྣར་》,ཞམ།,
,,270,10,《པེ་》《སྣར་》,mཕྱིར།,
,500,271,1,《པེ་》《སྣར་》,པའི།,
,,272,2,《པེ་》《སྣར་》,དཔའི།,
,,273,3,《པེ་》《སྣར་》,mགི།,
,,274,4,《པེ་》《སྣར་》,གྱི།,
,,275,5,《པེ་》,ཀྱི་བསྐོར་ཏེ།,《སྣར་》,ཀྱི་བསྐོར་ཏོ།
,,276,6,《པེ་》《སྣར་》,གྱི།,
,,277,7,《པེ་》《སྣར་》,བས།,
,,278,8,《པེ་》《སྣར་》,ནི།,
,,279,9,《པེ་》《སྣར་》,ལ།,
,,280,10,《པེ་》《སྣར་》,pའདིས།,
,,281,11,《པེ་》《སྣར་》,བསྟན།,
,501,282,1,《པེ་》《སྣར་》,སྐྱེད།,
,,283,2,《པེ་》《སྣར་》,སྲིད།,
,,284,3,《པེ་》,བཞི།,
,,285,4,《པེ་》《སྣར་》,གྱི།,
,,286,5,《པེ་》《སྣར་》,ཀྱི།,
,,287,6,《པེ་》《སྣར་》,བྱ་བའོ།,
,502,288,1,《ཅོ་》,pཔས།,
,,289,2,《པེ་》《སྣར་》,ནས།,
,,290,3,《པེ་》《སྣར་》,ཆེ།,
,,291,4,《སྣར་》,བདེན་པའི།,
,,292,5,《པེ་》《སྣར་》,mཕྱིར།,
,,293,6,《པེ་》《སྣར་》,དང་།,
,,294,7,《པེ་》《སྣར་》,pཔོ།,
,503,295,1,《པེ་》《སྣར་》,ཤ་སྟག,
,,296,2,《པེ་》《སྣར་》《ཅོ་》,ཀྱི།,
,,297,3,《སྣར་》,དྲལ།,
,,298,4,《པེ་》《སྣར་》,pལ།,
,,299,5,《པེ་》《སྣར་》,སོགས།,
,504,300,1,《པེ་》《སྣར་》,སྤང་བའོ།,
,,301,2,《པེ་》《སྣར་》,གྱི།,
,,302,3,《པེ་》《སྣར་》,pཔོ།,
,,303,4,《སྣར་》,ཐོས།,
,505,304,1,《པེ་》《སྣར་》,བསྡུད།,
,,305,2,《པེ་》《སྣར་》,པ་ནི།,
,,306,3,《པེ་》,སྲུང་སྐྱེ།,
,,307,4,《པེ་》,འབྱུང་བ་ལྔ།,《སྣར་》,བྱུང་བ་ལྔ།
,,308,5,《སྣར་》,ཡོད་ཡང་།,
,,309,6,《པེ་》《སྣར་》,pཔ།,
,,310,7,《པེ་》,བུ།,
,,311,8,《པེ་》,མཽངྒལ་གྱི།,《སྣར་》,མོངྒལ་གྱི།
,506,312,1,《པེ་》,ཀོོ་དི།,《སྣར་》,ཀོའུ་དི།
,,313,2,《པེ་》,ཀོོ་དི་ནྱ་མིང་།,《སྣར་》,ཀོའུ་དི་ནྱ་མིང་།
,,314,3,《པེ་》《སྣར་》,pདང་།,
,,315,4,《པེ་》《སྣར་》,པོར།,
,,316,5,《པེ་》《སྣར་》《ཅོ་》,དགར།,
,,317,6,《སྣར་》,ཤཱ།,
,,318,7,《པེ་》《སྣར་》,ཞིག,
,,319,8,《པེ་》《སྣར་》,ཏེ།,
,,320,9,《པེ་》《སྣར་》,ཀ་ཏྱ།,
,,321,10,《པེ་》《སྣར་》,སྐྲ་བྲེག,
,,322,11,《པེ་》,ཆགས་ཏེ།,《སྣར་》,ཆགས་སྟེ།
,,323,12,《པེ་》《སྣར་》,སློབ།,
,507,324,1,《པེ་》《སྣར་》,mལ།,
,,325,2,《སྣར་》,གིས།,
,,326,3,《པེ་》《སྣར་》,རྟོག,
,,327,4,《པེ་》《སྣར་》,ཀྱི།,
,,328,5,《པེ་》《སྣར་》,གཉིས་ཀྱི།,
,,329,6,《སྣར་》,པར།,
,,330,7,《པེ་》《སྣར་》,ཤ་སྟག,《ཅོ་》,ཤེ་བདག
,,331,8,《པེ་》《སྣར་》,འདི།,
,,332,9,《པེ་》《སྣར་》,པ་སྟེ།,
,,333,10,《པེ་》《སྣར་》,ཤ་སྟག,
,,334,11,《པེ་》《སྣར་》,རྟོག,
,508,335,1,《པེ་》《སྣར་》,ཐོབ།,
,,336,2,《པེ་》《སྣར་》,ཤ་སྟག,
,,337,3,《པེ་》《སྣར་》,ཤ་སྟག,
,,338,4,《པེ་》《སྣར་》,ཀྱི།,
,,339,5,《པེ་》《སྣར་》《ཅོ་》,pདེ་ལ།,
,,340,6,《པེ་》《སྣར་》,mནི།,
,,341,7,《སྣར་》,ཀྱིས།,
,,342,8,《པེ་》,pརྣམ་པ།,
,,343,9,《པེ་》,mཀྱིས།,
,509,344,1,《པེ་》《སྣར་》,ཤ་སྟག,
,,345,2,《པེ་》《སྣར་》,ཏེ།,
,,346,3,《པེ་》《སྣར་》,བསྒོམས།,
,,347,4,《པེ་》《སྣར་》《ཅོ་》,རིགས།,
,,348,5,《པེ་》《སྣར་》,པ།,
,,349,6,《པེ་》《སྣར་》,སྒྲུབ།,
,,350,7,《པེ་》《སྣར་》,པ།,
,,351,8,《པེ་》《སྣར་》,བསྒོམ།,
,,352,9,《པེ་》《སྣར་》,ལོ་འཁྲུལ་པ།,
,510,353,1,《པེ་》《སྣར་》,ཀྱིས།,
,,354,2,《པེ་》《སྣར་》,པའི།,
,,355,3,《པེ་》《སྣར་》,བུ།,
,,356,4,《པེ་》《སྣར་》,mཀྱིས།,
,511,357,1,《པེ་》《སྣར་》,ཀྱི་དབུལ་འཕོངས།,
,,358,2,《པེ་》《སྣར་》,ཀྱི་ཇི།,
,,359,3,《པེ་》《སྣར་》,སྟོབས།,
,,360,4,《པེ་》《སྣར་》,ཀྱི།,
,,361,5,《པེ་》《སྣར་》,ཇི།,
,,362,6,《པེ་》《སྣར་》,དང་།,
,,363,7,《པེ་》《སྣར་》,ཀྱི།,
,,364,8,《པེ་》《སྣར་》,mཔ།,
,,365,9,《པེ་》《སྣར་》,སྒྲུན།,
,512,366,1,《པེ་》《སྣར་》,རྟོག,
,,367,2,《སྣར་》,བསྒོམ།,
,,368,3,《པེ་》《སྣར་》,འཇོག,
,,369,4,《པེ་》《སྣར་》,རྟོག,
,,370,5,《པེ་》《སྣར་》,རྟོག,
,,371,6,《པེ་》《སྣར་》,པོ།,
,,372,7,《པེ་》,ཤེས།,
,513,373,1,《པེ་》《སྣར་》,པོའི།,
,,374,2,《སྣར་》,པོ།,
,,375,3,《པེ་》《སྣར་》,རྟོག,
,,376,4,《པེ་》《སྣར་》,གྱི།,
,,377,5,《པེ་》《སྣར་》,བརྟགས།,
,,378,6,《པེ་》,mཅན།,
,,379,7,《པེ་》《སྣར་》,pཡང་།,
,,380,8,《པེ་》,ཞུགས།,
,514,381,1,《པེ་》《སྣར་》,mམངའ།,
,,382,2,《པེ་》《སྣར་》,mཔ།,
,,383,3,《པེ་》《སྣར་》,mཔའི།,
,,384,4,《པེ་》《སྣར་》,ཀྱི།,
,,385,5,《པེ་》《སྣར་》,གི།,
,,386,6,《པེ་》《སྣར་》,སྲུང་།,
,,387,7,《པེ་》,བརྟགས།,
,,388,8,《པེ་》《སྣར་》,ཆེན་པོ།,
,,389,9,《པེ་》《སྣར་》,སྟོབས།,
,515,390,1,《པེ་》《སྣར་》,ཀྱི།,
,516,391,1,《པེ་》《སྣར་》,བའི།,
,,392,2,《པེ་》《སྣར་》,mབོ།,
,,393,3,《པེ་》《སྣར་》,ཀྱི།,
,,394,4,《པེ་》《སྣར་》,སོར།,
,,395,5,《པེ་》,བཟངས་འདི།,《སྣར་》,བཟང་འདི།
,,396,6,《སྣར་》,བཞིའི།,
,,397,7,《པེ་》《སྣར་》,སྐྱེས་ཏེ། འདབ་བཟང་།,
,517,398,1,《པེ་》,འདབས་བཟང་།,《སྣར་》,འདབ་བཟང་།
,,399,2,《པེ་》《སྣར་》,སོད།,
,,400,3,《པེ་》《སྣར་》,བོ་བསྡུ་བའི།,
,,401,4,《པེ་》《སྣར་》,འཐོབ།,
,,402,5,《སྣར་》,དབང་།,
,,403,6,《པེ་》《སྣར་》,pའཁོར་ཕུན་སུམ་ཚོགས་པ་སྟེ།,
,,404,7,《པེ་》《སྣར་》,རྟོག,
,518,405,1,《པེ་》《སྣར་》,བ།,
,,406,2,《པེ་》《སྣར་》,ཀྱི།,
,,407,3,《པེ་》《སྣར་》,དོ།,
,,408,4,《པེ་》《སྣར་》,mཔའི།,
,,409,5,《སྣར་》,པོ།,
,,410,6,《སྣར་》,mཔ།,
,519,411,1,《པེ་》《སྣར་》,ཡང་།,
,,412,2,《པེ་》,པ།,
,,413,3,《པེ་》《སྣར་》,ཀྱི་བསྲུང་།,
,,414,4,《པེ་》《སྣར་》,སྐྱེད།,
,,415,5,《པེ་》《སྣར་》,རི།,
,,416,6,《པེ་》《སྣར་》,འདི།,
,,417,7,《པེ་》《སྣར་》,mགཞན།,
,,418,8,《པེ་》《སྣར་》,ལུས།,
,,419,9,《པེ་》《སྣར་》,སྐྱེད།,
,,420,10,《པེ་》《སྣར་》《ཅོ་》,གནས།,
,,421,11,《པེ་》,པར།,
,520,422,1,《པེ་》《སྣར་》,ཐོབ།,
,,423,2,《པེ་》,སྐྱེས།,《སྣར་》,སྐྱེད།
,,424,3,《པེ་》《སྣར་》,སྐྱེད།,
,,425,4,《པེ་》《སྣར་》,སྐྱེད།,
,,426,5,《པེ་》《སྣར་》,སྐྱེད།,
,,427,6,《པེ་》《སྣར་》,ན་འདི་མཛོད།,
,,428,7,《པེ་》《སྣར་》,mསྨིན་པ།,
,,429,8,《པེ་》,ཀྱི།,
,,430,9,《པེ་》,བཟུང་།,
,,431,10,《པེ་》《སྣར་》,གིས།,
,,432,11,《པེ་》《སྣར་》,རི།,
,,433,12,《པེ་》,དང་།,
,521,434,1,《པེ་》《སྣར་》,སྐྱེད།,
,,435,2,《པེ་》,mཔ།,
,,436,3,《པེ་》,གྱི།,
,,437,4,《པེ་》《སྣར་》,mའདི།,
,,438,5,《པེ་》《སྣར་》,ཀྱི།,
,,439,6,《པེ་》《སྣར་》,སྦྱོར།,
,,440,7,《པེ་》《སྣར་》,འདིའི།,
,,441,8,《པེ་》《སྣར་》,ཀྱི།,
,,442,9,《པེ་》《སྣར་》,སྐུའི།,
,,443,10,《པེ་》《སྣར་》,འབྱེ་བའི།,
,,444,11,《པེ་》《སྣར་》,བསྟན།,
,522,445,1,《པེ་》《སྣར་》,mགསང་བའི།,
,,446,2,《པེ་》,mཔ།,
,,447,3,《པེ་》《སྣར་》,བསྡུད།,
,,448,4,《པེ་》《སྣར་》,བསྡུད།,
,,449,5,《པེ་》《སྣར་》,གྱིས་བརླབས།,
,,450,6,《པེ་》,བས་འོ།,
,,451,7,《པེ་》《སྣར་》,ཀྱི།,
,523,452,1,《པེ་》《སྣར་》,བཞུགས།,
,,453,2,《པེ་》《སྣར་》,རྟོག,
,,454,3,《པེ་》《སྣར་》,བལྟ།,
,,455,4,《པེ་》《སྣར་》,བཞུགས།,
,,456,5,《པེ་》《སྣར་》,གྱི།,
,,457,6,《པེ་》《སྣར་》,གསལ།,
,,458,7,《པེ་》《སྣར་》,mདང་།,
,,459,8,《པེ་》《སྣར་》,བ།,
,,460,9,《པེ་》,བཅས།,
,524,461,1,《པེ་》,mདེ།,
,,462,2,《པེ་》,བྱུང་།,
,,463,3,《པེ་》《སྣར་》,གྱི།,
,,464,4,《པེ་》《སྣར་》,གསལ།,
,,465,5,《པེ་》《སྣར་》,འདི།,
,,466,6,《པེ་》,mདུ།,
,,467,7,《པེ་》《སྣར་》,བསྒོམ།,
,,468,8,《པེ་》《སྣར་》,གྱིས།,
,,469,9,《པེ་》《སྣར་》,pནོ།,
,,470,10,《པེ་》《སྣར་》,ཀྱི།,
,,471,11,《པེ་》,mཉིད།,
,,472,12,《པེ་》《སྣར་》,གྱི།,
,525,473,1,《པེ་》《སྣར་》,ཀྱི།,
,,474,2,《པེ་》《སྣར་》,རི།,
,,475,3,《པེ་》《སྣར་》《ཅོ་》,pཔའི།,
