མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,
,,98,9,《པེ་》《སྣར་》,༼ཡང་།,,
,,99,10,《པེ་》《སྣར་》,༼བྱ་བ།,,
,,100,11,《པེ་》《སྣར་》,༼ཡིན་པ་དེ་ལྡན་པའི་ངོ་བོ་ཡང་།,,
,896,101,1,《པེ་》《སྣར་》,པས།,,
,,102,2,《པེ་》《སྣར་》,མ།,,
,,103,3,《པེ་》《སྣར་》,ཁྱོད་ཉིད།,,
,,104,4,《པེ་》《སྣར་》,པོར།,,
,,105,5,《པེ་》《སྣར་》,དེས།,,
,,106,6,《སྣར་》,སྭོ།,,
,,107,7,《པེ་》《སྣར་》,བྲལ་སྭོ་པས་ཤེས་བྱ་བྱ་ལ།,,
,,108,8,《པེ་》,ཚོགས་སུ།,《སྣར་》,ཚིག་གིས།,
,,109,9,《པེ་》《སྣར་》,༼པ།,,
,,110,10,《སྣར་》,༼ཟད།,,
,,111,11,《པེ་》,གྱིས།,,
,897,112,1,《པེ་》《སྣར་》,བཞིན།,,
,,113,2,《པེ་》《སྣར་》,༼འདི།,,
,,114,3,《པེ་》《སྣར་》,བརྟན།,,
,,115,4,《པེ་》《སྣར་》,༼ཆེན་པོ།,,
