མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,97,2,《པེ་》《སྣར་》,pགིས།,
,,98,3,《སྣར་》,པ།,
,,99,4,《སྣར་》,བསྟིར།,
,,100,5,《པེ་》《སྣར་》,སུ།,
,,101,6,《པེ་》《སྣར་》,སྟེ།,
,,102,7,《པེ་》《སྣར་》,པས།,
,39,103,1,《པེ་》《སྣར་》,འདི།,
,,104,2,《པེ་》《སྣར་》,བསྒྲུབ།,
,40,105,1,《པེ་》《སྣར་》,འདི།,
,41,106,1,《པེ་》《སྣར་》《ཅོ་》,pབ།,
,,107,2,《པེ་》《སྣར་》,པ།,
,,108,3,《པེ་》《སྣར་》,པོས།,
,42,109,1,《པེ་》《སྣར་》,ལ།,
,,110,2,《པེ་》《སྣར་》,པ།,
,43,111,1,《སྣར་》,mབ།,
,44,112,1,《པེ་》《སྣར་》,བསྒྲུབ།,
,,113,2,《སྣར་》,བཀུར།,
,47,114,1,《པེ་》《སྣར་》,ནས།,
,48,115,1,《པེ་》《སྣར་》,བསྒྲུབ།,
,,116,2,《སྣར་》,པ།,
,,117,3,《པེ་》《སྣར་》,mདེ།,
,,118,4,《སྣར་》,པདྨོ།,
,50,119,1,《སྣར་》,པས།,
,,120,2,《སྣར་》,ནས།,
,,121,3,《སྣར་》,འོང་བས།,
,51,122,1,《པེ་》《སྣར་》,པ།,
,,123,2,《སྣར་》,གྱིས།,
,,124,3,《པེ་》《སྣར་》,འདི།,
,52,125,1,《པེ་》《སྣར་》,ཏེ།,
,,126,2,《པེ་》《སྣར་》,བསྒྲུབ།,
,,127,3,《སྣར་》,པ།,
,53,128,1,《པེ་》《སྣར་》,mབསྟི་སྟང་དུ་བྱ་བ་དང་།,
,54,129,1,《སྣར་》,mབ།,
,,130,2,《སྣར་》,mཡང་།,
,55,131,1,《སྣར་》,འོག,
,56,132,1,《པེ་》《སྣར་》,mཀུན།,
,,133,2,《པེ་》《སྣར་》,བསྒྲུབ།,
,57,134,1,《སྣར་》,བར།,
,59,135,1,《པེ་》《སྣར་》,པོས།,
,,136,2,《སྣར་》,ཀྱི།,
,,137,3,《སྣར་》,mཔ།,
,,138,4,《པེ་》《སྣར་》,pབདུད་དང་བཅས་པ།,
,60,139,1,《པེ་》《སྣར་》,།།,
,,140,2,《པེ་》《སྣར་》,།། །།,
,,141,3,《པེ་》《སྣར་》,mབའི་བྱ།,
,61,142,1,《པེ་》《སྣར་》,།།  །།,
,,143,2,《པེ་》《སྣར་》,།།  །།,
,,144,3,《སྣར་》,འགོད།,
,,145,4,《པེ་》《སྣར་》,།།  །།,
,,146,5,《པེ་》《སྣར་》,།།  །།,
,62,147,1,《པེ་》《སྣར་》,།།  །།,
,63,148,1,《པེ་》《སྣར་》,སྔོས།,
,,149,2,《པེ་》《སྣར་》,pཔ།,
,64,150,1,《པེ་》《སྣར་》,།། །།,
,65,151,1,《སྣར་》,པོ།,
,,152,2,《པེ་》《སྣར་》,པར།,
,,153,3,《པེ་》《སྣར་》,ཀྱི།,
,,154,4,《པེ་》《སྣར་》,དབྱེ།,
,,155,5,《སྣར་》,པོ།,
,,156,6,《པེ་》《སྣར་》,།། །།,
,,157,7,《སྣར་》,འགོད།,
,66,158,1,《པེ་》,ཀྱི་དགེ་བའི་རྩ་བ།,《སྣར་》,ཀྱི་དགེ་སློང་ཏེ།
,,159,2,《པེ་》《སྣར་》,མནན།,
,,160,3,《པེ་》《སྣར་》,།། །།,
,,161,4,《པེ་》《སྣར་》,མནན།,
,,162,5,《པེ་》《སྣར་》,།། །།,
,,163,6,《སྣར་》,འགོད།,
,,164,7,《པེ་》《སྣར་》,མནན།,
,,165,8,《པེ་》《སྣར་》,།།  །།,
,67,166,1,《པེ་》《སྣར་》,མནན།,
,,167,2,《པེ་》《སྣར་》,མནན།,
,,168,3,《སྣར་》,པའི།,
,,169,4,《པེ་》《སྣར་》,།། །།,
,,170,5,《པེ་》《སྣར་》,མནན།,
,,171,6,《པེ་》《སྣར་》,པོ།,
,,172,7,《པེ་》《སྣར་》,།། །།,
,68,173,1,《པེ་》《སྣར་》,བརྩོན།,
,,174,2,《པེ་》《སྣར་》,pལ།,
,,175,3,《པེ་》《སྣར་》,བལྟོས།,
,69,176,1,《པེ་》《སྣར་》,།། །།,
,,177,2,《པེ་》《སྣར་》,པོ།,
,,178,3,《པེ་》《སྣར་》,ལ།,
,,179,4,《པེ་》《སྣར་》,pའགྱུར་བར།,
,,180,5,《པེ་》《སྣར་》,pདག,
,,181,6,《སྣར་》,བསྐུར།,
,,182,7,《པེ་》《སྣར་》,པས།,
,70,183,1,《པེ་》《སྣར་》,།། །།,
,,184,2,《པེ་》《སྣར་》,pདང་།,
,,185,3,《པེ་》《སྣར་》,བྱུ།,
,71,186,1,《པེ་》《སྣར་》,།། །།,
,,187,2,《སྣར་》,mམེད་པ།,
,,188,3,《སྣར་》,pཔ།,
,72,189,1,《པེ་》《སྣར་》,mནི།,
,,190,2,《པེ་》《སྣར་》,ཟེའི་རིགས།,
,,191,3,《པེ་》《སྣར་》,pགི་རིགས།,
,73,192,1,《པེ་》,སྐྱེད།,
,,193,2,《སྣར་》,པོར།,
,,194,3,《པེ་》《སྣར་》,བྱིན།,
,,195,4,《པེ་》《སྣར་》,བྱིན།,
,,196,5,《པེ་》《སྣར་》,བྱིན།,
,,197,6,《པེ་》《སྣར་》,བྱིན།,
,74,198,1,《པེ་》《སྣར་》,བྱིན།,
,,199,2,《པེ་》《སྣར་》,བྱིན།,
,,200,3,《པེ་》《སྣར་》《ཅོ་》,ན།,
,75,201,1,《པེ་》《སྣར་》,པ།,
,,202,2,《སྣར་》,པ།,
,,203,3,《པེ་》《སྣར་》,པ།,
,,204,4,《སྣར་》,པ།,
,,205,5,《པེ་》《སྣར་》,།། །།,
,,206,6,《པེ་》《སྣར་》,mའཇིག་རྟེན་གྱི་ཁམས་ཀྱི།,
,76,207,1,《སྣར་》,གཤགས།,
,,208,2,《པེ་》《སྣར་》,བསྲེག,
,,209,3,《པེ་》《སྣར་》,གིས།,
,,210,4,《པེ་》《སྣར་》,དེ་སོར།,
,,211,5,《པེ་》《སྣར་》,དག,
,77,212,1,《པེ་》《སྣར་》,mསུམ།,
,,213,2,《པེ་》《སྣར་》,།། །།,
,,214,3,《སྣར་》,pལ།,
,,215,4,《པེ་》《སྣར་》,ཅིག,
,78,216,1,《པེ་》《སྣར་》,mཀྱང་།,
,,217,2,《སྣར་》,འགོད།,
,79,218,1,《པེ་》《སྣར་》,།། །།,
,,219,2,《སྣར་》,བས།,
,,220,3,《པེ་》《སྣར་》,ཀྱི།,
,,221,4,《པེ་》《སྣར་》,ཀྱི།,
,,222,5,《པེ་》《སྣར་》,རྟོགས།,
,,223,6,《པེ་》《སྣར་》,།། །།,
,,224,7,《པེ་》《སྣར་》,mབཅོམ་ལྡན་འདས།,
,80,225,1,《པེ་》《སྣར་》,བསྒྲུབ།,
,81,226,1,《པེ་》《སྣར་》,སུ།,
,,227,2,《པེ་》《སྣར་》,mསྙེད།,
,,228,3,《པེ་》《སྣར་》,mགི།,
,,229,4,《པེ་》《སྣར་》,ཀྱིས།,
,82,230,1,《པེ་》《སྣར་》,སྟོན།,
,,231,2,《པེ་》《སྣར་》,གཟུང་།,
,,232,3,《པེ་》《སྣར་》,ནས།,
,,233,4,《པེ་》《སྣར་》,།། །།,
,84,234,1,《པེ་》《སྣར་》,སྟོན།,
,,235,2,《པེ་》《སྣར་》,pརབ་ཏུ།,
,85,236,1,《སྣར་》,mགང་།,
,,237,2,《པེ་》《སྣར་》《ཅོ་》,པ།,
,,238,3,《པེ་》《སྣར་》,pརབ་ཏུ།,
,86,239,1,《པེ་》《སྣར་》,སུ།,
,88,240,1,《པེ་》《སྣར་》,mཡང་དག་པར།,
,,241,2,《པེ་》《སྣར་》,mཡང་དག་པར།,
,,242,3,《པེ་》《སྣར་》,mཡང་དག་པར།,
,89,243,1,《པེ་》《སྣར་》,mཡང་དག་པར།,
,90,244,1,《པེ་》《སྣར་》,།། །།,
,,245,2,《སྣར་》,གཞག,
,91,246,1,《སྣར་》,mཔར,
,,247,2,《པེ་》《སྣར་》,pདག,
,,248,3,《སྣར་》,ཀྲོལ།,
,,249,4,《ཅོ་》,mདགོད་པར།,
,,250,5,《སྣར་》,mཕྱིར།,
,92,251,1,《པེ་》《སྣར་》,ལས།,
,93,252,1,《པེ་》《སྣར་》,mགཅེར་བུ་རྣམས་གོས་ཐོབ་པར་བྱའོ་སྙམ་པ་དང་།,
,,253,2,《སྣར་》,གཞག,
,95,254,1,《པེ་》《སྣར་》,རྣམ་པར་བཀྲོལ།,
,,255,2,《སྣར་》,གཞག,
,,256,3,《པེ་》《སྣར་》,pལ་དགོད་པར་བྱའོ་སྙམ་པ།,
,96,257,1,《སྣར་》,གཞག,
