མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,107,2,《པེ་》《སྣར་》,mགྱི།,
,,108,3,《པེ་》《སྣར་》,pབ་དེ།,
,,109,4,《པེ་》《སྣར་》,བྱས།,
,,110,5,《པེ་》《སྣར་》,བཟུང་།,
,,111,6,《པེ་》《སྣར་》,རྔན།,
,303,112,1,《པེ་》《སྣར་》,འབྱུང་།,
,,113,2,《པེ་》《སྣར་》,pབ།,
,,114,3,《པེ་》《སྣར་》,བརྟེན།,
,,115,4,《པེ་》《སྣར་》,པ།,
,304,116,1,《པེ་》《སྣར་》,བཟུང་།,
,,117,2,《པེ་》《སྣར་》,བྱང་།,
,,118,3,《པེ་》《སྣར་》,རྗེད།,
,,119,4,《པེ་》《སྣར་》,pབར་བྱ།,
,,120,5,《པེ་》《སྣར་》,བསླུ།,
,,121,6,《པེ་》《སྣར་》,པ།,
,,122,7,《པེ་》《སྣར་》,སོད།,
,,123,8,《པེ་》《སྣར་》,ལྡང་།,
,,124,9,《པེ་》《སྣར་》,པ་དང་།,
,305,125,1,《པེ་》《སྣར་》,pཔ།,
,,126,2,《པེ་》《སྣར་》,བལྟའོ།,
,306,127,1,《པེ་》《སྣར་》,བསད།,
,,128,2,《པེ་》《སྣར་》,འདིའི་སྡིག,
,,129,3,《པེ་》《སྣར་》,གིས་གཞན་སྐྱེད།,
,,130,4,《པེ་》《སྣར་》,mཔ་ལ་སོགས།,
,307,131,1,《པེ་》《སྣར་》,mཕུང་པོ།,
,,132,2,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།《ཅོ་》,ཤཱ་ར་དྭ།
,,133,3,《སྣར་》,mབྱ་བར།,
,,134,4,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།《ཅོ་》,ཤཱ་ར་དྭ།
,,135,5,《པེ་》《སྣར་》,སྡེ།,
,308,136,1,《པེ་》《སྣར་》,སྒྲུབས།,
,,137,2,《པེ་》《སྣར་》,བཀག,
,,138,3,《པེ་》《སྣར་》,གྱི།,
,,139,4,《པེ་》《སྣར་》,གྱི།,
,,140,5,《སྣར་》,mཔར་བརྟགས།,
,309,141,1,《པེ་》《སྣར་》,དཔའ།,
,,142,2,《པེ་》《སྣར་》,བསྡུད།,
,310,143,1,《པེ་》《སྣར་》《ཅོ་》,pདེ་དང་།,
,,144,2,《པེ་》《སྣར་》,mགྱི།,
,,145,3,《པེ་》《སྣར་》,ཤཱ་ར་དྭཱ།,
,311,146,1,《སྣར་》,ཉམས།,
,,147,2,《པེ་》《སྣར་》,པར་བཟུང་།《ཅོ་》,པ་བཟུང་།
,,148,3,《པེ་》《སྣར་》,mཔ་གསུངས།,
,,149,4,《པེ་》《སྣར་》,mཡང་།,
,,150,4,《པེ་》《སྣར་》,ཆད།,
,,151,5,《པེ་》《སྣར་》,mཅི་ཡང་།,
,312,152,1,《པེ་》《སྣར་》,mཡང་།,
,,153,2,《པེ་》,དེ་ཡང་།《སྣར་》《ཅོ་》,དེ་སྐད།
,313,154,1,《པེ་》《སྣར་》,བཞིན།,
,,155,2,《པེ་》《སྣར་》,གཏང་།,
,,156,3,《པེ་》《སྣར་》,mབ།,
,,157,4,《པེ་》《སྣར་》,པ།,
,314,158,1,《པེ་》《སྣར་》,ཤོ་ལོ།,
,,159,2,《པེ་》《སྣར་》,ཀྱི།,
,,160,3,《པེ་》《སྣར་》,མཱ་ཏི་ཙི་ཊ།,
,,161,4,《པེ་》《སྣར་》,ཀྱི།,
,,162,5,《པེ་》,mགཟིགས་འཚང་རྒྱ་བར་འགྱུར་ཞེས་དང་། ་་་་མོས་པ་སྤྱོད་པའི་ས་ལ། ( ཞེས་པའི་གཡུང་དྲུང་རྟགས་བར་གྱི་ཡི་གེ་རྣམས་དེབ་འདིའི་ལྡེབ329པའི་བསྡུར་མཆན་3པར་དཔེ་བསྡུར་བྱས་ཡོད། ),
,,163,4,《སྣར་》,pཆུད་པ་རྣམས་ཀྱི།,
,,164,6,《པེ་》《སྣར་》《ཅོ་》,བརྟན།,
,,165,7,《པེ་》《སྣར་》《ཅོ་》,དགོས།,
,,166,8,《པེ་》《སྣར་》,སྤུ།,
,,167,9,《སྣར་》,mཀྱི།,
,,168,10,《པེ་》《སྣར་》,pསུ། འདིར་མཆན་གྲངས་འཁྲིགས་འདུག་པས་དོ་སྣང་གནང་རོགས།,
,315,169,1,《པེ་》《སྣར་》,དྷ།,
,,170,2,《སྣར་》《ཅོ་》,གསུངས།,
,,171,3,《སྣར་》,དེ།,
,,172,4,《སྣར་》,བསྟན།,
,,173,5,《པེ་》《སྣར་》,བསྡུད།,
,,174,6,《སྣར་》,གིས།,
,,175,7,《པེ་》《སྣར་》,བསྲུངས།,
,316,176,1,《པེ་》,མཐུན།,
,,177,2,《པེ་》《སྣར་》,pབ་དང་།,
,,178,3,《པེ་》《སྣར་》,སྣོད།,
,,179,4,《པེ་》《སྣར་》,mལ།,
,,180,5,《པེ་》《སྣར་》,mཡང་།,
