                     མཚན་བྱང་།,            ཤོག་གྲངས།,1,           མཆན་གྲངས།,       པར་མ།,                                                                        མཆན།,
,,31,4,《པེ་》《སྣར་》,༽པ།,
,64,32,1,《པེ་》《སྣར་》,མངས།,
,,33,2,《པེ་》《སྣར་》,མེད།,
,,34,3,《སྣར་》,གཟུང་།,
,,35,4,《པེ་》《སྣར་》,འདུ་ཤེས་ཅན།,
,,36,5,《པེ་》《སྣར་》,༼ནམ་མཁའ་ཡས་…..རྣམས་ནི་འདི་ལྟ་སྟེ།,
,,37,6,《སྣར་》,གཟུང་།,
,,38,7,《པེ་》《སྣར་》,༼འདུ་ཤེས་མེད།,
,,39,8,《པེ་》《སྣར་》,༼ནི།,
,65,40,1,《པེ་》《སྣར་》,༼ནི།,
,,41,2,《པེ་》《སྣར་》,༽ཡིན།,
,,42,3,《པེ་》《སྣར་》,༼བར་བྱ།,
,,43,4,《སྣར་》,པའོ།,
,,44,5,《པེ་》《སྣར་》,རྟོག,
,,45,6,《པེ་》《སྣར་》,བྱ་བའི་ཕྱིར་རོ།,
,66,46,1,《པེ་》《སྣར་》,བསྒོམ།,
,,47,2,《སྣར་》,ཀྱི།,
,,48,3,《སྣར་》,རིག,
,,49,4,《པེ་》《སྣར་》,རྫི།,
,,50,5,《པེ་》《སྣར་》,༽གི།,
,,51,6,《པེ་》《སྣར་》,བསྒྱུར།,
,67,52,1,《པེ་》《སྣར་》,འབྲལ།,
,,53,2,《སྣར་》,༽ནི།,
,,54,3,《པེ་》《སྣར་》,༼ཤེས།,
,,55,4,《སྣར་》,༼ན།,
,,56,5,《སྣར་》,མ།,
,,57,6,《པེ་》《སྣར་》,༼ཀྱི།,
,,58,7,《པེ་》《སྣར་》,༼ནི།,
,,59,8,《པེ་》《སྣར་》,བརྟགས།,
,68,60,1,《པེ་》《སྣར་》,རིག,
,,61,2,《སྣར་》,བསྒོམ།,
,,62,3,《པེ་》《སྣར་》,གྱིས།,
,,63,4,《པེ་》《སྣར་》,ཀྱི།,
,,64,5,《པེ་》《སྣར་》,༼རྣམ་པར།,
,,65,6,《པེ་》《སྣར་》,བརྟེན།,
,,66,7,《པེ་》《སྣར་》,རྟོན།,
,69,67,1,《པེ་》《སྣར་》,༼ནི།,
,,68,2,《པེ་》《སྣར་》,རྟོན།,
,,69,3,《པེ་》《སྣར་》,རྟོན།,
,,70,4,《པེ་》《སྣར་》,ཉམས།,
,,71,5,《པེ་》《སྣར་》,སྤངས་ཏེ།,
,,72,6,《པེ་》《སྣར་》,༼ཕྱིར།,
,,73,7,《པེ་》《སྣར་》,ཆེན།,
,,74,8,《པེ་》《སྣར་》,ཡིད།,
,,75,9,《པེ་》《སྣར་》,༼དང་བ་དང།,
,,76,10,《པེ་》《སྣར་》,བཅོལ།,
,,77,11,《པེ་》《སྣར་》,བསྒྲུབ་ཏེ་དུས།,
,70,78,1,《པེ་》《སྣར་》,༼བྱ་བ།,
,,79,2,《པེ་》《སྣར་》,འཕྲོས།,
,,80,3,《པེ་》《སྣར་》,༼གི།,
,71,81,1,《པེ་》《སྣར་》,ཉམས།,
,,82,2,《པེ་》《སྣར་》,འདུལ།,
,,83,3,《པེ་》《སྣར་》,པ།,
,,84,4,《པེ་》《སྣར་》,༼པ་དང་སོ་སོར་ཐར།,
,72,85,1,《པེ་》《སྣར་》,༼ཤེས་བཞིན་དང་ལྡན་པ་ནི་ལྟུང་བའི་གཉེན་པོ་བསྒོམ་པའོ།།,
,,86,2,《པེ་》《སྣར་》,སྤངས་ཏེ།,
,,87,3,《སྣར་》,པ་ནི།,
,,88,4,《པེ་》《སྣར་》,རྟོགས།,
,73,89,1,《པེ་》《སྣར་》,ཐོས།,
,,90,2,《པེ་》《སྣར་》,༼དེ་ལ་རྣམ་པར་འབྱེད་པ་ནི་…..རྣམ་པར་ཕྱེ་བ་འཛིན་པའོ།།,
,,91,3,《པེ་》《སྣར་》,དེ།,
,,92,4,《པེ་》《སྣར་》,ཉེས་པར།,
,74,93,1,《པེ་》《སྣར་》,རྟོགས།,
,,94,2,《པེ་》《སྣར་》,གི།,
,,95,3,《སྣར་》,རྟོགས།,
,,96,4,《སྣར་》,༼ཏུ།,
,,97,5,《པེ་》《སྣར་》,༼པར།,
,75,98,1,《པེ་》《སྣར་》,བརྒལ།,
,,99,2,《པེ་》《སྣར་》,པར།,
,,100,3,《སྣར་》,༼པ།,
,,101,4,《པེ་》《སྣར་》,༽མི།,
,,102,5,《པེ་》《སྣར་》,༼གང་ཡིན་པ།,
,76,103,1,《སྣར་》,བསྒྲུབ།,
,,104,2,《པེ་》,བསྡེབས།,《སྣར་》,བསྡེབ།
,,105,3,《པེ་》《སྣར་》,གྱིས།,
,,106,4,《པེ་》《སྣར་》,༼དང་།,
,77,107,1,《སྣར་》,སྣ།,
,,108,2,《པེ་》《སྣར་》,བྱ།,
,,109,3,《པེ་》,བསླབས།,
,78,110,1,《པེ་》《སྣར་》,བརྟུན།,
,,111,2,《པེ་》,རབ་ཏུ་ནང་དུ་གནོད།,《སྣར་》,ཅན་རབ་ཏུ་ནང་དུ་གནོད།
,,112,3,《སྣར་》,ཀྱིས།,
,,113,4,《པེ་》《སྣར་》,པོ།,
,,114,5,《པེ་》《སྣར་》,༼ཅན།,
,,115,6,《པེ་》《སྣར་》,སླེབས།,
,,116,7,《སྣར་》,ཀྱི།,
,79,117,1,《པེ་》,ཉིད།,
,,118,2,《པེ་》《སྣར་》,བརྒལ།,
,,119,3,《པེ་》《སྣར་》,རྟོགས།,
,,120,4,《པེ་》《སྣར་》,བཀོང་བ།,
