མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,78,2,《པེ་》《སྣར་》,བའི།,
,,79,3,《པེ་》《སྣར་》,༼སེམས་དང་།,
,,80,4,《པེ་》《སྣར་》,གཉིས་གང་།,
,,81,5,《པེ་》《སྣར་》,གྱིས།,
,,82,6,《པེ་》《སྣར་》,ལྟར།,
,,83,7,《པེ་》《སྣར་》,༼མེད།,
,,84,8,《པེ་》《སྣར་》,པ་ནི།,
,81,85,1,《པེ་》,ན།,
,,86,2,《པེ་》《སྣར་》,རྟོག,
,,87,3,《པེ་》《སྣར་》,།། །།,
,,88,4,《པེ་》《སྣར་》,༼བྱས་ཏེ།,
,,89,5,《པེ་》《སྣར་》,༼རེག་པ་དང་། རྗེས་སུ་དྲན་པ་དང་།,
,,90,6,《པེ་》《སྣར་》,སོང་བ།,
,,91,7,《པེ་》《སྣར་》,༼བྱ་བ།,
,,92,8,《པེ་》《སྣར་》,༼སུ།,
,82,93,1,《པེ་》《སྣར་》,ཀྱི།,
,,94,2,《པེ་》《སྣར་》,སྒོམ།,
,,95,3,《པེ་》《སྣར་》,༽ལ།,
,,96,4,《པེ་》《སྣར་》,༽སུམ།,
,,97,5,《པེ་》《སྣར་》,དེ།,
,83,98,1,《པེ་》《སྣར་》,ལས།,
,,99,2,《པེ་》《སྣར་》,པ་སྤང་བའི།,
,,100,3,《པེ་》《སྣར་》,༼ཕྱིར་ཏེ། དེ་ཙམ་དུ་ཡུལ་དུ་གྱུར་པ།,
,,101,4,《པེ་》《སྣར་》,པ།,
,,102,5,《པེ་》《སྣར་》,སྤང་བའི།,
,,103,6,《པེ་》,ཁྱབ།,
,84,104,1,《པེ་》《སྣར་》,ཏེ། དེ་ལ།,
,,105,2,《པེ་》《སྣར་》,པར་འགྱུར་གྱི། བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི།,
,,106,3,《པེ་》《སྣར་》,ཀྱིས།,
,,107,4,《པེ་》《སྣར་》,ལ།,
,,108,5,《པེ་》《སྣར་》,མ།,
,,109,6,《པེ་》《སྣར་》,༼ལ།,
,,110,7,《པེ་》《སྣར་》,ཉིད་ཀྱི་ཡིན་གྱིས།,
,a,111,,,,
,85,112,1,《པེ་》《སྣར་》,༼ནི།,
,,113,2,《པེ་》《སྣར་》,རྟོག,
,,114,3,《པེ་》《སྣར་》,༼ཀྱི།,
,,115,4,《པེ་》《སྣར་》,ཀྱིས།,
,,116,5,《པེ་》《སྣར་》,གྱིས།,
,,117,6,《པེ་》《སྣར་》,སྤངས་པའི།,
,,,7,《པེ་》《སྣར་》,༼ལ།,
,86,118,1,《པེ་》《སྣར་》,༼ནི།,
,,119,2,《པེ་》《སྣར་》,དེ་ནས།,
,,120,3,《པེ་》《སྣར་》,སྤང་བ།,
,,121,4,《པེ་》《སྣར་》,མའོ། །དེ་ལྟ།,
,87,122,1,《པེ་》《སྣར་》,རྟོགས།,
,,123,2,《པེ་》《སྣར་》,བཞི་སྟེ། ,
,,124,3,《སྣར་》,།། །།,
,,125,4,《པེ་》《སྣར་》,༽མི་གཉིས་པ།,
,,126,5,《པེ་》《སྣར་》,༼གྱི།,
,88,127,1,《པེ་》《སྣར་》,༼དུ།,
,,128,2,《པེ་》《སྣར་》,༼མི་གནས་པས་ན།,
,,129,3,《པེ་》《སྣར་》,༼ནི།,
,,130,4,《པེ་》《སྣར་》,རོ།,
,,131,5,《པེ་》《སྣར་》,༽ལྟ་བུ་ལ་སོགས་པ།,
,,132,6,《པེ་》《སྣར་》,ལྟ།,
,89,133,1,《པེ་》《སྣར་》,༼རོ།།,
,,134,2,《པེ་》《སྣར་》,བཏགས།,
,,135,3,《པེ་》,དོན།,
,,136,4,《པེ་》《སྣར་》,༼པ།,
,90,137,1,《པེ་》《སྣར་》,༼དེ་ཡིན་ན་ནི།,
,,138,2,《པེ་》《སྣར་》,༽པའི་རྣམ།,
,,139,3,《པེ་》《སྣར་》,༼པ།,
,,140,4,《པེ་》《སྣར་》,རྟོག་ཅིང་རྗོད།,
,,141,5,《པེ་》《སྣར་》,༼པ།,
,,142,6,《པེ་》《སྣར་》,༼ཁྱད་པར།,
,91,143,1,《པེ་》《སྣར་》,པའི་ཕྱིར་རོ།,
,,144,2,《པེ་》,ཏེ།,
,,145,3,《པེ་》《སྣར་》,རོ།,
,,146,4,《པེ་》《སྣར་》,མེད།,
,,147,5,《པེ་》《སྣར་》,༼རོ།།,
,,148,6,《སྣར་》,པའི།,
,,149,7,《པེ་》《སྣར་》,༽ནི།,
,,150,8,《པེ་》《སྣར་》,༼བ།,
,,151,9,《པེ་》《སྣར་》,༼ནི།,
,,152,10,《པེ་》《སྣར་》,༼དུ།,
,,153,11,《པེ་》《སྣར་》,༽ལ།,
,92,154,1,《པེ་》《སྣར་》,དོ།,
,,155,2,《པེ་》《སྣར་》,དོ།,
,,156,3,《པེ་》,གྱིས།,
,,157,4,《པེ་》,༽པ།,
,,158,5,《པེ་》《སྣར་》,གཏེར།,
,,159,6,《པེ་》《སྣར་》,དེས།,
,,160,7,《སྣར་》,༼པར།,
,,161,8,《པེ་》《སྣར་》,ནི།,
,,162,9,《པེ་》《སྣར་》,༼མ།,
,93,163,1,《པེ་》《སྣར་》,བ།,
,,164,2,《པེ་》《སྣར་》,༽བཞི།,
,,165,3,《པེ་》《སྣར་》,༼མི།,
,,166,4,《པེ་》《སྣར་》,པ།,
,,167,5,《པེ་》《སྣར་》,༼དུ།,
,,168,6,《པེ་》,༽པ།,
,,169,7,《པེ་》《སྣར་》,ལ།,
,,170,8,《པེ་》《སྣར་》,པོ།,
,94,171,1,《པེ་》《སྣར་》,༼པ།,
,,172,2,《པེ་》《སྣར་》,༼མ།,
,,173,3,《པེ་》《སྣར་》,སྤྱོད།,
,,174,4,《པེ་》《སྣར་》,༽དེ།,
,,175,5,《པེ་》《སྣར་》,གིས།,
,,176,6,《པེ་》《སྣར་》,ཀྱིས།,
,95,177,1,《པེ་》《སྣར་》,༼པའི་ཕྱིར་རྒྱུན་མི་འཆད།,
,,178,2,《པེ་》《སྣར་》,རྣམ་པ།,
,,179,3,《པེ་》《སྣར་》,བའི།,
,,180,4,《པེ་》《སྣར་》,༽པ།,
,,181,5,《པེ་》《སྣར་》,པར།,
,,182,6,《པེ་》《སྣར་》,༽ལ།,
,,183,7,《པེ་》《སྣར་》,གཉེན།,
,,184,8,《པེ་》《སྣར་》,༼གཅིག,
,96,185,1,《པེ་》《སྣར་》,བྱེད།,
,,186,2,《པེ་》《སྣར་》,བཟློགས།,
,,187,3,《པེ་》《སྣར་》,།། །།,
,,188,4,《པེ་》《སྣར་》,རྟོག,
,,189,5,《པེ་》《སྣར་》,༼གནས།,
,,190,6,《པེ་》《སྣར་》,གྱུར་པ།,
,,191,7,《པེ་》《སྣར་》,༼གནས།,
,97,192,1,《པེ་》《སྣར་》,ལ།,
,,193,2,《པེ་》《སྣར་》,མི།,
,,194,3,《པེ་》《སྣར་》,༼པར་དམིགས།,
,,195,4,《པེ་》《སྣར་》,༼བ།,
,,196,5,《པེ་》《སྣར་》,དང་བར།,
,,197,6,《པེ་》《སྣར་》,མ།,
,,198,7,《པེ་》《སྣར་》,༼མ།,
,,199,8,《པེ་》《སྣར་》,དང་བ།,《པེ་》《སྣར་》,༼མི།
,,200,9,《པེ་》《སྣར་》,དང་བ།,
,,201,10,《པེ་》《སྣར་》,ལ།,
,,202,11,《པེ་》《སྣར་》,རྣམ་པར།,
,,203,12,《པེ་》《སྣར་》,ན།,
,98,204,1,《པེ་》《སྣར་》,པ།,
,,205,2,《པེ་》,༽སརྦ་མངྒཱ་ལམ།,
