མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,,30,5,《པེ་》《སྣར་》,བྱས་ཏེ།,
,,31,6,《པེ་》《སྣར་》,འཐོབ།,
,,32,7,《པེ་》《སྣར་》,གི།,
,,33,8,《པེ་》《སྣར་》,པ།,
,,34,9,《པེ་》《སྣར་》,༼ལ།,
,275,35,1,《པེ་》《སྣར་》,གི།,
,,36,2,《པེ་》《སྣར་》,ན།,
,,37,3,《པེ་》《སྣར་》,ཆར།,
,,38,4,《པེ་》《སྣར་》,དག,
,,39,5,《པེ་》《སྣར་》,དགག,
,,40,6,《པེ་》《སྣར་》,༽ཚད་མ་དང་།,
,,41,7,《པེ་》《སྣར་》,དགག,
,,42,8,《པེ་》《སྣར་》,དགག,
,,43,9,《པེ་》《སྣར་》,ཏེ་དགག་པ།,
,,44,10,《པེ་》《སྣར་》,འགོག,
,,45,11,《པེ་》《སྣར་》,གྲུབ།,
,,46,12,《པེ་》《སྣར་》,རྟག,
,,47,13,《པེ་》《སྣར་》,༼པ།,
,,48,14,《པེ་》《སྣར་》,༽པ།,
,,49,15,《པེ་》《སྣར་》,དགག,
,,50,16,《པེ་》《སྣར་》,པ།,
,,51,17,《པེ་》《སྣར་》,༽ཞེས།,
,276,52,1,《པེ་》《སྣར་》,པ།,
,,53,2,《པེ་》《སྣར་》,ལ།,
,,54,3,《པེ་》《སྣར་》,དགག,
,,55,4,《པེ་》《སྣར་》,ནམ།,
,,56,5,《སྣར་》,འགག,
,,57,6,《པེ་》《སྣར་》,སྨྲ་བར།,
,,58,7,《པེ་》《སྣར་》,དགག,
,,59,8,《པེ་》《སྣར་》,དགག,
,,60,9,《པེ་》《སྣར་》,༽དེ།,
,,61,10,《པེ་》《སྣར་》,ནོ།,
,,62,11,《པེ་》《སྣར་》,འཇིག,
,,63,12,《པེ་》《སྣར་》,ཏེ།,
,,64,13,《པེ་》《སྣར་》,བསལ།,
,277,65,1,《པེ་》《སྣར་》,འདིར།,
,,66,2,《པེ་》《སྣར་》,ད།,
,,67,3,《པེ་》《སྣར་》,ནས།,
,,68,4,《པེ་》《སྣར་》,༽དབང་པོ་དང་།,
,,69,5,《པེ་》《སྣར་》,༽མིག་གི།,
,,70,6,《པེ་》《སྣར་》,དེའི།,
,,71,7,《པེ་》《སྣར་》,འགྲེལ།,
,,72,8,《པེ་》《སྣར་》,མངོན།,
,,73,9,《པེ་》《སྣར་》,དེས།,
,,74,10,《པེ་》《སྣར་》,༼དེ།,
,278,75,1,《པེ་》《སྣར་》,༼ཕྱིར།,
,,76,2,《པེ་》《སྣར་》,༽མ།,
,,77,3,《པེ་》《སྣར་》,གཞན།,
,,78,4,《པེ་》《སྣར་》,བརྗོད།,
,,79,5,《པེ་》《སྣར་》,ལྟར།,
,,80,6,《པེ་》《སྣར་》,མི།,
,,81,7,《པེ་》《སྣར་》,༼པ།,
,,82,8,《པེ་》《སྣར་》,༼མ།,
,279,83,1,《པེ་》《སྣར་》,འཕྲུག,
,,84,2,《པེ་》《སྣར་》,ཡིན།,
,,85,3,《པེ་》《སྣར་》,ལྟོས།,
,,86,4,《པེ་》《སྣར་》,ལྟར།,
,,87,5,《པེ་》《སྣར་》,༽ལ།,
,,88,6,《པེ་》《སྣར་》,ནི།,
,280,89,1,《པེ་》《སྣར་》,གཅིག,
,,90,2,《པེ་》《སྣར་》,༼བོ།,
,,91,3,《པེ་》,༼པར་མ་སྐྱེས་པའི་དགོས།,
,,92,4,《པེ་》《སྣར་》,༽ན།,
,,93,5,《པེ་》《སྣར་》,སྣལ་མ།,
,,94,6,《པེ་》《སྣར་》,འཇག་མ།,
,,95,7,《པེ་》《སྣར་》,གིས།,
,,96,8,《པེ་》《སྣར་》,དཔྱོད།,
,,97,9,《པེ་》《སྣར་》,༼ཉིད།,
,281,98,1,《པེ་》《སྣར་》,སྒྲུབ།,
,,99,2,《པེ་》《སྣར་》,༽རོ།,
,,100,3,《པེ་》《སྣར་》,ལས།,
,,101,4,《པེ་》《སྣར་》,པས།,
,,102,5,《པེ་》《སྣར་》,ལས་ཀྱང་།,
,,103,6,《པེ་》《སྣར་》,ལས།,
,,104,7,《པེ་》《སྣར་》,མཐའ།,
,,105,8,《པེ་》《སྣར་》,༼གལ་ཏེ་ཐོག་མ་མ་གྲུབ་ན་དབུས་དང་མཐའ་གཉིས་མ་གྲུབ་པོ།།  ,
,,106,9,《པེ་》《སྣར་》,སྨྲ་བ།,
,,107,10,《པེ་》《སྣར་》,༼མ།,
,282,108,1,《པེ་》《སྣར་》,བཟུང་།,
,,109,2,《པེ་》《སྣར་》,རྣམས་ཀྱང་།,
,,110,3,《པེ་》《སྣར་》,ཅན།,
,,111,4,《པེ་》《སྣར་》,༼པ།,
,,112,5,《པེ་》《སྣར་》,མ།,
,,113,6,《པེ་》《སྣར་》,ཞིག,
,,114,7,《པེ་》《སྣར་》,༽ཅན།,
,,115,8,《པེ་》《སྣར་》,རྣམས་ལ།,
,,116,9,《པེ་》《སྣར་》,༼ལྟར།,
,,117,10,《པེ་》《སྣར་》,༼ན།,
,,118,11,《པེ་》《སྣར་》,༽ཚོགས་པ།,
,,119,12,《པེ་》《སྣར་》,བཞིན།,
,,120,13,《སྣར་》,སྟེ།,
,283,121,1,《པེ་》《སྣར་》,ཅིག,
,,122,2,《པེ་》《སྣར་》,སྐྱེད།,
,,123,3,《པེ་》《སྣར་》,མར།,
,,124,4,《པེ་》《སྣར་》,༽འབྱིན་པ།,
,,125,5,《པེ་》《སྣར་》,ཅིག,
,,126,6,《པེ་》《སྣར་》,ག་ལས་ཞེ།,
,,127,7,《པེ་》《སྣར་》,ཅིག་ལའང་ཁའི།,
,284,128,1,《པེ་》《སྣར་》,བ།,
