མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
རྣལ་འབྱོར་སྤྱོད་པའི་ས་རྣམ་པར་གཏན་ལ་དབབ་པ་བསྡུ་བ།,3,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་དབུའི་མཚན་སྨོས་པ་ལྟར་བཀོད།,,
,,3,2,《པེ་》《སྣར་》,༼དག,,
,,4,3,《པེ་》《སྣར་》,༽ས།,,
,,5,4,《པེ་》《སྣར་》,བཞག  ཆོས་ཚན་འདིའི་ནང་དུ་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།,,
,4,6,1,《པེ་》《སྣར་》,བོ།,,
,,7,2,《པེ་》,ཕྱིས།,,
,,8,3,《པེ་》,མ།,,
,,9,4,《པེ་》《སྣར་》,འདུ།,,
,,10,5,《པེ་》《སྣར་》,པའི།,,
,5,11,1,《པེ་》《སྣར་》,༽པ།,,
,,12,2,《པེ་》《སྣར་》,༼ཀྱིས།,,
,,13,3,《པེ་》《སྣར་》,༼མི།,,
,,14,4,《པེ་》,༽དང་།,,
,,15,5,《པེ་》《སྣར་》,བར།,,
,,16,6,《པེ་》《སྣར་》,༼ཅེས།,,
,,17,7,《པེ་》《སྣར་》,པར།,,
,,18,8,《པེ་》《སྣར་》,བྱར།,,
,,19,9,《པེ་》《སྣར་》,བྱར།,,
,,20,10,《པེ་》《སྣར་》,བྱར།,,
,6,21,1,《སྣར་》,ལྟ།,,
,,22,2,《པེ་》《སྣར་》,མ།,,
,,23,3,《པེ་》《སྣར་》,ངན་པའི།,,
,,24,4,《པེ་》《སྣར་》,བ།,,
,,25,5,《པེ་》,འདོར་བསྡུས།,《སྣར་》,མདོར་བསྡུས།
,7,26,1,《པེ་》《སྣར་》,ནས།,,
,,27,2,《པེ་》《སྣར་》,རྟོག,,
,,28,3,《སྣར་》,༼སེམས་མཉམ་པར་གཞག་པའམ།,,
,,29,4,《པེ་》《སྣར་》,༼གི།,,
,,30,5,《པེ་》,༼བ་དེ་དག་མི་འབྱུང་།,,
,,31,6,《པེ་》《སྣར་》,དེ།,,
,,32,7,《སྣར་》,༼ཞིང་མ་བྲལ་བར་མི་འགྱུར།,,
,,33,8,《པེ་》,ཀྱི།,,
,,34,9,《པེ་》,བཞི།,,
,,35,10,《པེ་》《སྣར་》,༼འཆི།,,
,8,36,1,《པེ་》《སྣར་》,༼ན།,,
,9,37,1,《པེ་》《སྣར་》,ཁམས།,,
,,38,2,《སྣར་》《ཅོ་》,བཅད།,,
,,39,3,《པེ་》《སྣར་》,འཚོ་བའི།,,
,,40,4,《པེ་》《སྣར་》,༼ཤེས་པར།,,
,,41,5,《པེ་》《སྣར་》,༼རྒྱུ།,,
,10,42,1,《པེ་》《སྣར་》,པ།,,
,,43,2,《པེ་》《སྣར་》,༼ཀྱང་།,,
,,44,3,《པེ་》,༼པའི།,,
,,45,4,《པེ་》,༽མ་ཡང་།,,
,11,46,1,《པེ་》,རྟེན།,,
,,47,2,《པེ་》《སྣར་》,ན་ནི།,,
,,48,3,《པེ་》《སྣར་》,རྟས།,,
,,49,4,《པེ་》《སྣར་》,༼ཚེ།,,
,,50,5,《སྣར་》,བསྐྱེད།,,
,,51,6,《པེ་》《སྣར་》,རྟས།,,
,,52,7,《སྣར་》,འགགས།,,
,,53,8,《པེ་》《སྣར་》,༼ཕྱིར་ཞིང་།,,
,,54,9,《པེ་》《སྣར་》,རྟས།,,
,,55,10,《པེ་》《སྣར་》,༼ཏུ།,,
,,56,11,《པེ་》《སྣར་》,༼དག,,
,12,57,1,《པེ་》《སྣར་》,རྟས།,,
,,58,2,《པེ་》《སྣར་》《ཅོ་》,དེ།,,
,,59,3,《སྣར་》,རློན།,,
,,60,4,《ཅོ་》,དགའ།,,
,,61,5,《པེ་》,༼གཉིས།,,
,,62,6,《པེ་》《སྣར་》,ཆིང་།,,
,13,63,1,《སྣར་》,༼སྡུག་བསྔལ་བ་དང་།,,
,,64,2,《སྣར་》,འདྲེས་པར།,,
,,65,3,《པེ་》《སྣར་》,༼དེ།,,
,,66,4,《པེ་》《སྣར་》,༼བདེ་བ་ཡང་མ་ཡིན།,,
,,67,5,《པེ་》《སྣར་》,༽བདེ་བ་ཡང་མ་ཡིན།,,
,,68,6,《ཅོ་》,།། །།,,
,,69,7,《པེ་》《སྣར་》,ལྟའོ།,,
,14,70,1,《པེ་》,པོ།,,
,,71,2,《སྣར་》,༽བ།,,
,,72,3,《པེ་》《སྣར་》,པར།,,
,,73,4,《པེ་》《སྣར་》,པར།,,
,15,74,1,《པེ་》《སྣར་》,པས།,,
,,75,2,《པེ་》《སྣར་》,པར།,,
,,76,3,《པེ་》《སྣར་》,པ།,,
,,77,4,《པེ་》,རྟོགས།,,
,,78,5,《པེ་》《སྣར་》,གཞག,《ཅོ་》,བཞག
,,79,6,《པེ་》,༼ཀུན།,,
,,80,7,《པེ་》《སྣར་》,པ།,,
,16,81,1,《པེ་》《སྣར་》,༼དག,,
,",                                                                                                                                                                                                                                                                                                                                                 ",82,2,《པེ་》《སྣར་》,༼དེ།,,
,,83,3,《པེ་》《སྣར་》,༼གཅིག,,
,,84,4,《པེ་》《སྣར་》,༼ན།,,
,,85,5,《པེ་》《སྣར་》,སུ།,,
,,86,6,《པེ་》《སྣར་》,ན།,,
,,87,7,《སྣར་》,བཞི།,,
,17,88,1,《པེ་》《སྣར་》,བའི།,,
,,89,2,《པེ་》,རྟས་པ།,《སྣར་》,རྟོས་པ།
,,90,3,《པེ་》《སྣར་》,བ།,,
,,91,4,《པེ་》《སྣར་》,གཞིའི།,,
,,92,5,《པེ་》《སྣར་》,སྒོམ།,,
,,93,6,《པེ་》《སྣར་》,འཇུག,,
,,94,7,《པེ་》《སྣར་》,སྒོམ།,,
,,95,8,《པེ་》《སྣར་》,༼བ།,,
,18,96,1,《པེ་》《སྣར་》,༼ཡང་།,,
,,97,2,《པེ་》《སྣར་》,༼ཆོས་ཐམས་ཅད་ཀྱི།,,
,,98,3,《པེ་》《སྣར་》,ངེས་པར་རྟོག,,
,,99,4,《པེ་》《སྣར་》,སྤུང་བ།,,
,,100,5,《པེ་》《སྣར་》,བརྒྱུར།,,
,19,101,1,《པེ་》《སྣར་》,མཐའ།,,
