མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
རྣལ་འབྱོར་སྤྱོད་པའི་ས་ལས་དངོས་གཞིའི་ས་མང་པོ།,671,2,1,,མཚན་བྱང་འདི་《སྡེ་བསྟན་དཀར་ཆག》ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,ག་ཙརྱ།,
,,4,3,《པེ་》《སྣར་》,བསམ།,
,,5,4,《པེ་》《སྣར་》,བསྒོམ།,
,672,6,1,《པེ་》《སྣར་》,བསྒོམ།,
,,7,2,《པེ་》《སྣར་》,པར།,
,,8,3,《སྣར་》,པས།,
,,9,4,《པེ་》《སྣར་》,ཏེ།,
,673,10,1,《པེ་》《སྣར་》,བར།,
,,11,2,《པེ་》《སྣར་》,དེ།,
,,12,3,《པེ་》《སྣར་》,༽པར།,
,,13,4,《པེ་》《སྣར་》,གཅད།,
,626,14,1,《པེ་》《སྣར་》,འཐུན།,
,,15,2,《པེ་》《སྣར་》,བ་དང་།,
,,16,3,《པེ་》《སྣར་》,ན།,
,677,17,1,《པེ་》《སྣར་》,༽ཀུན་དུ་བསྣམ་པར་བྱ་བ་དང་།,
,,18,2,《སྣར་》,༼ལ།,
,678,19,1,《པེ་》《སྣར་》,ལྡག,
,,20,2,《པེ་》《སྣར་》,བཞིབ།,
,,21,3,《སྣར་》,༼ངལ་བ་དང་།,
,679,22,1,《པེ་》《སྣར་》,འཐུན།,
,,23,2,《པེ་》《སྣར་》,ཀྱི།,
,680,24,1,《པེ་》《སྣར་》,འཐུན།,
,,25,2,《པེ་》《སྣར་》,གཡེང་བར།,
,681,26,1,《པེ་》《སྣར་》,བལྟ།,
,,27,2,《པེ་》《སྣར་》,ཡང་།,
,,28,3,《པེ་》《སྣར་》,༼ས།,
,682,29,1,《པེ་》《སྣར་》,ནི།,
,,30,2,《པེ་》《སྣར་》,པ།,
,,31,3,《པེ་》《སྣར་》,ལ།,
,,32,4,《པེ་》《སྣར་》,པའི།,
,,33,5,《པེ་》《སྣར་》,འཐུན།,
,683,34,1,《པེ་》《སྣར་》,༼ལས།,
,,35,2,《སྣར་》,གིས།,
,,36,3,《པེ་》《སྣར་》,ཆད།,
,,37,4,《པེ་》《སྣར་》,༼མཚམས།,
,,38,5,《པེ་》《སྣར་》,བུ།,
,,39,6,《པེ་》《སྣར་》,ལྟ།,
,,40,7,《པེ་》《སྣར་》,༼དང་།,
,,41,8,《པེ་》《སྣར་》,པར།,
,684,42,1,《པེ་》《སྣར་》,འབྱུང་།,
,,43,2,《པེ་》《སྣར་》,བཞིའོ།།,
,,44,3,《པེ་》《སྣར་》,རྟོག,
,,45,4,《པེ་》《སྣར་》,རྟོག,
,685,46,1,《པེ་》《སྣར་》,བ།,
,,47,2,《པེ་》《སྣར་》,གྱི།,
,,48,3,《པེ་》《སྣར་》,འཐུངས་པས།,
,,49,4,《པེ་》,ཀྱི།,
,,50,5,《པེ་》《སྣར་》,༽པ།,
,,51,6,《པེ་》《སྣར་》,༼པ།,
,,52,7,《པེ་》《སྣར་》,ཉེ།,
,,53,8,《པེ་》《སྣར་》,རྟས།,
