མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
,,34,10,《པེ་》《སྣར་》,༼པའི།,
,449,35,1,《པེ་》《སྣར་》,འཇིགས།,
,,36,2,《པེ་》《སྣར་》,མེ།,
,,37,3,《པེ་》《སྣར་》,འདི།,
,,38,4,《པེ་》《སྣར་》,དེ།,
,,39,5,《པེ་》《སྣར་》,འགག,
,,40,6,《པེ་》《སྣར་》,འགག,
,,41,7,《པེ་》《སྣར་》,འགག,
,,42,8,《པེ་》《སྣར་》,ལྟར།,
,,43,9,《པེ་》《སྣར་》,དོ། །དེས་ན།,
,450,44,1,《པེ་》《སྣར་》,རྟེན།,
,,45,2,《པེ་》,གཞག,
,,46,3,《པེ་》《སྣར་》,ཕྱིས།,
,451,47,1,《པེ་》《སྣར་》,དེ་དང་།,
,,48,2,《སྣར་》,དེས་དག,
,,49,3,《པེ་》《སྣར་》,ན།,
,,50,4,《པེ་》《སྣར་》,ལ།,
,,51,5,《སྣར་》,༼ཡང་།,
,,52,6,《པེ་》,༼ཡང་།,
,,53,7,《པེ་》《སྣར་》,ལ།,
,,54,8,《པེ་》《སྣར་》,དོ།,
,,55,9,《པེ་》《སྣར་》,༼རོ།,
,,56,10,《པེ་》《སྣར་》,པའི།,
,452,57,1,《སྣར་》,༽མྱུ་གུ་དེ་ཉིད།,
,,58,2,《པེ་》《སྣར་》,ལ།,
,,59,3,《པེ་》《སྣར་》,བཟུང་།,
,,60,4,《པེ་》《སྣར་》,༼པ།,
,,61,5,《པེ་》《སྣར་》,༼དག,
,,62,6,《པེ་》,ལ་གཅིག་བལྟོས།,《སྣར་》,ལས་གཅིག།
,453,63,1,《པེ་》《སྣར་》,༽རོ།,
,,64,2,《པེ་》《སྣར་》,བརྟགས།,
,,65,3,《པེ་》《སྣར་》,བརྟགས།,
,454,66,1,《པེ་》《སྣར་》,བརྟགས།,
,,67,2,《པེ་》《སྣར་》,བརྟགས།,
,,68,3,《པེ་》《སྣར་》,རྟག,
,,69,4,《པེ་》《སྣར་》,སྐྱེའོ།,
,,70,5,《པེ་》《སྣར་》,༽ནི།,
,,71,6,《པེ་》《སྣར་》,བའི།,
,,72,7,《པེ་》《སྣར་》,བསྐྱེད།,
,455,73,1,《པེ་》《སྣར་》,བསྒྲུབ།,
,,74,2,《པེ་》《སྣར་》,གྲང་།,
,,75,3,《པེ་》《སྣར་》,༼པ།,
,,76,4,《པེ་》《སྣར་》,སྐྱེ།,
,,77,5,《པེ་》《སྣར་》,༼ཡང་།,
,,78,6,《པེ་》《སྣར་》,དེ།,
,456,79,1,《པེ་》,༼པོ།,
,,80,2,《པེ་》《སྣར་》,བསྒྲུབ།,
