མཚན་བྱང་།,ཤོག་གྲགས།,1,མཆན་གྲངས། ,པར་མ།,མཆན།,,
,,124,3,《པེ་》,༼ཏེ།,,
,,125,4,《པེ་》《སྣར་》,སྐྱེད།,,
,,126,5,《པེ་》《སྣར་》,སྐྱེད།,,
,,127,6,《སྣར་》,ཐུགས།,,
,,128,7,《པེ་》《སྣར་》,༼ན།,,
,,129,8,《སྣར་》,༼དོ།,,
,,130,9,《པེ་》《སྣར་》,ཀྱིས།,,
,,131,10,《པེ་》《སྣར་》,བསལ།,,
,,132,11,《སྣར་》,སྟན།,,
,405,133,1,《པེ་》《སྣར་》,༼དུ།,,
,,134,2,《པེ་》《སྣར་》,ལྟའོ།,,
,,135,3,《པེ་》《སྣར་》,ལྟ་བ་བསལ།,,
,,136,4,《པེ་》《སྣར་》,བསལ།,,
,,137,5,《པེ་》《སྣར་》,གྱི།,,
,,138,6,《པེ་》《སྣར་》,༼མ།,,
,,139,7,《པེ་》《སྣར་》,༼བས།,,
,,140,8,《སྣར་》,བརྟག,,
,,141,9,《སྣར་》,སྡང་།,,
,406,142,1,《པེ་》《སྣར་》,བལྟོས།,,
,,143,2,《པེ་》《སྣར་》,འཕྲོ།,,
,,144,3,《པེ་》《སྣར་》,བསལ།,,
,,145,4,《པེ་》《སྣར་》,ས།,,
,,146,5,《པེ་》《སྣར་》,ས།,,
,407,147,1,《པེ་》《སྣར་》,ནི།,,
,,148,2,《པེ་》《སྣར་》,ཀྱིས།,,
,,149,3,《པེ་》,བ་སྦྱར་རོ།,《སྣར་》,བ་སྦྱ།,
,,150,4,《སྣར་》,ལྔས།,,
,408,151,1,《པེ་》《སྣར་》,མངོན་པར་འགྲུབ།,,
,,152,2,《པེ་》《སྣར་》,༼པར།,,
,,153,3,《པེ་》《སྣར་》,༼མ།,,
,409,154,1,《པེ་》《སྣར་》,བརྟན།,,
,,155,2,《པེ་》《སྣར་》,ན།,,
,,156,3,《པེ་》《སྣར་》,ལ།,,
,,157,4,《སྣར་》,བསྐྱོད།,,
,410,158,1,《སྣར་》,ཚོལ།,,
,,159,2,《སྣར་》,སྟ་བ།,,
,,160,3,《པེ་》《སྣར་》,དེས།,,
,,161,4,《སྣར་》,ཞེས།,,
,,162,5,《པེ་》《སྣར་》,སྐྱེད།,,
,,163,6,《པེ་》,སྐྱེ།,《སྣར་》,སྐྱ།,
,,164,7,《སྣར་》,སྨ།,,
,411,165,1,《པེ་》,པོས་སྟན།,,
,,166,2,《སྣར་》,ཕྱིར་ཅི་ལག་བི།,,
,,167,3,《སྣར་》,ཏེ།,,
,412,168,1,《པེ་》《སྣར་》,པོས།,,
,,169,2,《པེ་》《སྣར་》,བ།,,
,,170,3,《སྣར་》,གཞེན།,,
,413,171,1,《པེ་》《སྣར་》,གྱུར།,,
,,172,2,《པེ་》《སྣར་》,རྣམས།,,
,,173,3,《པེ་》《སྣར་》,༽ཞེས་བྱའོ།,,
,414,174,1,《པེ་》,ཏུ་རབ་ཏུ་དབྱེ་བ།,《སྣར་》,,ཏུ་རབ་ཏུ་དབྱེའི།
,,175,2,《པེ་》,དྲུག,,
,,176,3,《པེ་》《སྣར་》,ན།,,
,,177,4,《པེ་》《སྣར་》,སྲེད།,,
,,178,5,《སྣར་》,འབྱུང་།,,
,,179,6,《པེ་》《སྣར་》,བསལ།,,
,,180,7,《པེ་》《སྣར་》,བསལ།,,
,415,181,1,《པེ་》《སྣར་》,བལྟོས།,,
,,182,2,《པེ་》,༼བ།,,
,,183,3,《པེ་》《སྣར་》,༽ནས།,,
,,184,4,《སྣར་》,གི།,,
,,185,5,《སྣར་》,གོང་།,,
,416,186,1,《སྣར་》,པ།,,
,,187,2,《པེ་》《སྣར་》,ཀྱིས།,,
,,188,3,《པེ་》《སྣར་》,འདུ།,,
,,189,4,《པེ་》《སྣར་》,སྐྱེད།,,
,,190,5,《པེ་》《སྣར་》,བརླན།,,
,417,191,1,《པེ་》《སྣར་》,ན།,,
,,192,2,《པེ་》《སྣར་》,ནི།,,
,,193,3,《པེ་》《སྣར་》,༽མ།,,
,418,194,1,《པེ་》《སྣར་》,ན།,,
,,195,2,《པེ་》《སྣར་》,པ།,,
,,196,3,《པེ་》《སྣར་》,༼བར།,,
,,197,4,《པེ་》《སྣར་》,དཔེས།,,
,,198,5,《སྣར་》,མཐོ་དམན།,,
,,199,6,《པེ་》《སྣར་》,སྤང་།,,
,419,200,1,《པེ་》《སྣར་》,༼པར།,,
,,201,2,《སྣར་》,༼རོ།,,
,,202,3,《པེ་》《སྣར་》,སྐྱེའོ།,,
,,203,4,《པེ་》《སྣར་》,ཀྱི།,,
,,204,5,《པེ་》,ཇི་ལྟ་བུར།,《སྣར་》,ལྟི་བུར།,
,,205,6,《སྣར་》,ད།,,
,421,206,1,《སྣར་》,དར།,,
,,207,2,《པེ་》《སྣར་》,༼པ།,,
,,208,3,《པེ་》《སྣར་》,གིས།,,
,422,209,1,《པེ་》《སྣར་》,ན།,,
,,210,2,《པེ་》《སྣར་》,༽པ།,,
,,211,3,《པེ་》《སྣར་》,དུར།,,
,,212,4,《པེ་》《སྣར་》,འགིའུ་ཝཾ།,,
,423,213,1,《པེ་》《སྣར་》,བཟླས།,,
,,214,2,《སྣར་》,རའི།,,
,,215,3,《སྣར་》,བ།,,
,,216,4,《པེ་》《སྣར་》,སྡེའི།,,
,,217,5,《སྣར་》,ག,,
