སྡེ་	པེ་	ཅོ་	སྣར་
གདུང་བ་	གདུངས་པ་	གདུང་བ་	གདུངས་པ་	
འགྱུར་	གྱུར་	འགྱུར་	གྱུར་	
གསུང་བ ས་	གསུངས་པ ས་	གསུང་བ ས་	གསུངས་པ ས་	
འཐོབ	ཐོབ	འཐོབ	ཐོབ	
སྒྲུབ་	བསྒྲུབ་	སྒྲུབ་	བསྒྲུབ་	
སྤང་	སྤང་	སྤངས་	སྤང་	
གྲུབ་	སྒྲུབ་	གྲུབ་	སྒྲུབ་	
འགྱུར་	གྱུར་	འགྱུར་	གྱུར་	
བསྒོམས་	བསྒོམ་	བསྒོམས་	བསྒོམ་	
བྲལ་	འབྲལ་	བྲལ་	འབྲལ་	
སྒྲུབ་	འགྲུབ་	སྒྲུབ་	འགྲུབ་	
སྒྲུབ་	བསྒྲུབ་	སྒྲུབ་	བསྒྲུབ་	
བྱས་ཏེ	བྱེད་དེ	བྱས་ཏེ	བྱེད་དེ	
འགྱུར	གྱུར	འགྱུར	གྱུར	
སྲན་	བསྲན་	སྲན་	བསྲན་	
བསྲུང་	སྲུང་	བསྲུང་	སྲུང་	
བྱ་བ འི་	བྱས་པ འི་	བྱ་བ འི་	བྱས་པ འི་	
གཟུར་	བཟུར་	གཟུར་	བཟུང་	
སྒྲིམ	བསྒྲིམས	སྒྲིམ	བསྒྲིམ	
བསྒྱུར་ཏེ། །དེ་ལྟར་	སྒྱུར་ཏེ། དེ་ལྟ་	བསྒྱུར་ཏེ། །དེ་ལྟར་	སྒྱུར་ཏེ། དེ་ལྟ་	
བཞག	གཞག	བཞག	གཞག	
སྤོང་སྟེ	སྤོངས་ཏེ	སྤོང་སྟེ	སྤོངས་ཏེ	
གིས	གི	གིས	གི	
ཁྲོ་	ཁྲོས་	ཁྲོ་	ཁྲོས་	
སྐྱེ	སྐྱེད	སྐྱེ	སྐྱེད	
སྙེམས་	བསྙེམས་	སྙེམས་	བསྙེམས་	
གྱུར་ཅིང་	འགྱུར་ཞིང་	གྱུར་ཅིང་	འགྱུར་ཞིང་	
བསམ་	བསམས་	བསམ་	བསམས་	
རྗོད་	བརྗོད་	རྗོད་	བརྗོད་	
བྱ	བྱེད	བྱ	བྱེད	
སྒྲུབ	བསྒྲུབ	སྒྲུབ	བསྒྲུབ	
འཛེམས་	གཟེམས་	འཛེམས་	གཟེམས་	
བལྟ་	ལྟ་	བལྟ་	ལྟ་	
བསྲུང་	བསྲུངས་	བསྲུང་	བསྲུངས་	
བལྟ་བ ར་	ལྟ་བ ར་	བལྟ་བ ར་	ལྟ་བ ར་	
འོང་	འོངས་	འོང་	འོངས་	
འབྱུང་	བྱུང་	འབྱུང་	བྱུང་	
བསྒྲུབས་	སྒྲུབ་	བསྒྲུབས་	སྒྲུབ་	
བཙོང་བ་	བརྩོངས་པ་	བཙོང་བ་	བརྩོངས་པ་	
བཙོང་ཞིང་	བརྩོངས་ཤིང་	བཙོང་ཞིང་	བརྩོངས་ཤིང་	
བསྲེགས་	བསྲེག་	བསྲེགས་	བསྲེག་	
བརླག་	རླག་	བརླག་	རླག་	
འཆག་	ཆགས་	འཆག་	ཆགས་	
ལྟོས་པ་མེད་པ ར་	བལྟོས་པ་མེད་པ འི་	ལྟོས་པ་མེད་པ ར་	བལྟོས་པ་མེད་པ འི་	
བསམ་	བསམས་	བསམ་	བསམས་	
བསྲུང་	སྲུང་	བསྲུང་	སྲུང་	
ཅི་བསྲུང་། །བདག་གིས་	ཅི ས་སྲུང་། བདག་གི་	ཅི་བསྲུང་། །བདག་གིས་	ཅི ས་སྲུང་། བདག་གི་	
བསྲུངས་	བསྲུང་	བསྲུངས་	བསྲུང་	
སྤང་	སྤངས་	སྤང་	སྤངས་	
གྱུར་པ	འགྱུར་བ ས	གྱུར་པ	འགྱུར་བ ས	
བསམ་	བསམས་	བསམ་	བསམས་	
བཞག་	གཞག་	བཞག་	གཞག་	
གོམས་	གོམ་	གོམས་	གོམ་	
བྱུང་	འབྱུང་	བྱུང་	འབྱུང་	
སྤྱད་	སྤྱད་	སྤྱད་	སྤྱོད་	
བལྟ་བ ར་	ལྟ་བ ར་	བལྟ་བ ར་	ལྟ་བ ར་	
གདུངས་པ ར་	གདུང་བ ར་	གདུངས་པ ར་	གདུང་བ ར་	
འགྲོ་རིམ་གྲོ་འཐོབ་	འགྲོ ར་རིམ་གྲོ་ཐོབ་	འགྲོ་རིམ་གྲོ་འཐོབ་	འགྲོ ར་རིམ་གྲོ་ཐོབ་	
གཡོག་	གཡོགས་	གཡོག་	གཡོགས་	
གཏང་བྱ་དང་	བཏང་བར་བྱ	གཏང་བྱ་དང་	བཏང་བར་བྱ	
གཟུང་བ ར་	བཟུང་བར་	གཟུང་བ ར་	བཟུང་བར་	
སྒྲུབ་པ ར་	བསྒྲུབ་པ འི་	སྒྲུབ་པ ར་	བསྒྲུབ་པ འི་	
བྱ་སྟེ	བྱས་ཏེ	བྱ་སྟེ	བྱས་ཏེ	
གྲག	གྲགས	གྲག	གྲགས	
ལྟ་བ་གུད་	བལྟ་བ་རྒུད་	ལྟ་བ་གུད་	བལྟ་བ་རྒུད་	
བསལ་	གསལ་	བསལ་	གསལ་	
ལྟ	བལྟ	ལྟ	བལྟ	
བསྒྲགས་པ་ཡི	གྲགས་པ་ཡིས	བསྒྲགས་པ་ཡི	གྲགས་པ་ཡིས	
