སྡེ་	པེ་	ཅོ་	སྣར་
དེ་	ཇི་	དེ་	ཇི་	
ཡི	ཡིས	ཡི	ཡིས	
ལ་	ལ འང་	ལ་	ལ འང་	
བྱ	ན	བྱ	ན	
ཉ འི་	ཉ་	ཉ འི་	ཉ་	
བཟད་	བཟོད་	བཟད་	བཟད་	
ཡི་	ཡིས་	ཡི་	ཡིས་	
ཡིས་གཡེང་བ་	ཡི་གཡེངས་པ་	ཡིས་གཡེང་བ་	ཡི་གཡེངས་པ་	
ཀྱིས་	ཀྱི་	ཀྱིས་	ཀྱི་	
རྔུ་	རྔུ ས་	རྔུ་	རྔུ ས་	
ཀྱི	ཀྱིས	ཀྱི	ཀྱིས	
པོ་	པ་	པོ་	པ་	
མཚོ་	མཚོ ས་	མཚོ་	མཚོ ས་	
གྱི་	གྱི་	གྱི་	གྱིས་	
ནི་	གིས་	ནི་	གིས་	
ནི	ཡང་	ནི	ཡང་	
འདྲ་བྱུང་བ ར་གྱུར	འདྲ ར་བྱུང་གྱུར་ན	འདྲ་བྱུང་བ ར་གྱུར	འདྲ ར་བྱུང་གྱུར་ན	
ཀྱི	ཀྱི	ཀྱི	ཀྱིས	
པ ར་	པ་	པ ར་	པ་	
དེ་ཡི་	དེ འི་ཡང་	དེ་ཡི་	དེ འི་ཡང་	
བུ འི་	བུ་	བུ འི་	བུ་	
ཀྱིས་	ཀྱི་	ཀྱིས་	ཀྱི་	
པོ ར་	པོ་	པོ ར་	པོ་	
བརྩམ་མམ་	བརྩམས་འམ་	བརྩམ་མམ་	བརྩམས་འམ་	
པ ས་ཏེ	པ་སྟེ	པ ས་ཏེ	པ་སྟེ	
པ ར་	པ་	པ ར་	པ་	
པ ར་	པ་	པ ར་	པ་	
ཡིས	ཡི	ཡིས	ཡི	
ནི་	ཉིད་	ནི་	ཉིད་	
པ ས་	པ འི་	པ ས་	པ འི་	
ཡང་འཇུག་པ ར་བྱ	ནི་འཇུག་པ ར་བྱེད	ཡང་འཇུག་པ ར་བྱ	ནི་འཇུག་པ ར་བྱེད	
ན་	ན འང་	ན་	ན འང་	
ནི་	གིས་	ནི་	གིས་	
པ ས་	པ ས་	པ ས་	ནས་	
ཉིད་	གིས་	ཉིད་	གིས་	
པ འི་	པ འི་	པ འི་	པོ འི་	
པ་	པ འང་	པ་	པ འང་	
དེ ས་	དེ་	དེ ས་	དེ་	
