མཚན་བྱང་།,ཤོག་གྲངས།,,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,402,1,1,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,2,2,《པེ་》《སྣར་》,མུ་ཏྤཱ།,,,,,
,,3,3,《སྣར་》,པ།,,,,,
,403,4,1,《པེ་》《སྣར་》,mབདག་དང་བདག་གི་མེད་པའི་ཆོས།,,,,,
,,5,2,《པེ་》《སྣར་》,ཏོན།,,,,,
,,6,3,《པེ་》《སྣར་》,བརྒྱ།,,,,,
,,7,4,《སྣར་》,pལ།,,,,,
,,8,5,《པེ་》《སྣར་》,གིས།,,,,,
,,9,6,《པེ་》《སྣར་》,ཡི།,,,,,
,,10,7,《པེ་》《སྣར་》,བསལ།,,,,,
,,11,8,《པེ་》《སྣར་》,བཞག,,,,,
