མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,91,9,《པེ་》《སྣར་》,ཡིན།,,,,,
,,92,10,《པེ་》《སྣར་》,པར།,,,,,
,840,93,1,《པེ་》《སྣར་》,དག,,,,,
,,94,2,《པེ་》,ལྟ་བུ།,《སྣར་》,ལྟར་བུ།,,,
,,95,3,《པེ་》,གཉིས།,,,,,
,,96,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,97,5,《པེ་》《སྣར་》,mདེའི།,,,,,
,,98,6,《པེ་》,མེད།,,,,,
,,99,7,《པེ་》《སྣར་》,པ།,,,,,
,,100,8,《པེ་》《སྣར་》,mཞེས།,,,,,
,,101,9,《པེ་》《སྣར་》,རིགས།,,,,,
,,102,10,《པེ་》《སྣར་》,ནོ།,,,,,
,,103,11,《པེ་》《སྣར་》,mདེ།,,,,,
,,104,12,《པེ་》《སྣར་》,pཡང་མ།,,,,,
,,105,13,《པེ་》《སྣར་》,པ།,,,,,
,841,106,1,《པེ་》《སྣར་》,པར།,,,,,
,,107,2,《པེ་》《སྣར་》,ནས།,,,,,
,,108,3,《པེ་》《སྣར་》,ལྟར།,,,,,
,,109,4,《པེ་》《སྣར་》,དེའི།,,,,,
,,110,5,《པེ་》《སྣར་》,བསལ།,,,,,
,,111,6,《པེ་》《སྣར་》,སྐྱེད།,,,,,
,,112,7,《པེ་》,འགའ།,,,,,
,,113,8,《པེ་》《སྣར་》,mནི།,,,,,
,,114,9,《པེ་》《སྣར་》,དེ་ངོ་བོས།,,,,,
,,115,10,《པེ་》《སྣར་》,mསྐབས།,,,,,
,,116,11,《པེ་》《སྣར་》,ཡང་བསྐྱེད།,,,,,
,,117,12,《པེ་》《སྣར་》,བསྐྱེད། ,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་སྐྱེད་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བསྐྱེད་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,842,118,1,《པེ་》《སྣར་》,mསྐབས།,,,,,
,,119,2,《པེ་》《སྣར་》,mདེ་ལྟ་བས་ན།,,,,,
,,120,3,《པེ་》《སྣར་》,mཔ།,,,,,
,,121,4,《པེ་》《སྣར་》,mཉིད།,,,,,
,,122,5,《པེ་》《སྣར་》,pཅག,,,,,
,,123,6,《པེ་》《སྣར་》,རྟོགས།,,,,,
,,124,7,《པེ་》《སྣར་》,བུ།,,,,,
,,125,8,《པེ་》,ཀ་བརྩིལ།《སྣར་》ག་བསྩལ།,,,,,
,,126,9,《པེ་》《སྣར་》,བདག,,,,,
,,127,10,《པེ་》《སྣར་》,mལ།,,,,,
,843,128,1,《པེ་》《སྣར་》,ལ།,,,,,
,,129,2,《པེ་》《སྣར་》,བདག,,,,,
,,130,3,《པེ་》《སྣར་》,བུའོ།།,,,,,
,,131,4,《པེ་》,འཇི་བ་ལས།,《སྣར་》,འཇག་པ་ལས།,,,
,,132,5,《པེ་》《སྣར་》,mགི།,,,,,
,,133,6,《ཅོ་》,ཀྱི།,,,,,
,,134,7,《པེ་》《སྣར་》,mབའི་ཕྱིར།,,,,,
,,135,8,《པེ་》《སྣར་》,ལས།,,,,,
,,136,9,《པེ་》,ལ།,,,,,
,,137,10,《པེ་》,དབྱིངས་ཀྱི་ཁྱད་པར།,《སྣར་》,,,,
,844,138,1,《པེ་》《སྣར་》,བྱའོ།,དབྱིབས་ཀྱི་ཁྱད་པར།,,,,
,,139,2,《སྣར་》,pརིག,,,,,
,,140,3,《པེ་》《སྣར་》,mཅན་མ་ཡིན་ན། ཇི་ལྟར་…...ཡུལ་གཅིག་པ་ཅན།,,,,,
,,141,4,《པེ་》《སྣར་》,བར།,,,,,
,,142,5,《པེ་》《སྣར་》,mནི།,,,,,
,,143,6,《པེ་》《སྣར་》,པའི་བདག་ཉིད་ཡིན་ལ།,,,,,
,,144,7,《པེ་》,mཡིན་ལ་དམིགས་པའི་བདག་ཉིད།,《སྣར་》,,,,
,,145,8,《པེ་》《སྣར་》,mབའི།,དེ་ཉིད།,,,,
,,146,9,《པེ་》《སྣར་》,mནོ།,,,,,
,,147,10,《པེ་》《སྣར་》,པ།,,,,,
,,148,11,《པེ་》《སྣར་》,mདག,,,,,
,,149,12,《པེ་》《སྣར་》,མ།,,,,,
,,150,13,《པེ་》《སྣར་》,མཆོད།,,,,,
,,151,14,《པེ་》《སྣར་》,གྱི།,,,,,
,845,152,1,《པེ་》《སྣར་》,pའགོག་པ།,,,,,
,,153,2,《པེ་》《སྣར་》,mསྐད་ཅིག་པ།,,,,,
,,154,3,《པེ་》《སྣར་》,mབྱེད་པའི་དོན་གཅིག,,,,,
,,155,4,《པེ་》《སྣར་》,མ།,,,,,
,,156,5,《པེ་》《སྣར་》,mདག་ག,,,,,
,,157,6,《པེ་》《སྣར་》,བར།,,,,,
,,158,7,《པེ་》《སྣར་》,pདེ།,,,,,
,,159,8,《པེ་》《སྣར་》,mཞེ་ན།,,,,,
,,160,9,《པེ་》《སྣར་》,རྒྱུ།,,,,,
,,161,10,《པེ་》《སྣར་》,mགིས།,,,,,
,,162,11,《པེ་》《སྣར་》,ལས་འདི་དག་གིས།,,,,,
,,163,12,《པེ་》《སྣར་》,pསུ།,,,,,
,846,164,1,《པེ་》《སྣར་》,ལ།,,,,,
,,165,2,《པེ་》《སྣར་》,དེས།,,,,,
,,166,3,《པེ་》《སྣར་》,pལ།,,,,,
,,167,4,《པེ་》,གྱིས།,,,,,
,,168,5,《པེ་》《སྣར་》,བརྟན།,,,,,
,,169,6,《པེ་》《སྣར་》,འབའ།,,,,,
,,170,7,《པེ་》《སྣར་》,pལྷ།,,,,,
,,171,8,《པེ་》《སྣར་》,pབསྐྱེད།,,,,,
,,172,9,《པེ་》《སྣར་》,pདུ།,,,,,
,847,173,1,《པེ་》《སྣར་》,པོའི།,,,,,
,,174,2,《པེ་》《སྣར་》,དངོས་པོ།,,,,,
,,175,3,《སྣར་》,སྦྱར།,,,,,
,,176,4,《པེ་》《སྣར་》,ལ།,,,,,
,,177,5,《པེ་》《སྣར་》,རྒྱུད།,,,,,
,,178,6,《པེ་》《སྣར་》,mནི།,,,,,
,,179,7,《པེ་》《སྣར་》,བ། ,,,,,
,,180,8,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,181,9,《པེ་》《སྣར་》,pནམས་ཀྱང་།,,,,,
,,182,10,《པེ་》《སྣར་》,སྟེ་མ་ཡིན་ཡང་།,,,,,
,848,183,1,《པེ་》《སྣར་》,པོའི།,,,,,
,,184,2,《སྣར་》,པར།,,,,,
,,185,3,《པེ་》《སྣར་》,གིས།,,,,,
,,186,4,《པེ་》《སྣར་》,ཇི་ལྟར་མ་ཡིན། སྐད་ཅིག་པ།,,,,,
,,187,5,《པེ་》《སྣར་》,pདེ་ལ།,,,,,
,,188,6,《པེ་》《སྣར་》,mདེ་ནི།,,,,,
,,189,7,《པེ་》《སྣར་》,བསྐྱེད་པའི།《ཅོ་》,,,,,
,,190,8,《པེ་》《སྣར་》,mཔ་ཉིད།,སྐྱེད་པའི།,,,,
,,191,9,《པེ་》《སྣར་》,སྐྱེས།,,,,,
,,192,10,《པེ་》《སྣར་》,དེའི།,,,,,
,,193,11,《པེ་》《སྣར་》,བསྐྱེད་པ་ཁོ་ན་ནི།,,,,,
,,194,12,《པེ་》《སྣར་》,སྡོད།,,,,,
,,195,13,《པེ་》《སྣར་》,ནམ།,,,,,
,,196,14,《པེ་》《སྣར་》,mཡང་།,,,,,
,,197,15,《པེ་》《སྣར་》,བསལ་བར་བསྐྱེད།,,,,,
,849,198,1,《པེ་》《སྣར་》,pགིས།,,,,,
,,199,2,《པེ་》《སྣར་》,འཁངས་པར།,,,,,
,,200,3,《པེ་》《སྣར་》,mནི།,,,,,
,,201,4,《པེ་》《སྣར་》,pལ།,,,,,
,,202,5,《པེ་》《སྣར་》,ལ།,,,,,
,,203,6,《པེ་》《སྣར་》,རྒྱུན།,,,,,
,,204,7,《པེ་》《སྣར་》,mཆན།,,,,,
,,205,8,《པེ་》《སྣར་》,བས།,,,,,
,,206,9,《པེ་》《སྣར་》,རང་གི།,,,,,
,,207,10,《པེ་》,རྒྱུད།,,,,,
,850,208,1,《པེ་》《སྣར་》,ཡིན།,,,,,
,,209,2,《པེ་》《སྣར་》,mརྒྱུན།,,,,,
,,210,3,《པེ་》《སྣར་》,mསྔ་མ།,,,,,
,,211,4,《པེ་》《སྣར་》,mམ།,,,,,
,,212,5,《པེ་》《སྣར་》,pཁྱད་པར།,,,,,
,,213,6,《པེ་》《སྣར་》,སྐྱེར།,,,,,
,,214,7,《པེ་》《སྣར་》,ཕན་ཚུན་ཁྱད་པར།,,,,,
,,215,8,《པེ་》,mཔས།,,,,,
,,216,9,《པེ་》《སྣར་》,དུ་འབྱུང་བ།,,,,,
,,217,10,《པེ་》《སྣར་》,ན།,,,,,
,,218,11,《པེ་》《སྣར་》,pནས།,,,,,
,,219,12,《པེ་》《སྣར་》,བསལ།,,,,,
,,220,13,《པེ་》《སྣར་》,གཏགས།,,,,,
,,221,14,《པེ་》《སྣར་》,ཞེའོ།།,,,,,
,851,222,1,《པེ་》《སྣར་》,mནི།,,,,,
,,223,2,《པེ་》《སྣར་》,ནས།,,,,,
,,224,3,《པེ་》《སྣར་》,འབྱུང་བའི་ཆོས།,,,,,
,,225,4,《པེ་》《སྣར་》,mདག,,,,,
,,226,5,《པེ་》《སྣར་》,ཐུགས།,,,,,
,,227,6,《པེ་》《སྣར་》,pགལ་ཏེ་འདིའི་ངོ་བོ་ཉིད་དེ་མི་སྡོད་པར་བྱེད་པའི་ཆོས་ཅན་ཞིག་ཡིན་ན་ནི། སོ་སོ་ན་ཡོད་པ་སྲིད་པས་འབའ་ཞིག་གིས་ཀྱང་དེ་ལྟར་འགྱུར།,,,,,
,,228,7,《སྣར་》,mཔ།,,,,,
,,229,8,《སྣར་》,རབ།,,,,,
,852,230,1,《པེ་》《སྣར་》,mསྐྱེད་པར།,,,,,
,,231,2,《པེ་》《སྣར་》,གྱིས།,,,,,
,,232,3,《པེ་》《སྣར་》,པར།,,,,,
,,233,4,《པེ་》《སྣར་》,mལ།,,,,,
,,234,5,《པེ་》,བལྟ།,,,,,
,,235,6,《པེ་》《སྣར་》,ཞིག་གིས།,,,,,
,,236,7,《པེ་》《སྣར་》,mནི།,,,,,
,,237,8,《པེ་》《སྣར་》,དེ།,,,,,
,,238,9,《པེ་》《སྣར་》,དེ།,,,,,
,853,239,1,《པེ་》《སྣར་》,དེ་བཞིན།,,,,,
,,240,2,《པེ་》,གཞན་ཁོ་ན་ཞིག་བྱུང་བ་ཡིན་ནོ། །མི་ལ་སོགས་པ་ཡིན།,《སྣར་》,,,,
,,241,3,《པེ་》,བྱུང་།,གཞན་ཁོ་ན་་་་་་སོགས་པ་ཡིས།,,,,
,,242,4,《པེ་》《སྣར་》,པར།,,,,,
,,243,5,《པེ་》,དོ།།,,,,,
,,244,6,《པེ་》《སྣར་》,mཞེ་ན།,,,,,
,,245,7,《པེ་》《སྣར་》,pའོན་ཏེ།,,,,,
,,246,8,《སྣར་》,སྨས་པ།,,,,,
,,247,9,《པེ་》《སྣར་》,mནི།,,,,,
,,248,10,《པེ་》《སྣར་》,mདེའི།,,,,,
,,249,11,《པེ་》《སྣར་》,mཡོད་པ།,,,,,
,854,250,1,《པེ་》《སྣར་》,mན།,,,,,
,,251,2,《པེ་》,ལྡོགས།,,,,,
,,252,3,《པེ་》《སྣར་》,པོ།,,,,,
,,253,4,《པེ་》《སྣར་》,པ།,,,,,
,,254,5,《པེ་》《སྣར་》,པས།,,,,,
,,255,6,《པེ་》《སྣར་》,བྱེད་པ།,,,,,
,,256,7,《པེ་》《སྣར་》,པར་བྱའོ།,,,,,
,855,257,1,《སྣར་》,ཀྱིས།,,,,,
,,258,2,《པེ་》《སྣར་》,pའགའ།,,,,,
,,259,3,《ཅོ་》,ཀྱིས།,,,,,
,,260,4,《པེ་》《སྣར་》,pརྒྱུ་དང་།,,,,,
,,261,5,《པེ་》《སྣར་》,pརོ།།,,,,,
,,262,6,《པེ་》《སྣར་》,mནོ།།,,,,,
,,263,7,《པེ་》《སྣར་》,mཔའི།,,,,,
,,264,8,《པེ་》《སྣར་》,ཉིད་ཀྱི།,,,,,
,856,265,1,《སྣར་》,རྒྱུར།,,,,,
,,266,2,《སྣར་》,པས།,,,,,
,,267,3,《པེ་》《སྣར་》,བྱུང་བ་མ་ཡིན་ནོ། །,,,,,
,,268,4,《པེ་》《སྣར་》,པོ།,,,,,
,,269,5,《པེ་》《སྣར་》,གྱི་བྱུང་།,,,,,
,,270,6,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,271,7,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,272,8,《པེ་》《སྣར་》,pརྒྱུ།,,,,,
,,273,9,《པེ་》《སྣར་》,pམ་ཡིན་པ།,,,,,
,,274,10,《པེ་》《སྣར་》,pལས།,,,,,
,,275,11,《པེ་》《སྣར་》,པར།,,,,,
,857,276,1,《པེ་》《སྣར་》,ཏེ།,,,,,
,,277,2,《པེ་》《སྣར་》,ཀྱི་ཐ་དད་པར།,,,,,
,,278,3,《པེ་》《སྣར་》,pཔར།,,,,,
,,279,4,《པེ་》,ན།,《སྣར་》,,,,
,,280,5,《སྣར་》,ན།,ནི།,,,,
,,281,6,《པེ་》《སྣར་》,pདངོས་པོ་མེད་པའམ།,,,,,
,,282,7,《པེ་》《སྣར་》,པར།,,,,,
,,283,8,《པེ་》《སྣར་》,pརྣམ་པར།,,,,,
,,284,9,《པེ་》《སྣར་》,བར།,,,,,
,,285,10,《པེ་》《སྣར་》,བྱེད་པའི་ཕྱིར་རོ། །,,,,,
,,286,11,《པེ་》《སྣར་》,mམ།,,,,,
,,287,12,《པེ་》《སྣར་》,བོར།,,,,,
,,288,13,《པེ་》,དེའི།,,,,,
,,289,14,《པེ་》《སྣར་》,ལས་བལྟོས་ནས། དེ་ལས།,,,,,
,858,290,1,《པེ་》《སྣར་》,pདེ་ཤེས་པའམ།,,,,,
,,291,2,《པེ་》《སྣར་》,བྱའི།,,,,,
,,292,3,《པེ་》《སྣར་》,པར་བྱེད་དོ།,,,,,
,,293,4,《པེ་》,གཏགས།,《སྣར་》,,,,
,,294,5,《པེ་》《སྣར་》,mལ།,གདགས།,,,,
,,295,6,《པེ་》《སྣར་》,ཏོ།།,,,,,
