མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
༄༅། །ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ།,1006,2,1,《པེ་》《སྣར་》,ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྡུད་པ་ཚིགས་སུ་བཅད་པའི་དཀའ་འགྲེལ་སློབ་དཔོན་བུདྡྷ་ཤྲཱི་ཛྙཱ་ནས་མཛད་པ་བཞུགས་སོ། །,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》《སྣར་》,གི།,,,,,
,,4,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,1007,5,1,《པེ་》《སྣར་》,བལྟ་བའོ།,,,,,
,,6,2,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,7,3,《པེ་》《སྣར་》,རྩེ།,,,,,
,1008,8,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,9,2,《པེ་》《སྣར་》,པ།,,,,,
,1009,10,1,《པེ་》《སྣར་》,སྐྱེད།,,,,,
,,11,2,《སྣར་》,པས།,,,,,
,,12,3,《པེ་》《སྣར་》,mདུ།,,,,,
,,13,4,《པེ་》,རྟོག་པ་མེད་པར་ཅན།,《སྣར་》,རྟོག་པ་མེད་པ་ཅན།,,,
,,14,5,《པེ་》《སྣར་》,ལས་བལྟོས།,,,,,
,,15,6,《པེ་》《སྣར་》,བསྒོམ།,,,,,
,,16,7,《པེ་》《སྣར་》,གོམ།,,,,,
,1010,17,1,《པེ་》《སྣར་》,གཅིག,,,,,
,1011,18,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,19,2,《པེ་》《སྣར་》,བར།,,,,,
,,20,3,《པེ་》《སྣར་》,གཞག,,,,,
,,21,4,《པེ་》《སྣར་》,བྱ་བ།,,,,,
,1012,22,1,《པེ་》《སྣར་》,བཞག,,,,,
,,23,2,《པེ་》《སྣར་》,པ་གསལ།,,,,,
,,24,3,《པེ་》《སྣར་》,བགེགས།,,,,,
,,25,4,《པེ་》《སྣར་》《ཅོ་》,རྣམས།,,,,,
,,26,5,《པེ་》《སྣར་》,དགོངས།,,,,,
,1013,27,1,《པེ་》《སྣར་》,རྟག,,,,,
,,28,2,《པེ་》《སྣར་》,དེས།,,,,,
,,29,3,《པེ་》《སྣར་》,mཔར་སྟོན།,,,,,
