མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,
འཕགས་པ་དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་འགྲེལ་པ།,3,2,1,,,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།
,,3,2,《པེ་》《སྣར་》,སཾ་དྷི་གཾ་བྷཱི།,,,,,
,,4,3,《པེ་》《སྣར་》,mསྡེ།,,,,,
,4,5,1,《པེ་》《སྣར་》,mཡང་།,,,,,
,,6,2,《པེ་》《སྣར་》,བཞག,,,,,
,,7,3,《པེ་》《སྣར་》,གཉི་ག,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཉིས་ཀ་དང་གཉི་ག་ཞེས་པའི་འདྲ་མིན་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,8,4,《པེ་》《སྣར་》,བསལ།,,,,,
,,9,5,《པེ་》《སྣར་》,བསལ།,,,,,
,5,10,1,《སྣར་》,སྤྱི།,,,,,
,,11,2,《སྣར་》,mསྟེ།,,,,,
,,12,3,《པེ་》《སྣར་》,།། །།,,,,,
,,13,4,《པེ་》《སྣར་》,བོ།,,,,,
,6,14,1,《པེ་》《སྣར་》,ཅིག,,,,,
,,15,2,《པེ་》《སྣར་》,བརྒྱུད།,,,,,
,,16,3,《སྣར་》,འཚམས།,,,,,
,,17,4,《པེ་》《སྣར་》,རྒྱས།,,,,,
,,18,5,《པེ་》《སྣར་》,བསྡུས།,,,,,
,,19,6,《པེ་》《སྣར་》,རྒྱས།,,,,,
,,20,7,《པེ་》《སྣར་》,བསྡུས།,,,,,
,,21,8,《པེ་》《སྣར་》,འབྱེད།,,,,,
,,22,9,《པེ་》《སྣར་》,བཞག,,,,,(ཆོས་ཚན་འདིའི་ནང་དུ་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།)
,,23,10,《པེ་》《སྣར་》,པར།,,,,,
,7,24,1,《པེ་》《སྣར་》,གསུང་།,,,,,
,,25,2,《པེ་》《སྣར་》,རྣམས།,,,,,
,,26,3,《པེ་》《སྣར་》,སྡེའི།,,,,,
,,27,4,《པེ་》《སྣར་》,གྱི།,,,,,
,8,28,1,《པེ་》,ནས་བརྟན་ལས།,《སྣར་》,ལས་བརྟེན་ནས།,,,
,,29,2,《པེ་》《སྣར་》,pརྣམ་པ།,,,,,
,9,30,1,《པེ་》,ཡིན་གྱི།,《སྣར་》,ཀྱི།,,,
,,31,2,《པེ་》《སྣར་》,བརྟགས།,,,,,
,10,32,1,《པེ་》《སྣར་》,ལས།,,,,,
,,33,2,《པེ་》《སྣར་》,mཡང་མ།,,,,,
,,34,3,《པེ་》,སགས།,,,,,
,,35,4,《པེ་》《སྣར་》,འདི་པའོ།,,,,,
,,36,5,《པེ་》《སྣར་》,mལ།,,,,,
,,37,6,《པེ་》《སྣར་》,པན།,,,,,
,11,38,1,《པེ་》《སྣར་》,རིག,,,,,
