མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
༄༅། །ཚད་མ་རིགས་པར་འཇུག་པའི་སྒོ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ་བཞུགས།,442,2,1,《པེ་》《སྣར་》,༄༅། །ཚད་མ་རིགས་པར་འཇུག་པའི་སྒོ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ་བཞུགས།,,,,,ཆོས་ཚན་འདི་《སྡེ་》《ཅོ་》ལ་མི་བཞུགས་པས་《པེ་》ལ་གཞི་བཟུང་ནས་《སྣར་》དང་དཔེ་བསྡུར་བྱས་ཡོད།
,443,3,1,《སྣར་》,mལ་མེད་པ།,,,,,
,445,4,1,《སྣར་》,བཀ,,,,,
,,5,2,《སྣར་》,ཁྱབ།,,,,,
,,6,3,《སྣར་》,གཅིག,,,,,
,447,7,1,《སྣར་》,སྒྲུབ།,,,,,
,448,8,1,《སྣར་》,བྱ་བ།,,,,,
,,9,2,《སྣར་》,ལྡོག,,,,,
,449,10,1,《སྣར་》,pཔས།,,,,,
,450,11,1,《སྣར་》,རྟོགས།,,,,,
,,12,2,《སྣར་》,pའདི།,,,,,
,,13,3,《སྣར་》,mཔ།,,,,,
