མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
,,92,2,《པེ་》《སྣར་》,གང་།,,,,,
,,93,3,《པེ་》《སྣར་》,གྱི།,,,,,
,,94,4,《པེ་》,སྒྱུར།,,,,,
,,95,5,《པེ་》,ལ།,,,,,
,120,96,1,《པེ་》《སྣར་》,ཅན།,,,,,
,,97,2,《པེ་》《སྣར་》,དག།,,,,,
,,98,3,《པེ་》《སྣར་》,mསྣ།,,,,,
,,99,4,《པེ་》《སྣར་》,གསུམ།,,,,,
,121,100,1,《པེ་》《སྣར་》,པ།,,,,,
,,101,2,《པེ་》《སྣར་》,ཡིས།,,,,,
,,102,3,《སྣར་》,བགམ།,,,,,
,,103,4,《ཅོ་》,བསྐྱོང་།,,,,,
,,104,5,《པེ་》《སྣར་》,གེའི།,,,,,
,,105,6,《ཅོ་》,སྡངས།,,,,,
,,106,7,《པེ་》《སྣར་》,འགེངས།,,,,,
,122,107,1,《པེ་》《སྣར་》,ལ།,,,,,
,,108,2,《པེ་》《སྣར་》,སྐྱེ་བ།,,,,,
,,109,3,《པེ་》《སྣར་》,སྐེད།,,,,,
,,110,4,《སྣར་》,མཐའ།,,,,,
,,111,5,《པེ་》《སྣར་》,mའདི།,,,,,
,,112,6,《ཅོ་》,པས།,,,,,
,,113,7,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,114,8,《པེ་》,འཕངས།,,,,,
,,115,9,《སྣར་》,mཔ།,,,,,
,,116,10,《ཅོ་》,pམི།,,,,,
,,117,11,《པེ་》《སྣར་》,སྦྱང་བར་བྱའོ།,,,,,
,,118,12,《པེ་》《སྣར་》,བོ།,,,,,
,,119,13,《ཅོ་》,པར།,,,,,
,123,120,1,《པེ་》,ཤེས་གཉེན།,《སྣར་》,བཤེས་གཉེན།,,,
,,121,2,《པེ་》《སྣར་》,བཞིའི།,,,,,
,,122,3,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,123,4,《པེ་》《སྣར་》,གྱིས།,,,,,
,124,124,1,《སྣར་》,pདག,,,,,
