མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,,,,,
,,80,3,《སྣར་》,mབྱས།,,,,,
,,81,4,《པེ་》《སྣར་》,བྱ་བའོ།,,,,,
,,82,5,《པེ་》《སྣར་》,རུས་པའི།,,,,,
,,83,6,《སྣར་》,བས།,,,,,
,,84,7,《པེ་》《སྣར་》《ཅོ་》,ཚིགས།,,,,,
,,85,8,《པེ་》《སྣར་》,རིགས།,,,,,
,,86,9,《པེ་》《སྣར་》,མྱང་།,,,,,
,,87,10,《པེ་》《སྣར་》,སྤོང་།,,,,,
,91,88,1,《པེ་》《སྣར་》,ལུང་།,,,,,
,,89,2,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,90,3,《པེ་》《སྣར་》,mལ།,,,,,
,,91,4,《པེ་》《སྣར་》,ནོ།,,,,,
,,92,5,《སྣར་》,ལ་སྡུག་བསྔལ།,,,,,
,,93,6,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,,,,
,,94,7,《སྣར་》,བརྗོད།,,,,,
,,95,8,《ཅོ་》,པར།,,,,,
,,96,9,《སྣར་》,ཀྱིས།,,,,,
,,97,10,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,98,11,《པེ་》《སྣར་》,mབུའི།,,,,,
,92,99,1,《པེ་》,གསུང་བའི།,,,,,
,,100,2,《སྣར་》,mལ།,,,,,
,,101,3,《པེ་》《སྣར་》,mལ།,,,,,
,,102,4,《པེ་》《སྣར་》,བྱི།,,,,,
,93,103,1,《སྣར་》,སྨོད།,,,,,
,,104,2,《པེ་》《སྣར་》,pདེ་ཡིན་པ།,,,,,
,,105,3,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,106,4,《པེ་》《སྣར་》,གཟུང་།,,,,,
,94,107,1,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,108,2,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,109,3,《པེ་》《སྣར་》,པར།,,,,,
,,110,4,《པེ་》《སྣར་》,དེ།,,,,,
,,111,5,《པེ་》《སྣར་》,གྲངས།,,,,,
,,112,6,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,113,7,《པེ་》《སྣར་》,ཤེས།,,,,,
,,114,8,《པེ་》《སྣར་》,mརྣམ།,,,,,
,95,115,1,《པེ་》《སྣར་》,mཔ།,,,,,
,,116,2,《པེ་》,མཐར།, 《སྣར་》,ཐར།,,,
,,117,3,《པེ་》《སྣར་》,mཡིན།,,,,,
,,118,4,《པེ་》,འཇིགས།,,,,,
,,119,5,《པེ་》《སྣར་》,སླངས།,,,,,
,,120,6,《པེ་》《སྣར་》,སློངས།,,,,,
,,121,7,《སྣར་》,རྩྭ།,,,,,
,,122,8,《སྣར་》,ཚིགས།,,,,,
,,123,9,《སྣར་》,ཚིགས།,,,,,
,96,124,1,《པེ་》《སྣར་》,བསྒྱུར།,,,,,
,,125,2,《པེ་》《སྣར་》,ན།,,,,,
,,126,3,《པེ་》《སྣར་》,ཡིད།,,,,,
,,127,4,《པེ་》《སྣར་》,mགྱི།,,,,,
,,128,5,《པེ་》《སྣར་》,mཔོ།,,,,,
,,129,6,《པེ་》《སྣར་》,ཟས།,,,,,
,97,130,1,《པེ་》《སྣར་》,མ་བཟུང་།,,,,,
,,131,2,《པེ་》《སྣར་》,དེ།,,,,,
,,132,3,《པེ་》《སྣར་》,ཤེས།,,,,,
,,133,4,《པེ་》《སྣར་》,mལ།,,,,,
,,134,5,《པེ་》《སྣར་》,པ།,,,,,
,,135,6,《པེ་》《སྣར་》,ལྷགས།,,,,,
,,136,7,《པེ་》《སྣར་》,པཱ།,,,,,
,,137,8,《པེ་》,གཞི།,,,,,
,98,138,1,《པེ་》《སྣར་》,ཡིད།,,,,,
,,139,2,《པེ་》《སྣར་》,mལ་ནི།,,,,,
,,140,3,《པེ་》《སྣར་》,mམ།,,,,,
,99,141,1,《སྣར་》,ཀྱི་སྙེད།,,,,,
,,142,2,《པེ་》《སྣར་》,རྣམ་ཤེས།,,,,,
,,143,3,《པེ་》《སྣར་》,mལྟ་བུ།,,,,,
,,144,4,《པེ་》《སྣར་》,སྤོང་བ།,,,,,
,,145,5,《པེ་》《སྣར་》,གནོན།,,,,,
,,146,6,《པེ་》《སྣར་》,mལ།,,,,,
,,147,7,《པེ་》《སྣར་》,mའདོད་པ་རྣམས་ལ།,,,,,
,,148,8,《པེ་》《སྣར་》,སྤོང་།,,,,,
,,149,9,《པེ་》,བསྲུངས་པས།, 《སྣར་》,བསྲུང་བས།,,,
,100,150,1,《པེ་》《སྣར་》,mའབྲེལ་པར།,,,,,
,,151,2,《པེ་》《སྣར་》,གྱི།,,,,,
,,152,3,《པེ་》《སྣར་》,པའི།,,,,,
,,153,4,《པེ་》《སྣར་》,སྒྲུབ་བྱེད་ལ།,,,,,
,,154,5,《པེ་》《སྣར་》,གྱིས།,,,,,
,,155,6,《པེ་》《སྣར་》,mཔ།,,,,,
,,156,7,《པེ་》《སྣར་》,ལ།,,,,,
,101,157,1,《པེ་》《སྣར་》,mདག,,,,,
,,158,2,《པེ་》,བསོད།,,,,,
,,159,3,《པེ་》《སྣར་》,གསུང་བ།,,,,,
,,160,4,《པེ་》《སྣར་》,ན།,,,,,
,,161,5,《པེ་》《སྣར་》,འཇོགས།,,,,,
,,162,6,《པེ་》《སྣར་》,ཆེ།,,,,,
,102,163,1,《པེ་》《སྣར་》,རིག,,,,,
,,164,2,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,165,3,《པེ་》《སྣར་》,ཤེས།,,,,,
,,166,4,《པེ་》《སྣར་》,pའདུ་བྱེད་རྣམས་གང་ཞེ་ན།,,,,,
,,167,5,《པེ་》《སྣར་》,ལྟར།,,,,,
,,168,6,《པེ་》《སྣར་》,ཀྱི།,,,,,
,103,169,1,《པེ་》《སྣར་》,mསོགས་པ་ལ་འཇུག་ལ།,,,,,
,,170,2,《པེ་》《སྣར་》,mབྱ་བ།,,,,,
,,171,3,《པེ་》《སྣར་》,mདོན།,,,,,
,,172,4,《པེ་》,བ་བཞིན།, 《སྣར་》,བཞིན།,,,
,,173,5,《ཅོ་》,mནི།,,,,,
,,174,6,《སྣར་》,མེད།,,,,,
,104,175,1,《པེ་》《སྣར་》,ནོ།,,,,,
,,176,2,《པེ་》《སྣར་》,pནི།,,,,,
,,177,3,《པེ་》《སྣར་》,གིས།,,,,,
,,178,4,《པེ་》《སྣར་》,བར།,,,,,
,105,179,1,《པེ་》《སྣར་》,བ།,,,,,
,,180,2,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,181,3,《པེ་》《སྣར་》,pཚེ།,,,,,
,,182,4,《སྣར་》,གཉིས།,,,,,
,,183,5,《པེ་》《སྣར་》,པ།,,,,,
,,184,6,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,185,7,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,186,8,《པེ་》《སྣར་》,mརྩ།,,,,,
,,187,9,《པེ་》《སྣར་》,བཟུང་།,,,,,
,106,188,1,《པེ་》《སྣར་》,mངས།,,,,,
,,189,2,《སྣར་》,བསྟོན་པ།,,,,,
,,190,3,《སྣར་》,ལྟའོ།,,,,,
,,191,4,《པེ་》《སྣར་》,སྟེ།,,,,,
,,192,5,《སྣར་》,པའི་གྲོངས།,,,,,
,,193,6,《པེ་》《སྣར་》,སྤངས་པའི།,,,,,
,,194,7,《སྣར་》,པའི།,,,,,
,,195,8,《པེ་》《སྣར་》,སྐོམ།,,,,,
,107,196,1,《པེ་》《སྣར་》,བྱའི་ཕྱིར།,,,,,
,,197,2,《པེ་》,ཞེས།,,,,,
,,198,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,199,4,《པེ་》,མཚོག,,,,,
,,200,5,《པེ་》《སྣར་》,གྱིས།,,,,,
,,201,6,《པེ་》《སྣར་》,རྩེ།,,,,,
,,202,7,《པེ་》《སྣར་》,འཚལ།,,,,,
,108,203,1,《པེ་》《སྣར་》,བསྐྱབ།,,,,,
,,204,2,《པེ་》《སྣར་》,ཀླན།,,,,,
,,205,3,《པེ་》《སྣར་》,བཤེས།,,,,,
,,206,4,《པེ་》《སྣར་》,གི་ཚིག་ནི།,,,,,
,109,207,1,《པེ་》《སྣར་》,pདེ།,,,,,
,,208,2,《པེ་》《སྣར་》,mཉིད།,,,,,
,,209,3,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,210,4,《པེ་》《སྣར་》,པར།,,,,,
,,211,5,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,212,6,《པེ་》《སྣར་》,ཏེ།,,,,,
,,213,7,《པེ་》,གཤེ་བ།,,,,,
,,214,8,《སྣར་》,གྱིས།,,,,,
,,215,9,《པེ་》《སྣར་》,pནི།,,,,,
,,216,10,《པེ་》,གི།,,,,,
,110,217,1,《པེ་》《སྣར་》,གི།,,,,,
,,218,2,《པེ་》《སྣར་》,ཏེ།,,,,,
,,219,3,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,220,4,《པེ་》,mཔ།,,,,,
,,221,5,《པེ་》《སྣར་》,mཉིད།,,,,,
,,222,6,《པེ་》《སྣར་》,mདག,,,,,
,,223,7,《པེ་》《སྣར་》,mལྡན་པ་དང་སྐལ་བ་དང་།,,,,,
,,224,8,《པེ་》《སྣར་》,བྱ་བའོ།,,,,,
,,225,9,《སྣར་》,འདུ་བ།,,,,,
,,226,10,《པེ་》《སྣར་》,དཀའ།,,,,,
,,227,11,《པེ་》《སྣར་》,གི།,,,,,
,,228,12,《པེ་》,གཟུང་།,,,,,
,,229,13,《པེ་》,ཀྱི།,,,,,
,,230,14,《པེ་》,གཟུང་བ་སྟོན་ཏེ།, 《སྣར་》,བཟུང་བ་སྟོན་ཏེ།,,,
,,231,15,《སྣར་》,ཀྱིས།,,,,,
,,232,16,《པེ་》《སྣར་》,mནི།,,,,,
,111,233,1,《པེ་》《སྣར་》,བཟངས།,,,,,
,,234,2,《སྣར་》,ཡིན།,,,,,
,,235,3,《པེ་》《སྣར་》,pན།,,,,,
,,236,4,《པེ་》《སྣར་》,ཏོ།,,,,,
,,237,5,《པེ་》《སྣར་》,ལས།,,,,,
,,238,6,《པེ་》《སྣར་》,གྱི།,,,,,
,,239,7,《པེ་》《སྣར་》,mཅན།,,,,,
,,240,8,《པེ་》《སྣར་》,mནི།,,,,,
,112,241,1,《པེ་》《སྣར་》,སྙིས།,,,,,
,,242,2,《སྣར་》,ཡོང་།,,,,,
,,243,3,《པེ་》《སྣར་》,mརབ་ཏུ།,,,,,
,,244,4,《པེ་》《སྣར་》,mརྣམ་པར།,,,,,
,,245,5,《པེ་》《སྣར་》,དེ་པའི།,,,,,
,,246,6,《པེ་》,དེ་ནས།,,,,,
,,247,7,《སྣར་》,mཉིད་ཀྱི།,,,,,
,,248,8,《པེ་》,ཡང་།,,,,,
,,249,9,《པེ་》《སྣར་》,mཀྱང་།,,,,,
,,250,10,《པེ་》《སྣར་》,དེ།,,,,,
,113,251,1,《པེ་》《སྣར་》,mཀྱང་།,,,,,
,,252,2,《པེ་》《སྣར་》,pདུ།,,,,,
,,253,3,《པེ་》《སྣར་》,pམ།,,,,,
,,254,4,《པེ་》《སྣར་》,པ།,,,,,
,,255,5,《པེ་》《སྣར་》,ཉོན་མོངས།,,,,,
,,256,6,《པེ་》《སྣར་》,mརོ།,,,,,
,,257,7,《པེ་》《སྣར་》,mནི།,,,,,
,114,258,1,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,259,2,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,260,3,《པེ་》《སྣར་》,pནི།,,,,,
,,261,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,262,5,《པེ་》《སྣར་》,པོ།,,,,,
,,263,6,《པེ་》《སྣར་》,ཀྱི།,,,,,
,115,264,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,265,2,《སྣར་》,མི།,,,,,
,,266,3,《སྣར་》,མི།,,,,,
,,267,4,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,268,5,《པེ་》《སྣར་》,mཔ་དག,,,,,
,,269,6,《པེ་》《སྣར་》,mཡོད་པ།,,,,,
,116,270,1,《པེ་》《སྣར་》,རའི།,,,,,
,,271,2,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,272,3,《པེ་》《སྣར་》,གི།,,,,,
,,273,4,《པེ་》《སྣར་》,བྱའོ།,,,,,
,,274,5,《སྣར་》,pདག,,,,,
,117,275,1,《པེ་》《སྣར་》,གྱི།,,,,,
,,276,2,《པེ་》《སྣར་》,mཡང་།,,,,,
,,277,3,《པེ་》《སྣར་》,བའོ།,,,,,
,,278,4,《པེ་》《སྣར་》,mདོན།,,,,,
,,279,5,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,,280,6,《པེ་》《སྣར་》,།།   །།,,,,,
,,281,7,《སྣར་》,pའདུལ་བ།,,,,,
,,282,8,《པེ་》,བརྟེན།,,,,,
,,283,9,《པེ་》《སྣར་》,mདང་།,,,,,
,,284,10,《པེ་》《སྣར་》,པའི།,,,,,
,,285,11,《པེ་》《སྣར་》,རིག,,,,,
,118,286,1,《པེ་》《སྣར་》,སྟོན།,,,,,
,,287,2,《པེ་》《སྣར་》,རིག,,,,,
,,288,3,《པེ་》《སྣར་》,།།  །།,,,,,
,,289,4,《པེ་》,ཆོས།,,,,,
,,290,5,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,291,6,《པེ་》《སྣར་》,སྟེ།,,,,,
,,292,7,《པེ་》《སྣར་》,།།  །།,,,,,
,,293,8,《སྣར་》,གྱིས།,,,,,
,,294,9,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,119,295,1,《པེ་》《སྣར་》,mདགེ་སྦྱོང་དང་།,,,,,
,,296,2,《པེ་》《སྣར་》,དེ་ཡིས།,,,,,
,,297,3,《པེ་》《སྣར་》,གྱི།,,,,,
,,298,4,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,299,5,《པེ་》《སྣར་》,དང་།,,,,,
,120,300,1,《པེ་》《སྣར་》,པས་ན།,,,,,
,,301,2,《སྣར་》,ལོང་།,,,,,
,,302,3,《པེ་》《སྣར་》,རྒྱུ།,,,,,
,,303,4,《པེ་》《སྣར་》,བརྟན།,,,,,
,,304,5,《པེ་》《སྣར་》,དམ།,,,,,
,,305,6,《པེ་》《སྣར་》,སྒྲུབ།,,,,,
,,306,7,《པེ་》《སྣར་》,ལྡང་།,,,,,
,,307,8,《པེ་》《སྣར་》,སྤྲང་རྐྱག,,,,,
,,308,9,《པེ་》《སྣར་》,pནས།,,,,,
,121,309,1,《པེ་》《སྣར་》,mཉིད།,,,,,
,,310,2,《པེ་》《སྣར་》,།།  །།,,,,,
,,311,3,《སྣར་》,pད།,,,,,
,,312,4,《པེ་》《སྣར་》,mམི།,,,,,
,,313,5,《པེ་》《སྣར་》,pདག,,,,,
,,314,6,《པེ་》,འཚོལ།,,,,,
,,315,7,《པེ་》,བྱ།,,,,,
,122,316,1,《པེ་》《སྣར་》,དགོས།,,,,,
,,317,2,《པེ་》《སྣར་》,མྱང་།,,,,,
,,318,3,《པེ་》,mརིག་པར།,,,,,
,,319,4,《པེ་》《སྣར་》,བཅིངས་པའོ།,,,,,
,,320,5,《པེ་》《སྣར་》,mདུ།,,,,,
,,321,6,《པེ་》《སྣར་》,མྱང་།,,,,,
,,322,7,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,323,8,《པེ་》《སྣར་》,mདང་།,,,,,
,,324,9,《པེ་》《སྣར་》,མྱང་།,,,,,
,,325,10,《པེ་》《སྣར་》,བ།,,,,,
,,326,11,《པེ་》《སྣར་》,ལྟ།,,,,,
,123,327,1,《པེ་》《སྣར་》,བླང་བའི།,,,,,
,,328,2,《པེ་》《སྣར་》,བསྲུང་།,,,,,
,,329,3,《པེ་》《སྣར་》,mཔ།,,,,,
,,330,4,《པེ་》《སྣར་》,རྟས་པར་བྱེད་པའི།,,,,,
,,331,5,《པེ་》《སྣར་》,བསྒོམས་པ་བྱས་པ་དང་།  སྒོམ།, 《ཅོ་》,བསྒོམས་པར་བྱས་པའམ།  བསྒོམ།,,,
,,332,6,《པེ་》《སྣར་》,བསྒོམས།,,,,,
,,333,7,《པེ་》《སྣར་》,བསག,,,,,
,,334,8,《པེ་》《སྣར་》,ལས།,,,,,
,124,335,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,336,2,《པེ་》《སྣར་》,པ།,,,,,
,,337,3,《པེ་》《སྣར་》,དང་།,,,,,
,,338,4,《པེ་》《སྣར་》,བ།,,,,,
,,339,5,《པེ་》《སྣར་》,mལ།,,,,,
,,340,6,《པེ་》《སྣར་》,pགཞན།,,,,,
,,341,7,《པེ་》《སྣར་》,རྟས།,,,,,
,,342,8,《པེ་》《སྣར་》,རྟས།,,,,,
,,343,9,《པེ་》《སྣར་》,བརྗོད།,,,,,
,,344,10,《པེ་》《སྣར་》,mསྒྲིབ་པ་ནི།,,,,,
,125,345,1,《སྣར་》,ལྷགས།,,,,,
,,346,2,《པེ་》《སྣར་》,ཡི།,,,,,
,,347,3,《པེ་》《སྣར་》,གདམ།,,,,,
,,348,4,《པེ་》《སྣར་》,དེ།,,,,,
,,349,5,《པེ་》《སྣར་》,ཞེས།,,,,,
,,350,6,《པེ་》《སྣར་》,པ།,,,,,
,126,351,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,352,2,《པེ་》《སྣར་》,mགནས།,,,,,
,,353,3,《པེ་》《སྣར་》,pལ།,,,,,
,,354,4,《པེ་》《སྣར་》,mལ།,,,,,
,,355,5,《པེ་》《སྣར་》,མི།,,,,,
,,356,6,《པེ་》《སྣར་》,pནས།,,,,,
,,357,7,《པེ་》《སྣར་》,མ།,,,,,
,,358,8,《པེ་》《སྣར་》,mདུ།,,,,,
,,359,9,《པེ་》《སྣར་》,ཀྱི།,,,,,
,127,360,1,《པེ་》《སྣར་》,mགི།,,,,,
,,361,2,《པེ་》《སྣར་》,pདག,,,,,
,,362,3,《པེ་》《སྣར་》,mདྲི།,,,,,
,,363,4,《པེ་》,གྱུར་པ།,,,,,
,,364,5,《པེ་》《སྣར་》,གྱིས།,,,,,
,,365,6,《པེ་》《སྣར་》,འཇུག་དུ།,,,,,
,,366,7,《པེ་》《སྣར་》,mགཅིག་དང་།,,,,,
,,367,8,《པེ་》《སྣར་》,བས།,,,,,
,,368,9,《པེ་》《སྣར་》,བ།,,,,,
,,369,10,《པེ་》《སྣར་》,སྐྱག,,,,,
,,370,11,《པེ་》《སྣར་》,བརྟེན་པའི་འཇུག,,,,,
,,371,12,《པེ་》《སྣར་》,མིག་ཆུང་།,,,,,
,,372,13,《པེ་》《སྣར་》,དེ།,,,,,
,128,373,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,374,2,《པེ་》《སྣར་》,ཏེ།,,,,,
,,375,3,《པེ་》《སྣར་》,pན།,,,,,
,,376,4,《པེ་》《སྣར་》,mཞེས།,,,,,
,,377,5,《པེ་》《སྣར་》,རྒྱུ།,,,,,
,,378,6,《སྣར་》,གཞི།,,,,,
,,379,7,《པེ་》《སྣར་》,pལུས།,,,,,
,,380,8,《པེ་》《སྣར་》,pདང་།,,,,,
,129,381,1,《སྣར་》,རྒྱལ།,,,,,
,,382,2,《པེ་》《སྣར་》,གཟུང་བ།,,,,,
,,383,3,《པེ་》,བསྟན།,,,,,
,,384,4,《པེ་》《སྣར་》,mཔ།,,,,,
,,385,5,《པེ་》《སྣར་》,pདེ།,,,,,
,130,386,1,《པེ་》《སྣར་》,འཚོལ།,,,,,
,,387,2,《པེ་》《སྣར་》,འཚོལ།,,,,,
,,388,3,《པེ་》《སྣར་》,མཐོང་།,,,,,
,,389,4,《པེ་》,སྒོམ།,,,,,
,,390,5,《པེ་》《སྣར་》,བ་ནི།,,,,,
,131,391,1,《པེ་》《སྣར་》,གྱི།,,,,,
,,392,2,《པེ་》,pདེ།,,,,,
,,393,3,《པེ་》《སྣར་》,འཕྲོས།,,,,,
,,394,4,《པེ་》《སྣར་》,དྲུ།,,,,,
,,395,5,《པེ་》,གཟུང་།,,,,,
,,396,6,《སྣར་》,pདེ།,,,,,
,,397,7,《པེ་》《སྣར་》,རྣམས།,,,,,
,,398,8,《པེ་》《སྣར་》,pལ།,,,,,
,,399,9,《པེ་》《སྣར་》,བའི།,,,,,
,,400,10,《པེ་》,བཟད།,,,,,
,,401,11,《པེ་》《སྣར་》,བཏུབ་པ།,,,,,
,132,402,1,《པེ་》《སྣར་》,mནི།,,,,,
,,403,2,《པེ་》《སྣར་》,pསྤྱིའི་མཚན་ཉིད་འབྱུང་བ་དང་འཇིག་པ་མི་མཐུན་པ་ཉིད་ཀྱིས་འདུ་བྱེད་ཀྱིས་སྡུག་བསྔལ་ཉིད་དོ།།,,,,,
,,404,3,《པེ་》《སྣར་》,སྟོང་།,,,,,
,,405,4,《པེ་》《སྣར་》,གསད།,,,,,
,,406,5,《པེ་》《སྣར་》,འབྲལ་བ།,,,,,
,133,407,1,《པེ་》,ཏུ།, 《སྣར་》,དུ།,,,
,,408,2,《པེ་》《སྣར་》,mཉིད།,,,,,
,,409,3,《པེ་》《སྣར་》,གཏན།,,,,,
,,410,4,《པེ་》《སྣར་》,པ།,,,,,
,,411,5,《སྣར་》,pལ་གང་།,,,,,
,,412,6,《སྣར་》,ཉིད།,,,,,
,,413,7,《པེ་》《སྣར་》,སྡུག,,,,,
,,414,8,《པེ་》《སྣར་》,སློང་།,,,,,
,,415,9,《པེ་》《སྣར་》,ལ།,,,,,
,,416,10,《པེ་》《སྣར་》,pམེད།,,,,,
,,417,11,《པེ་》,གསོགས།,,,,,
,,418,12,《པེ་》《སྣར་》,ནོ།,,,,,
,,419,13,《པེ་》《སྣར་》,གཉིས།,,,,,
,134,420,1,《པེ་》,པའི།, 《སྣར་》,པའི་ནི།,,,
,,421,2,《པེ་》《སྣར་》,pམ།,,,,,
,,422,3,《པེ་》《སྣར་》,བསམ།,,,,,
,,423,4,《པེ་》《སྣར་》,བསམ།,,,,,
,,424,5,《པེ་》《སྣར་》,བསམ།,,,,,
,,425,7,《པེ་》,mཔ།,,,,,
,,426,7,《སྣར་》,ཀྱིས།,,,,,
,135,427,1,《པེ་》,བསྟན།, 《སྣར་》,ལ་སྟན།,,,
,,428,2,《པེ་》《སྣར་》,བས།,,,,,
