མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
མདོ་ཀུན་ལས་བཏུས་པ།,433,2,1,《པེ་》《སྣར་》,༄༅། །མདོ་ཀུན་ལས་བཏུས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།  །,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》,མུཙྪ་ཡང།,,,,,
,,4,3,《སྣར་》,mདེ།,,,,,
,,5,4,《པེ་》《སྣར་》,དུམྦ།,,,,,
,,6,5,《པེ་》《སྣར་》,དུམྦ།,,,,,
,434,7,1,《སྣར་》,pགི།,,,,,
,,8,2,《པེ་》《སྣར་》,དེ་ནི།,《ཅོ་》,དེས་ནི།,,,
,,9,3,《པེ་》《སྣར་》《ཅོ་》,དྲི་ང་བ།,,,,,
,,10,4,《པེ་》《སྣར་》,ལྟར།,,,,,
,,11,5,《པེ་》《སྣར་》,པ།,,,,,
,,12,6,《པེ་》《སྣར་》,གནས།,,,,,
,,13,7,《པེ་》《སྣར་》,དུམྦ།,,,,,
,,14,8,《པེ་》《སྣར་》,mདག,,,,,
,,15,9,《པེ་》《སྣར་》,བལྟམ།,,,,,
,,16,10,《པེ་》,བསྙིངས།,《སྣར་》,བརྙིངས།,,,
,,17,11,《པེ་》《སྣར་》,དུམྦ།,,,,,
,,18,12,《པེ་》《སྣར་》,mལ།,,,,,
,,19,13,《པེ་》《སྣར་》,mདག,,,,,
,,20,14,《པེ་》《སྣར་》,ཀྱིས།,,,,,
,435,21,1,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,22,2,《པེ་》《སྣར་》,mཀྱང་།,,,,,
,,23,3,《པེ་》《སྣར་》,གང་།,,,,,
,,24,4,《པེ་》《སྣར་》,གག,,,,,
,,25,5,《པེ་》《སྣར་》,དུམྦ།,,,,,
,,26,6,《པེ་》《སྣར་》,mཀྱང་།,,,,,
,436,27,1,《པེ་》《སྣར་》,མི་འགྱུར་བ།,,,,,
,,28,2,《པེ་》《སྣར་》,འདི་ལྟ་ཞེ་ན།,,,,,
,,29,3,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,30,4,《པེ་》《སྣར་》,mཔ་ཞིག,,,,,
,,31,5,《པེ་》《སྣར་》,རུ།,,,,,
,,32,6,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,33,7,《པེ་》《སྣར་》,mཕྲག་དུ་མར་འཚོ་བ་དེ་ལོ་བརྒྱ།,,,,,
,,34,8,《སྣར་》,pདེ།,,,,,
,,35,9,《པེ་》《སྣར་》,སོ།།,,,,,
,,36,10,《པེ་》《སྣར་》,mདེ།,,,,,
,,37,11,《པེ་》《སྣར་》,pསྟེང་དུ་འབྱུང་བ།,,,,,
,,38,12,《པེ་》《སྣར་》,mདུ་དེ་བཞིན།,,,,,
,437,39,1,《པེ་》《སྣར་》,ལས།,,,,,
,,40,2,《པེ་》《སྣར་》,ནོ། །,,,,,
,,41,3,《པེ་》《སྣར་》,དེ།,,,,,
,,42,4,《པེ་》《སྣར་》,mཔ་གནས།,,,,,
,,43,5,《པེ་》《སྣར་》,mདགེ་བསྙེན་དང་།,,,,,
,,44,6,《པེ་》《སྣར་》,mམ།,,,,,
,,45,7,《པེ་》《སྣར་》,ལྐུག,,,,,
,,46,8,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,,47,9,《པེ་》《སྣར་》,ལྐུག,,,,,
,438,48,1,《པེ་》《སྣར་》,mམཆོད་སྦྱིན་ཡང་མེད།,,,,,
,,49,2,《པེ་》《སྣར་》,mདེ།,,,,,
,,50,3,《པེ་》《སྣར་》,mགཞན་ཡང་།,,,,,
,,51,4,《པེ་》《སྣར་》,ནས།,,,,,
,,52,5,《པེ་》《སྣར་》,mདལ་བའི།,,,,,
,,53,6,《པེ་》《སྣར་》,ལྐུག,,,,,
,439,54,1,《པེ་》《སྣར་》,གོའི།,,,,,
,,55,2,《པེ་》《སྣར་》,mཕྱིན་ཅི།,,,,,
,,56,3,《པེ་》《སྣར་》,སྦྱོང་།,,,,,
,,57,4,《པེ་》《སྣར་》,པ།,,,,,
,,58,5,《པེ་》《སྣར་》,འབྲེང་།,,,,,
,,59,6,《པེ་》《སྣར་》,སྐྱེས་པ།,,,,,
,440,60,1,《པེ་》《སྣར་》,mབ།,,,,,
,,61,2,《པེ་》《སྣར་》,mཚུལ།,,,,,
,,62,3,《པེ་》《སྣར་》,pཔ།,,,,,
,,63,4,《པེ་》《སྣར་》,རིགས།,,,,,
,,64,5,《པེ་》《སྣར་》,mམི་བྱ་བ།,,,,,
,,65,6,《པེ་》《སྣར་》《ཅོ་》,རྒྱུ་བ་ཆད།,,,,,
,441,66,1,《པེ་》《སྣར་》《ཅོ་》,བྱང་།,,,,,
,,67,2,《པེ་》《སྣར་》,ལྟར།,,,,,
,,68,3,《པེ་》《སྣར་》,རྟོག,,,,,
,,69,4,《པེ་》《སྣར་》,mམངོན་པར།,,,,,
,442,70,1,《པེ་》《སྣར་》,པའོ།།,,,,,
,,71,2,《པེ་》《སྣར་》,mདང་།,,,,,
,,72,3,《པེ་》《སྣར་》,གྱིས།,,,,,
,,73,4,《པེ་》《སྣར་》,གྱིས།,,,,,
,,74,5,《པེ་》《སྣར་》,mདང་།,,,,,
,,75,6,《པེ་》《སྣར་》,ནས།,,,,,
,,76,7,《པེ་》《སྣར་》,གཟུང་།,,,,,
,,77,8,《པེ་》《སྣར་》,དེ་དག,,,,,
,,78,9,《པེ་》《སྣར་》,mཡང་དག་པར་ཞུགས་པ།,,,,,
,,79,10,《པེ་》《སྣར་》,བརྒལ།,,,,,
,,80,11,《པེ་》《སྣར་》,mདང་།,,,,,
,443,81,1,《པེ་》《སྣར་》,གཉེས།,,,,,
,,82,2,《པེ་》《སྣར་》,mཅན།,,,,,
,444,83,1,《པེ་》《སྣར་》,mགཅིག,,,,,
,,84,2,《པེ་》《སྣར་》,mརྫོགས་པར།,,,,,
,,85,3,《པེ་》《སྣར་》,mཀྱིས་ལུང་བསྟན་པ།,,,,,
,,86,4,《པེ་》《སྣར་》,པ།,,,,,
,445,87,1,《པེ་》《སྣར་》,འདི།,,,,,
,,88,2,《སྣར་》,mན།,,,,,
,,89,3,《པེ་》《སྣར་》,བུ་ཡིན་ནོ།,,,,,
,,90,4,《པེ་》《སྣར་》,བསྲེག་པས།,,,,,
,,91,5,《པེ་》《སྣར་》,བསྒྲུབས།,,,,,
,,92,6,《པེ་》《སྣར་》,འདོད།,,,,,
,,93,7,《པེ་》《སྣར་》,སྙེད།,,,,,
,,94,8,《པེ་》《སྣར་》,mདང་།,,,,,
,,95,9,《པེ་》《སྣར་》,mའདི་ལྟ་སྟེ།,,,,,
,,96,10,《པེ་》《སྣར་》,དེ།,,,,,
,446,97,1,《པེ་》《སྣར་》,བཟུང་།,,,,,
,,98,2,《པེ་》《སྣར་》,mམམ།,,,,,
,,99,3,《པེ་》《སྣར་》,pབསགས།,,,,,
,447,100,1,《པེ་》《སྣར་》,པའི།,,,,,
,,101,2,《པེ་》《སྣར་》,གིས།,,,,,
,,102,3,《པེ་》《སྣར་》,ལ།,,,,,
,,103,4,《པེ་》《སྣར་》,mཉན་ཐོས་དང་།,,,,,
,448,104,1,《པེ་》《སྣར་》,མ།,,,,,
,,105,2,《པེ་》《སྣར་》,བཟློག,,,,,
,,106,3,《པེ་》《སྣར་》,དེ།,,,,,
,,107,4,《པེ་》《སྣར་》,mདང་།,,,,,
,,108,5,《སྣར་》,འབྱུང་།,,,,,
,,109,6,《པེ་》《སྣར་》,འདའ།,,,,,
,449,110,1,《པེ་》,ཆད།,,,,,
,,111,2,《པེ་》《སྣར་》,བྱེད།,,,,,
,,112,3,《པེ་》《སྣར་》,ཕྲུག,,,,,
,,113,4,《པེ་》《སྣར་》,ཕྲུག,,,,,
,,114,5,《པེ་》《སྣར་》,mདྲི་དེ།,,,,,
,,115,6,《སྣར་》,ཕྲུག,,,,,
,,116,7,《པེ་》《སྣར་》,ཕུར།,,,,,
,450,117,1,《པེ་》《སྣར་》,མནོན།,,,,,
,,118,2,《སྣར་》,དགའ།,,,,,
,,119,3,《པེ་》《སྣར་》《ཅོ་》,pདགའ།,,,,,
,451,120,1,《པེ་》《སྣར་》,mདང་།,,,,,
,,121,2,《པེ་》《སྣར་》,ཅིག,,,,,
,,122,3,《པེ་》《སྣར་》,ཆད།,,,,,
,452,123,1,《པེ་》《སྣར་》,དཔའ།,,,,,
,,124,2,《པེ་》《སྣར་》,པའི།,,,,,
,,125,3,《པེ་》《སྣར་》,ཤཱ།,,,,,
,,126,4,《པེ་》《སྣར་》,སྐམས།,,,,,
,453,127,1,《པེ་》《སྣར་》,བྱིན།,,,,,
,,128,2,《པེ་》,ལས།,,,,,
,,129,3,《པེ་》《སྣར་》,གཅིག,,,,,
,,130,4,《པེ་》《སྣར་》,རྩྭའི།,,,,,
,,131,5,《པེ་》《སྣར་》,བསྟན།,,,,,
,,132,6,《པེ་》《སྣར་》,mཔ།,,,,,
,,133,7,《པེ་》《སྣར་》,པ།,,,,,
,454,134,1,《པེ་》《སྣར་》,mགིས་བྱང་ཆུབ་སེམས་་་་་་བརྒྱའི་ཆར་ཡང་།,,,,,
,,135,2,《པེ་》《སྣར་》,བས།,,,,,
,,136,3,《པེ་》《སྣར་》,གྱི།,,,,,
,,137,4,《པེ་》《སྣར་》,འབེབས།,,,,,
,455,138,1,《པེ་》《སྣར་》,དཔའི།,,,,,
,,139,2,《པེ་》《སྣར་》,དཔའི།,,,,,
,,140,3,《སྣར་》,བསྒྱུར།,,,,,
,,141,4,《པེ་》《སྣར་》,mལ།,,,,,
,,142,5,《སྣར་》,དཔའི།,,,,,
,,143,6,《པེ་》《སྣར་》,pནི།,,,,,
,,144,7,《པེ་》《སྣར་》,སྐྱེས།,,,,,
,456,145,1,《པེ་》《སྣར་》,བརྩོལ།,,,,,
,,146,2,《ཅོ་》,གཞོག་པར།,,,,,
,,147,3,《ཅོ་》,གཞོག་པར།,,,,,
,,148,4,《པེ་》《སྣར་》《ཅོ་》,པོའོ།།,,,,,
,457,149,1,《པེ་》《སྣར་》,mདུ།,,,,,
,,150,2,《པེ་》《སྣར་》,གཟུང་བའི།,,,,,
,,151,3,《པེ་》《སྣར་》,བ།,,,,,
,458,152,1,《པེ་》《སྣར་》,mདབུགས།,,,,,
,,153,2,《པེ་》《སྣར་》,pརོ།།,,,,,
,,154,3,《པེ་》《སྣར་》,པས་བཅིངས་པས།,,,,,
,,155,4,《པེ་》《སྣར་》,འདས་པའི།,,,,,
,,156,5,《པེ་》《སྣར་》,mདེ།,,,,,
,,157,6,《པེ་》《སྣར་》,pརྡུལ་གྱི།,,,,,
,459,158,1,《པེ་》《སྣར་》,པས།,,,,,
,,159,2,《པེ་》《སྣར་》《ཅོ་》,གཅིག,,,,,
,,160,3,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,161,4,《པེ་》《སྣར་》,mརྡུལ་ཕྲ་རབ་ཀྱི།,,,,,
,,162,5,《པེ་》《སྣར་》,གཅིག,,,,,
,,163,6,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,164,7,《པེ་》《སྣར་》,འབྲེང་།,,,,,
,,165,8,《པེ་》《སྣར་》,འབྲེང་།,,,,,
