སྣར་	ཅོ་	སྡེ་	པེ་
ཇི་	དེ་	དེ་	ཇི་	
ཡིས	ཡི	ཡི	ཡིས	
ལ འང་	ལ་	ལ་	ལ འང་	
ན	བྱ	བྱ	ན	
ཉ་	ཉ འི་	ཉ འི་	ཉ་	
བཟད་	བཟད་	བཟད་	བཟོད་	
ཡིས་	ཡི་	ཡི་	ཡིས་	
ཡི་གཡེངས་པ་	ཡིས་གཡེང་བ་	ཡིས་གཡེང་བ་	ཡི་གཡེངས་པ་	
ཀྱི་	ཀྱིས་	ཀྱིས་	ཀྱི་	
རྔུ ས་	རྔུ་	རྔུ་	རྔུ ས་	
ཀྱིས	ཀྱི	ཀྱི	ཀྱིས	
པ་	པོ་	པོ་	པ་	
མཚོ ས་	མཚོ་	མཚོ་	མཚོ ས་	
གྱིས་	གྱི་	གྱི་	གྱི་	
གིས་	ནི་	ནི་	གིས་	
ཡང་	ནི	ནི	ཡང་	
འདྲ ར་བྱུང་གྱུར་ན	འདྲ་བྱུང་བ ར་གྱུར	འདྲ་བྱུང་བ ར་གྱུར	འདྲ ར་བྱུང་གྱུར་ན	
ཀྱིས	ཀྱི	ཀྱི	ཀྱི	
པ་	པ ར་	པ ར་	པ་	
དེ འི་ཡང་	དེ་ཡི་	དེ་ཡི་	དེ འི་ཡང་	
བུ་	བུ འི་	བུ འི་	བུ་	
ཀྱི་	ཀྱིས་	ཀྱིས་	ཀྱི་	
པོ་	པོ ར་	པོ ར་	པོ་	
བརྩམས་འམ་	བརྩམ་མམ་	བརྩམ་མམ་	བརྩམས་འམ་	
པ་སྟེ	པ ས་ཏེ	པ ས་ཏེ	པ་སྟེ	
པ་	པ ར་	པ ར་	པ་	
པ་	པ ར་	པ ར་	པ་	
ཡི	ཡིས	ཡིས	ཡི	
ཉིད་	ནི་	ནི་	ཉིད་	
པ འི་	པ ས་	པ ས་	པ འི་	
ནི་འཇུག་པ ར་བྱེད	ཡང་འཇུག་པ ར་བྱ	ཡང་འཇུག་པ ར་བྱ	ནི་འཇུག་པ ར་བྱེད	
ན འང་	ན་	ན་	ན འང་	
གིས་	ནི་	ནི་	གིས་	
ནས་	པ ས་	པ ས་	པ ས་	
གིས་	ཉིད་	ཉིད་	གིས་	
པོ འི་	པ འི་	པ འི་	པ འི་	
པ འང་	པ་	པ་	པ འང་	
དེ་	དེ ས་	དེ ས་	དེ་	
གིས	གི	གིས	གིས	
མཛར་	མཛའ་	མཛའ་	མཛར་	
ཞིག་གི་	གྱིས་ནི་	གྱིས་ནི་	ཞིག་གི་	
ལ་	དང་	དང་	ལ་	
བ ས	བར	བར	བ ས	
ལ་	ལས་	ལས་	ལ་	
སྟི ར་	སྟི་	སྟི་	སྟི ར་	
ནི་སྦ་བར་	འདི་སྦ་བ་	འདི་སྦ་བ་	ནི་སྦ་བར་	
པ ར་	པ་	པ་	པ ར་	
འགྲོ ར་	འགྲོ་	འགྲོ་	འགྲོ ར་	
ན འང་	ན་	ན་	ན འང་	
པ འམ	པ འང་	པ འང་	པ འམ	
དེ་	འདི་	འདི་	དེ་	
གྱིས་	ནི་	ནི་	གྱིས་	
འདི ར་	འདི ར་	འདི ར་	འདི ས་	
ན	ནས	ནས	ན	
འགའ་	གང་	གང་	འགའ་	
དེ་	དེ ས་	དེ ས་	དེ་	
ཅི་	ཅི ས་	ཅི ས་	ཅི་	
ལ་	ལས་	ལས་	ལ་	
ལ	ལ འང་	ལ འང་	ལ	
དེ་	དེ ས་	དེ ས་	དེ་	
བ འི	བ འི	བ འི	བ འོ	
ཡིས་	ཡི་	ཡི་	ཡིས་	
གི་	ཉིད་	ཉིད་	གི་	
ཡིན	ཡིས	ཡིས	ཡི	
ཡིས་གཞན་	དེ ས་གཞན་	དེ ས་གཞན་	ཡིས་གཞད་	
བ	བ ས	བ ས	བ	
འདི་	འདི ར་	འདི ར་	འདི་	
ན	དུ	དུ	ན	
པ ས་	པ འི་	པ འི་	པ ས་	
ཡི་ཚིག་གཏུགས་ནས	ཡིས་ཚེ་གཏུགས་ན	ཡིས་ཚེ་གཏུགས་ན	ཡི་ཚིག་གཏུགས་ནས	
ལ་	བ་	ལ་	ལ་	
གི	གིས	གིས	གི	
པ འི	པ	པ	པ འི	
གིས་	གི་	གི་	གིས་	
པ་དེ ས་	པ ས་དེ ར་	པ ས་དེ ར་	པ་དེ ས་	
ན་	ན འང་	ན འང་	ན་	
དུ་	པོ་	པོ་	དུ་	
ན་	ནས་	ན་	ན་	
པ ར་	པ་	པ་	པ ར་	
ཀྱི་ནི་མཆོག་	ཀྱིས་ནི་ཆོག་	ཀྱིས་ནི་ཆོག་	ཀྱི་ནི་མཆོག་	
ལྟར་	ལྟ ས་	ལྟ ས་	ལྟར་	
བུ་	བུ འི་	བུ འི་	བུ་	
གིས	གི	གི	གིས	
ཐིག་	ཐིགས་	ཐིགས་	ཐིག་	
ཀྱི་	ཀྱིས་	ཀྱིས་	ཀྱི་	
ཡིས	ཡི	ཡི	ཡིས	
བར་བྱ	བྱ་བ	བྱ་བ	བར་བྱ	
ཡི	ཡིས	ཡིས	ཡི	
ལ འང་	ལ་	ལ་	ལ འང་	
བར་	བ་	བ་	བར་	
པ་	པ ས་	པ ས་	པ་	
