ཚོད་ཤེས་པདབང་པོ་བསྡམས་པ་,སུ་,དང་ཡང་ལྷན་ཅིག་,177,ཤེར་ཕྱིན། ཕ།.txt
ཅན་ཐམས་ཅད་དང་ཐུན་མོང་,སུ་,བྱས་ནས་བླ་ན་,1605,ཤེར་ཕྱིན། ཅ།.txt
ཁྱེད་ལ་དད་པར་གྱུར་པ་,སུ་,མི་བདེ་,1479,བསྟོད་ཚོགས། ཀ.txt
སངས་རྒྱས་ཀྱི་ཆོས་དེ་དག་,སུ་,ཡོད་ཅེས་བྱ་བ་,505,ཤེར་ཕྱིན། མ།.txt
འདི་ལ་དབང་,སུ་,ཡོད་སྙམ་པ་ལདགེ་,2611,ཤེར་ཕྱིན། མ།.txt
འདི་ལ་མོས་པར་འགྱུར་བ་,སུ་,ལགསབཅོམ་ལྡན་འདས་ཀྱིས་,3326,ཤེར་ཕྱིན། ང་།.txt
སྐབས་,སུ་,ལེན་པར་བྱེད་པ,1708,ཤེར་ཕྱིན། ཀ.txt
ལྟར་སྟོན་ཏེརིགས་ཀྱི་བུ་དག་,སུ་,ཤེས་རབ་ཀྱི་ཕ་,1772,ཤེར་ཕྱིན། ང་།.txt
དག་ཐམས་ཅད་ལ་རྗེས་,སུ་,སུ་ཡི་རང་ནས་བླ་,40,ཤེར་ཕྱིན། ཅ།.txt
ལ་གནས་པ་དེ་འདི་སྙམ་,སུ་,སེམས་ཏེ་,1641,ཤེར་ཕྱིན། ཅ།.txt
,,,,
འོ་ན་,,གང་ཟག་ལ་སོགས་,2774,ཤེར་ཕྱིན། མ།.txt
སྨྲ་བ་ནི་འདི་སྐད་དུ་,,ངའི་རྗེས,3604,ཤེར་ཕྱིན། ང་།.txt
སུ་གཏོགས་ནས་བཟུང་བ་གང་,,དག་ཀྱང་རུང་སྟེདེ་,964,ཤེར་ཕྱིན། ང་།.txt
ཏུ་ཕྱིན་པ་ཟབ་མོ་འདི་,,དག་གིས་འཚལ་བར་,5801,ཤེར་ཕྱིན། ཆ།.txt
དེ་ལས་དགེ་སློང་དག་གང་,,དག་བདག་གོ་ཞེའམ་,163,ཤེར་ཕྱིན། ཉ།.txt
དེ་ལྟར་བསྟན་པ་འདི་ལ་,,དག་མོས་པ་ཞེས་,1309,ཤེར་ཕྱིན། མ།.txt
དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་,,དག་ཞེས་བྱ་བ་,7766,ཤེར་ཕྱིན། ཆ།.txt
བཅོམ་ལྡན་འདས་དེ་བས་ན་,,དག་འདི་སྐད་དུ་,932,ཤེར་ཕྱིན། མ།.txt
པ་འདི་ལེན་པར་བྱེད་པ་,,དག་འབྱུང་བར་འགྱུར་,2060,ཤེར་ཕྱིན། ཀ.txt
བ་འདི་ལེན་པར་བྱེད་པ་,,དག་འབྱུང་བར་འགྱུརདེ་,441,ཤེར་ཕྱིན། ང་།.txt
བུ་དང་ལྡན་པའི་གང་ཟག་,,དག་ཡང་དག་པར་,2346,ཤེར་ཕྱིན། ཆ།.txt
གཞན་ནི་,,དཪྴ་ན་སྟེ་ལེགས་,300,ཤེར་ཕྱིན། ཀ.txt
ཕྱིར་མཆོག་ཏུ་ལྟ་བའི་ཕྱིར་,,དཪྴ་སྟེར་བ་ལྟའོ་,302,ཤེར་ཕྱིན། ཀ.txt
པའི་བདེ་བར་མཐོང་བའི་ཕྱིར་,,དྲ་ཤ་སྟེ་ལེགས་,299,ཤེར་ཕྱིན། ཀ.txt
པིགུ་ཎཻ་ར་བྷཱ་བྱཱ་ནླ་,,ནཱ་ན་བཻ་མིཧཱི་,2547,ཤེར་ཕྱིན། མ།.txt
ཀྱི་སྤྱན་གྱིས་,,ནི་རྒུད,2640,ཤེར་ཕྱིན། ཆ།.txt
ཚིག་ཅེས་བྱ་བ་ནི་,,པའི་མཐའ་ཅན་དང་,4579,ཤེར་ཕྱིན། ཆ།.txt
གྱི་བཀསརྒྱ་གར་གྱི་མཁན་པོ་,,བྷཱ་ཥི་ཏ་དང༌,8848,ཤེར་ཕྱིན། ཆ།.txt
སྙིང་རྗེ་བར་ནི་,,མི་འགྱུར་,3421,ཤེར་ཕྱིན། ཇ།.txt
རྟོགས་པ་སྔོན་དུ་གཏོང་བ་,,ཞིག་གང་འདི་ལྟ་,212,ཤེར་ཕྱིན། ཁ།.txt
བར་མི་དམིགས་པ་དེ་ལ་,,ཞིག་གནས་པར་འགྱུར་,3256,ཤེར་ཕྱིན། ཀ.txt
དེ་ལྟ་ན་ཡོན་ཏན་འདི་,,ཞིག་གི་ཡིན་ཞེ་,3326,ཤེར་ཕྱིན། ཆ།.txt
ཀྱིས་དོན་ངེས་པར་བསྟན་པ་,,ཞིག་གིས་ནུས་ཞེས་,3232,ཤེར་ཕྱིན། ཆ།.txt
ཞེན་པ་རབ་ཏུ་འཇུག་པ་,,ཞིག་གིས་བཟློག་པར་,3912,ཤེར་ཕྱིན། ཆ།.txt
རྟོགས་པ་མངོན་དུ་བྱེད་པ་,,ཞིག་གིས་བྱས་ཤེ་,274,ཤེར་ཕྱིན། ཀ.txt
ཡང་ཡོད་པ་མ་ཡིན་ན་,,ཞིག་གིས་བསྒོམས་པ་,504,ཤེར་ཕྱིན། མ།.txt
ལ་བློ་རྣམ་པ་གསུམ་པོ་,,ཞིག་གིས་ཡོངས,1660,ཤེར་ཕྱིན། ཅ།.txt
ལམ་གྱི་བདག་ཉིད་ཅན་ལ་,,ཞིག་ངེས་པར་འབྱུང་,1818,ཤེར་ཕྱིན། ཆ།.txt
ཏུ་གནས་པ་ཡིན་ནའདི་ལ་,,ཞིག་ཅི་ཞིག,4554,ཤེར་ཕྱིན། ཕ།.txt
དེ་,,ཞིག་ཅེ་ནབདེ་བར་,893,བསྟོད་ཚོགས། ཀ.txt
ཅིར་འགྱུར་སྙམ་པ་ལརབ་འབྱོར་,,ཞིག་ཅེས་བྱ་བ་,3829,ཤེར་ཕྱིན། མ།.txt
མེད་ནགང་དག་གི་དོན་དུ་,,ཞིག་ཇི་ལྟར་ཕ་,4558,ཤེར་ཕྱིན། ཕ།.txt
