གཏན་པ་ཕྱིས་པ་ལྟ་འཕྲག་,སོ་,ལེགས་པར་གྲུབ་པས་,4107,ཤེར་ཕྱིན། ཁ།.txt
གསུངས་ཏེདཔེར་ན་ལ་ལས་རྫ་,སོ་,མ་བཏང་ཆུ་བསྐྱེད་,902,ཤེར་ཕྱིན། ཇ།.txt
གིའང་ཚིག་བླ་དགས་ཏེདེ་ནི་,སོ་,ལ་སོགས་པའི་རུས་,209,ཤེར་ཕྱིན། ཀ.txt
གིས་ཆོམས་པར་འགྱུར་བའི་ཕྱིརསྣོད་,སོ་,མ་བཏང་ཆུས་རེག་,336,ཤེར་ཕྱིན། ཉ།.txt
ཅད་ཡོངས་སུ་རྫོགས་པརུས་པའམབ་,སོ་,ལ་བརྐོས་པ་དང་,4103,ཤེར་ཕྱིན། ཁ།.txt
ཅིའི་ཕྱིར་ཞེ་ནབུམ་པ་དེ་,སོ་,མ་བཏང་བའི་ཕྱིར་,4147,ཤེར་ཕྱིན། ང་།.txt
ཇི་ལྟར་,སོ་,གའི་དུས་སུ་ཆུ་,217,བསྟོད་ཚོགས། ཀ.txt
ཏེམཐོན་པོར་གྱུར་ཅིང་དབུས་ཀྱི་,སོ་,ན་གནས་པ་དེའི་,539,ཤེར་ཕྱིན། ཕ།.txt
དུ་འཕགས་པ་ནི་རྫ་མ་,སོ་,བཏང་བ་བཞིན་དུ་,853,ཤེར་ཕྱིན། ཉ།.txt
དེའི་,སོ་,ན་འདུག་པ་ཉིད་,407,ཤེར་ཕྱིན། ཉ།.txt
ནེ་གསིང་དག་ཏུ་བསྙེལ་,སོ་,མཛད་པའི་ཚེ་,1561,བསྟོད་ཚོགས། ཀ.txt
པ་ནི་གང་ཡང་བུམ་པ་,སོ་,བཏང་བ་དང༌མ་,2603,ཤེར་ཕྱིན། ཁ།.txt
པ་ལ་ལ་ཞིག་བུམ་པ་,སོ་,མ་བཏང་བས་ཆུ་,4146,ཤེར་ཕྱིན། ང་།.txt
པས་ཉམས་པར་འགྱུར་ཏེབུམ་པ་,སོ་,མ་བཏང་བ་ཆུས་,325,ཤེར་ཕྱིན། ཇ།.txt
མི་གཞན་དག་གི་,སོ་,ནི་སུམ་ཅུ་རྩ་,5065,ཤེར་ཕྱིན། ཕ།.txt
མེ་འབར་འདྲ་ཞིང་རལ་གྲིའི་,སོ་,འདྲར་ཤེས་པས་ན་,1129,ཤེར་ཕྱིན། ཕ།.txt
ཞེས་བྱ་བ་འདི་ནི་ཕྲག་,སོ་,གཉིས་ཀྱི་ཕྱོགས་ཤ་,4140,ཤེར་ཕྱིན། ཁ།.txt
རྟ་གད་ཆེན་པོས་དགོད་ཅིང་,སོ་,སྟོན་པ་དང༌སྟེག་,2274,ཤེར་ཕྱིན། ཁ།.txt
སྟེ་རྗེས་སུ་མཐུན་པར་རྫ་,སོ་,གཏོང་བའི་ཚུལ་དུ་,3789,ཤེར་ཕྱིན། ཀ.txt
,,,,
ཀྱང་ཞེས་བྱ་བ་,,སོའི་སྐྱེ་བོ་ཁོ་,983,ཤེར་ཕྱིན། མ།.txt
ཀྱི་དགའ་བ་དང་བདེ་བ་,,སོར་མྱོང་བར་མཛད་,3941,ཤེར་ཕྱིན། ཀ.txt
ཀྱི་དབང་གིས་ཆོས་ཐམས་ཅད་,,སོར་ཕུང་པོ་བདུན་,1304,ཤེར་ཕྱིན། ཕ།.txt
ཀྱི་དབྱིངས་ཀུན་ཏུ་འགྲོ་བ་,,སོར་རྟོག་པའི་མཚན་,5861,ཤེར་ཕྱིན། ཆ།.txt
ཀྱི་དབྱིངས་སྔོན་གྱི་བྱིས་པ་,,སོའི་སྐྱེ་བོའི་དུས་,5141,ཤེར་ཕྱིན། ཕ།.txt
ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་,,སོར་གཏོང་བ་སྟེ་,7766,ཤེར་ཕྱིན། ཆ།.txt
ཀྱི་འཇིག་རྟེནཁ་ཅིག་ཏུ་ནི་,,སོའི་སྐྱེ་བོའི་འཇིག་,3201,ཤེར་ཕྱིན། ཕ།.txt
ཀྱི་རུང་བར་བྱེད་པའི་ཡུལ་,,སོར་ངེས་པ་དང༌,1472,ཤེར་ཕྱིན། ཁ།.txt
ཀྱི་སྒྲ་དང་སྐད་ཐམས་ཅད་,,སོར་རྟོགས་ཤིང་མཁྱེན་,850,ཤེར་ཕྱིན། ཕ།.txt
ཀྱི་སྦྱིན་པ་ལ་སོགས་པ་,,སོར་རེ་རེའོ་,7918,ཤེར་ཕྱིན། ཆ།.txt
ཀྱི་སེམས་བསྐྱེད་པ་ནི་ཡུལ་,,སོར་ངེས་པ་ཡིན་,445,ཤེར་ཕྱིན། ཇ།.txt
ཀྱིས་ཡོངས་སུ་མ་བཟུང་,,སོ་ཡང་དག་པར་རིག་,4154,ཤེར་ཕྱིན། ང་།.txt
ཀྱིསགཟུགས་སྡུག་བསྔལ་ཞེས་བྱ་སར་,,སོར་རྟོག་ཀྱང་དེ་,3014,ཤེར་ཕྱིན། ག.txt
ཀཽ་ཤི་ཀ་,,སོ་བ་དང༌བསྡུས་པའི་,529,ཤེར་ཕྱིན། ང་།.txt
ཁང་བཟངས་ནི་,,ཕག་ལ་སོགས་པ་,3363,ཤེར་ཕྱིན། ཆ།.txt
ཁྱད་པར་གང་ཡིན་པ་དེ་,,སོར་བཀག་པའོ་,5025,ཤེར་ཕྱིན། ཇ།.txt
ཁྱད་པར་གྱི་དབང་གིས་ཡུལ་,,སོར་ངེས་པའི་རྣམ་,2887,ཤེར་ཕྱིན། ཆ།.txt
ཁོ་ན་བཞིན་དུ་ཤིན་ཏུ་,,སོར་སྣང་བ་ཉིད་,1797,ཤེར་ཕྱིན། ཆ།.txt
གང་,,སོ་ཡང་དག་པར་རིག་,1009,ཤེར་ཕྱིན། ང་།.txt
གང་གི་ཕྱིར་,,སོའི་སྐྱེ་བོ་རྣམས་,7542,ཤེར་ཕྱིན། ཆ།.txt
གང་བྱིས་པ་,,སོའི་སྐྱེ་བོ་རྣམས་,4468,ཤེར་ཕྱིན། ཕ།.txt
གང་ཡིན་པ་དེ་ནིསྤོབས་པ་,,སོ་ཡང་དག་པར་,2564,ཤེར་ཕྱིན། ཕ།.txt
གང་ཡིན་པ་དེ་རྣམས་ཀྱི་,,སོའི་ཁྱད་པར་གང་,4156,ཤེར་ཕྱིན། ཀ.txt
གཅད་པ་ནི་,,སོ་ཐ་དད་པར་ཡན་,2002,ཤེར་ཕྱིན། ཀ.txt
གཅིག་ཏུ་བྱས་ནས་གང་གི་,,སོར་སྣང་བ་དོན་,3883,ཤེར་ཕྱིན། ཆ།.txt
གཉིས་སུ་བྱར་མེད་པས་,,སོ་བ་དང༌བསྡུས་པའི་,557,ཤེར་ཕྱིན། ང་།.txt
གཉིས་སུ་མེད་པའི་བདག་ཉིད་,,སོར་རིག་པ་མེད་,2901,ཤེར་ཕྱིན། མ།.txt
གདུལ་བྱ་,,སོའི་བྱེ་བྲག་གིས་,6995,ཤེར་ཕྱིན། ཆ།.txt
གནས་པ་,,སོར་བཀག་པ་དང༌་,2963,ཤེར་ཕྱིན། ཀ.txt
གནས་པ་,,སོར་བཀག་པ་དང༌་,6638,ཤེར་ཕྱིན། ཆ།.txt
གནས་པ་,,སོར་བཀག་པ་དང༌་,2692,ཤེར་ཕྱིན། ཇ།.txt
གནས་པ་,,སོར་བཀག་པ་དང༌་,3013,ཤེར་ཕྱིན། ཁ།.txt
གནས་པ་དང༌ཡང་དག་པའི་,,སོར་རིག་པ་བརྙེས་,3093,ཤེར་ཕྱིན། ཇ།.txt
གནས་པ་མིག་གི་རྣམ་པར་,,སོར་སྣང་བ་ནི་,958,ཤེར་ཕྱིན། ཕ།.txt
